ID,Size,Predicted,Actual
0,8,0.160002,NO
1,2,0.000004,NO
2,2,0.006623,NO
3,0,0.000000,NO
4,2,0.005682,NO
5,5,0.018520,NO
6,1,0.000933,NO
7,0,0.017544,NO
8,1,0.126878,NO
9,1,0.000933,NO
10,1,0.041850,NO
11,7,0.009435,NO
12,1,0.004869,NO
13,16,0.100006,NO
14,9,0.013700,NO
15,5,0.027778,NO
16,1,0.000933,NO
17,1,0.126878,NO
18,34,0.000075,NO
19,1,0.000933,NO
20,8,0.038463,NO
21,0,0.000000,NO
22,8,0.000001,NO
23,0,0.000000,NO
24,3,0.011174,NO
25,2,0.040003,NO
26,16,0.000013,NO
27,1,0.004869,NO
28,11,0.037040,NO
29,4,0.052635,NO
30,0,0.010582,NO
31,1,0.004869,NO
32,7,0.000038,NO
33,6,0.010527,NO
34,2,0.005682,NO
35,0,0.006933,NO
36,1,0.000933,NO
37,1,0.041850,NO
38,1,0.004869,NO
39,8,0.250009,NO
40,0,0.000000,NO
41,2,0.010811,NO
42,0,0.006933,NO
43,49,0.000075,NO
44,1,0.000933,NO
45,9,0.040001,NO
46,3,0.010811,NO
47,1,0.041850,NO
48,1,0.000933,NO
49,1,0.000933,NO
50,3,0.011174,NO
51,16,0.000013,NO
52,7,0.000001,NO
53,0,0.000000,NO
54,5,0.018520,NO
55,1,0.003722,NO
56,28,0.000075,NO
57,2,0.005682,NO
58,1,0.040003,NO
59,2,0.006623,NO
60,0,0.010582,NO
61,2,0.006623,NO
62,6,0.010527,NO
63,0,0.000000,NO
64,11,0.000003,NO
65,10,0.000002,NO
66,1,0.126878,NO
67,2,0.033336,NO
68,1,0.041850,NO
69,12,0.000003,NO
70,16,0.000007,NO
71,2,0.010811,NO
72,10,0.000006,NO
73,8,0.250009,NO
74,21,0.142865,NO
75,1,0.004869,NO
76,4,0.009570,NO
77,1,0.041850,NO
78,0,0.006933,NO
79,1,0.004869,NO
80,3,0.011174,NO
81,3,0.010811,NO
82,9,0.058827,NO
83,2,0.093459,NO
84,9,0.058827,NO
85,6,0.000001,NO
86,1,0.126878,NO
87,4,0.004878,NO
88,2,0.006623,NO
89,6,0.000001,NO
90,29,0.000075,NO
91,4,0.004878,NO
92,1,0.004869,NO
93,22,0.000075,NO
94,0,0.000000,NO
95,0,0.000000,NO
96,4,0.004878,NO
97,7,0.009435,NO
98,9,0.081082,NO
99,1,0.000933,NO
100,2,0.006623,NO
101,13,0.034485,NO
102,4,0.004878,NO
103,6,0.047621,NO
104,5,0.027778,NO
105,1,0.004869,NO
106,2,0.010811,NO
107,27,0.000075,NO
108,0,0.000000,NO
109,4,0.000003,NO
110,1,0.000933,NO
111,6,0.010527,NO
112,4,0.004878,NO
113,6,0.000001,NO
114,5,0.000038,NO
115,0,0.010582,NO
116,33,0.000075,NO
117,12,0.000003,NO
118,5,0.027778,NO
119,8,0.000001,NO
120,0,0.000005,NO
121,2,0.006623,NO
122,1,0.126878,NO
123,7,0.000001,NO
124,1,0.000933,NO
125,1,0.041850,NO
126,1,0.004869,NO
127,1,0.000933,NO
128,4,0.150686,NO
129,0,0.006933,NO
130,0,0.000000,NO
131,4,0.004878,NO
132,1,0.004869,NO
133,34,0.000075,NO
134,2,0.000006,NO
135,3,0.010811,NO
136,1,0.041850,NO
137,19,0.000019,NO
138,5,0.016530,NO
139,1,0.126878,NO
140,7,0.131580,NO
141,8,0.000006,NO
142,4,0.150686,NO
143,1,0.004869,NO
144,1,0.003722,NO
145,10,0.000002,NO
146,1,0.041850,NO
147,1,0.041850,NO
148,5,0.000001,NO
149,1,0.004869,NO
150,5,0.000001,NO
151,46,0.000075,NO
152,1,0.126878,NO
153,3,0.011174,NO
154,1,0.126878,NO
155,0,0.000000,NO
156,6,0.000001,NO
157,0,0.006933,NO
158,1,0.126878,NO
159,13,0.000003,NO
160,19,0.333338,NO
161,0,0.000000,NO
162,5,0.027778,NO
163,8,0.038463,NO
164,4,0.009570,NO
165,1,0.004869,NO
166,4,0.004878,NO
167,14,0.000004,NO
168,7,0.000075,NO
169,3,0.011174,NO
170,29,0.000025,NO
171,0,0.000000,NO
