ID,Size,Predicted,Actual
0,1,0.005708,NO
1,1,0.002127,NO
2,1,0.000852,NO
3,1,0.006410,NO
4,8,0.016766,NO
5,7,0.049527,NO
6,4,0.000570,NO
7,11,0.050121,NO
8,1,0.003570,NO
9,1,0.000852,NO
10,5,0.001053,NO
11,10,0.129882,NO
12,0,0.001699,NO
13,3,0.011955,NO
14,6,0.000765,NO
15,0,0.001315,NO
16,1,0.000852,NO
17,13,0.164924,NO
18,2,0.003211,NO
19,1,0.019598,NO
20,1,0.006410,NO
21,8,0.005396,NO
22,42,1.000000,NO
23,1,0.005538,NO
24,1,0.000422,NO
25,1,0.003083,NO
26,3,0.112909,NO
27,1,0.001652,NO
28,0,0.002549,NO
29,0,0.002549,NO
30,14,0.163801,NO
31,2,0.036873,NO
32,1,0.003083,NO
33,1,0.000422,NO
34,0,0.001189,NO
35,16,0.994608,NO
36,4,0.000881,NO
37,0,0.000886,NO
38,4,0.002666,NO
39,0,0.000876,NO
40,1,0.000422,NO
41,5,0.006214,NO
42,4,0.005360,NO
43,0,0.003169,NO
44,15,0.366547,NO
45,0,0.024694,NO
46,9,0.012801,NO
47,1,0.002036,NO
48,1,0.000422,NO
49,0,0.000659,NO
50,7,0.008042,NO
51,0,0.001719,NO
52,15,0.705994,NO
53,21,0.955289,NO
54,2,0.003211,NO
55,2,0.015746,NO
56,1,0.005538,NO
57,4,0.010456,NO
58,1,0.001652,NO
59,1,0.005538,NO
60,2,0.004851,NO
61,1,0.000422,NO
62,1,0.005393,NO
63,25,0.997735,NO
64,1,0.000862,NO
65,11,0.026679,NO
66,10,0.005521,NO
67,7,0.001446,NO
68,3,0.003232,NO
69,3,0.000456,NO
70,0,0.000503,NO
71,14,0.086854,NO
72,0,0.000867,NO
73,0,0.001015,NO
74,4,0.030107,NO
75,4,0.004302,NO
76,4,0.002231,NO
77,0,0.003207,NO
78,0,0.171388,NO
79,6,0.001544,NO
80,2,0.964556,NO
81,29,1.000000,NO
82,8,0.046164,NO
83,4,0.001191,NO
84,1,0.003128,NO
85,5,0.013707,NO
