ID,Size,Predicted,Actual
0,12,0.004290,NO
1,0,0.000284,NO
2,0,0.000052,NO
3,2,0.000045,NO
4,11,0.000486,NO
5,0,0.000091,NO
6,1,0.000089,NO
7,6,0.000137,NO
8,1,0.000171,NO
9,4,0.000092,NO
10,1,0.000102,NO
11,1,0.000320,NO
12,3,0.000625,NO
13,0,0.000109,NO
14,8,0.001796,NO
15,5,0.001429,NO
16,1,0.000088,NO
17,2,0.000593,NO
18,1,0.000171,NO
19,0,0.000045,NO
20,7,0.001570,NO
21,9,0.000634,NO
22,0,0.000335,NO
23,1,0.000044,NO
24,1,0.000577,NO
25,0,0.000046,NO
26,1,0.000102,NO
27,11,0.019053,NO
28,1,0.000102,NO
29,5,0.000222,NO
30,18,0.096963,NO
31,0,0.000156,NO
32,1,0.000044,NO
33,16,0.999715,NO
34,2,0.000046,NO
35,8,0.000196,NO
36,0,0.000330,NO
37,0,0.000104,NO
38,17,0.091099,NO
39,0,0.000604,NO
40,11,0.000953,NO
41,4,0.000198,NO
42,26,0.975943,NO
43,1,0.000088,NO
44,1,0.000577,NO
45,3,0.000184,NO
46,2,0.001569,NO
47,16,0.016159,NO
48,3,0.000109,NO
49,3,0.000199,NO
50,4,0.000093,NO
51,1,0.000088,NO
52,1,0.000577,NO
53,11,0.000829,NO
54,16,0.006651,NO
55,8,0.000390,NO
56,6,0.000155,NO
57,6,0.003447,NO
58,1,0.000171,NO
59,9,0.001229,NO
60,1,0.000089,NO
61,0,0.000045,NO
62,9,0.000634,NO
63,0,0.000135,NO
64,1,0.000303,NO
65,3,0.000070,NO
66,1,0.000044,NO
67,5,0.000405,NO
68,0,0.000608,NO
69,0,0.000045,NO
70,0,0.000604,NO
71,1,0.000044,NO
72,1,0.000102,NO
73,28,0.868363,NO
74,8,0.000390,NO
75,1,0.000088,NO
76,53,1.000000,NO
77,0,0.000045,NO
78,5,0.001152,NO
79,1,0.000044,NO
80,0,0.000688,NO
81,9,0.001399,NO
82,0,0.000045,NO
83,3,0.000992,NO
84,7,0.000399,NO
85,0,0.000052,NO
86,1,0.000160,NO
87,0,0.000045,NO
88,4,0.000576,NO
89,4,0.001666,NO
90,2,0.000178,NO
91,2,0.000496,NO
92,22,0.814159,NO
93,0,0.000659,NO
94,7,0.000814,NO
95,8,0.430467,NO
96,9,0.001074,NO
97,0,0.000313,NO
98,6,0.000342,NO
99,11,0.178733,NO
100,50,1.000000,NO
101,1,0.000044,NO
102,3,0.000621,NO
103,7,0.000399,NO
104,1,0.000171,NO
105,1,0.000088,NO
106,1,0.000320,NO
107,1,0.000050,NO
108,1,0.000324,NO
109,0,0.000045,NO
110,0,0.000068,NO
111,0,0.000045,NO
112,0,0.000604,NO
113,6,0.000316,NO
114,1,0.000679,NO
115,1,0.000088,NO
116,0,0.000045,NO
117,0,0.000216,NO
118,0,0.000052,NO
119,0,0.000177,NO
120,6,0.000967,NO
121,1,0.000088,NO
122,1,0.000585,NO
123,0,0.001180,NO
124,0,0.000067,NO
125,1,0.000050,NO
126,0,0.000104,NO
127,1,0.000088,NO
128,8,0.003511,NO
129,2,0.000402,NO
130,1,0.000044,NO
131,1,0.000577,NO
132,3,0.000414,NO
133,1,0.000105,NO
134,1,0.000044,NO
135,1,0.000044,NO
136,13,0.010709,NO
137,37,1.000000,NO
138,1,0.000252,NO
139,1,0.000171,NO
140,7,0.000658,NO
141,3,0.000334,NO
142,6,0.000158,NO
143,0,0.000156,NO
144,4,0.000531,NO
145,12,0.002907,NO
146,0,0.000604,NO
147,7,0.128036,NO
148,6,0.000163,NO
149,1,0.000044,NO
150,6,0.000613,NO
151,0,0.000701,NO
152,18,0.528371,NO
153,3,0.000841,NO
154,8,0.000872,NO
155,7,0.000153,NO
