ID,Size,Predicted,Actual
0,5,0.044587,YES
1,6,0.030683,YES
2,5,0.022192,YES
3,17,0.379026,YES
4,24,1.000000,YES
5,3,0.011248,YES
6,18,0.660698,YES
7,9,0.294466,YES
8,23,0.999993,YES
9,7,0.073106,YES
10,8,0.999940,YES
11,1,0.009482,YES
12,2,0.108063,YES
13,1,0.009482,YES
14,2,0.017363,YES
15,41,1.000000,YES
16,7,0.037260,YES
17,15,0.990309,YES
18,34,1.000000,YES
19,3,0.003851,YES
20,4,0.189128,YES
21,1,0.009482,YES
22,27,1.000000,YES
23,6,0.030683,YES
24,4,0.005481,YES
25,11,0.306710,YES
26,1,1.000000,YES
27,7,0.963616,YES
28,28,0.999974,YES
29,34,1.000000,YES
30,8,1.000000,YES
31,15,0.480674,YES
32,3,0.011248,YES
33,14,0.682449,YES
34,17,0.683881,YES
35,5,0.022192,YES
36,1,0.009482,YES
37,27,0.999995,YES
38,2,0.076757,YES
39,4,0.197794,YES
40,29,0.999999,YES
41,26,0.999978,YES
42,24,0.999901,YES
43,3,0.011248,YES
44,11,0.101930,YES
45,52,1.000000,YES
46,15,0.817699,YES
47,23,0.999989,YES
48,14,0.740630,YES
49,100,1.000000,YES
50,31,0.999998,YES
51,18,0.999752,YES
52,10,0.999455,YES
53,3,0.018659,YES
54,13,0.998653,YES
55,53,1.000000,YES
56,1,0.998259,YES
57,2,0.015398,YES
58,6,0.471097,YES
59,2,0.009872,YES
60,4,0.999142,YES
61,1,0.018146,YES
62,6,0.027795,YES
63,22,0.999981,YES
64,30,1.000000,YES
65,1,0.010048,YES
66,3,0.010615,YES
67,18,0.739965,YES
68,6,0.046706,YES
69,8,0.279585,YES
70,4,0.018322,YES
71,14,0.590209,YES
72,19,0.916806,YES
73,7,0.798930,NO
74,1,0.002923,NO
75,0,0.004777,NO
76,13,0.220413,NO
77,1,0.009482,NO
78,1,0.002195,NO
79,1,0.015749,NO
80,97,1.000000,NO
81,2,0.006483,NO
82,13,0.454754,NO
83,1,0.015749,NO
84,7,0.006659,NO
85,10,0.307652,NO
86,0,0.002368,NO
87,0,0.003047,NO
88,1,0.005111,NO
89,1,0.005111,NO
90,1,0.000796,NO
91,16,0.998264,NO
92,1,0.015154,NO
93,0,0.000789,NO
94,0,0.000744,NO
95,4,0.009358,NO
96,1,0.002674,NO
97,10,0.890091,NO
98,1,0.004822,NO
99,1,0.009482,NO
100,0,0.000744,NO
101,5,0.004732,NO
102,14,0.982758,NO
103,7,0.015416,NO
104,1,0.004822,NO
105,0,0.000744,NO
106,2,0.002286,NO
107,0,0.000917,NO
108,4,0.000933,NO
109,5,0.050653,NO
110,5,0.013812,NO
111,4,0.004848,NO
112,7,0.015416,NO
113,0,0.000961,NO
114,0,0.007406,NO
115,1,0.006396,NO
116,9,0.009024,NO
117,0,0.002051,NO
118,21,0.998915,NO
119,2,0.000903,NO
120,9,0.006509,NO
121,1,0.002195,NO
122,18,0.999999,NO
123,21,1.000000,NO
124,1,0.000796,NO
125,11,0.034378,NO
126,1,0.000532,NO
127,4,0.010555,NO
128,27,1.000000,NO
129,7,0.030008,NO
130,39,1.000000,NO
131,28,0.999600,NO
132,7,0.015416,NO
133,0,0.000789,NO
134,1,0.000796,NO
135,6,0.001265,NO
136,1,0.009482,NO
137,1,0.002070,NO
138,1,0.004822,NO
139,8,0.031435,NO
140,4,0.002572,NO
141,0,0.005063,NO
142,8,0.003062,NO
143,0,0.009955,NO
144,1,0.008509,NO
145,3,0.002320,NO
146,1,0.015749,NO
147,1,0.000796,NO
148,1,0.009482,NO
149,1,0.000796,NO
150,0,0.004777,NO
151,10,0.335172,NO
152,0,0.000744,NO
153,4,0.008167,NO
154,3,0.002088,NO
155,4,0.001463,NO
156,1,0.866572,NO
157,1,0.016546,NO
158,1,0.000796,NO
159,69,1.000000,NO
160,35,0.999999,NO
161,1,0.002070,NO
162,1,0.075799,NO
