ID,Size,Predicted,Actual
0,4,0.112101,NO
1,1,0.102414,NO
2,2,0.137406,NO
3,4,0.152939,NO
4,13,0.689598,NO
5,69,1.000000,NO
6,9,0.493704,NO
7,50,1.000000,NO
8,2,0.100743,NO
9,88,1.000000,YES
10,2,0.994745,NO
11,1,0.166095,NO
12,3,0.154499,NO
13,1,0.098735,NO
14,1,0.102414,NO
15,1,0.102414,NO
16,50,1.000000,NO
17,1,0.102414,NO
18,8,0.256846,NO
19,117,1.000000,YES
20,2,0.132655,NO
21,8,0.250496,NO
22,26,1.000000,NO
23,1,0.102414,NO
24,15,0.938524,YES
25,11,0.402985,YES
26,8,0.250496,YES
27,108,1.000000,YES
28,2,0.104488,NO
29,17,0.992950,NO
30,3,0.403139,NO
31,1,0.102414,NO
32,1,0.102414,NO
33,1,0.102414,NO
34,2,0.580741,NO
35,1,0.098735,NO
36,1,0.104488,NO
37,1,0.094139,YES
38,1,0.102414,NO
39,1,0.102414,NO
40,3,0.113877,NO
41,1,0.102414,NO
42,2,0.129620,NO
43,3,0.145908,NO
44,37,1.000000,NO
45,4,1.000000,NO
46,18,0.999987,NO
47,3,0.209141,NO
48,52,1.000000,NO
49,1,0.098735,NO
50,7,0.685084,YES
51,1,0.102414,NO
52,1,0.389137,NO
53,4,0.152939,NO
54,1,0.102414,NO
55,36,1.000000,NO
56,32,1.000000,NO
57,23,0.999853,NO
58,14,0.577858,NO
59,0,0.092225,NO
60,1,0.098735,NO
61,1,0.102414,NO
62,2,0.104488,NO
63,12,0.944851,NO
64,12,0.798790,NO
65,4,0.531848,NO
66,22,0.997878,NO
67,2,0.981960,NO
68,26,0.999995,NO
69,1,0.102414,NO
70,10,0.933728,NO
71,1,0.102414,NO
72,10,0.461902,NO
73,20,1.000000,NO
74,12,0.998005,NO
75,3,0.484267,NO
76,6,0.795225,NO
77,7,0.691983,NO
78,9,0.997022,NO
79,15,0.743793,NO
80,3,0.999859,NO
81,1,0.102414,NO
82,2,0.137406,NO
83,27,0.999998,NO
84,10,0.793109,NO
85,17,0.909928,NO
86,15,0.999991,NO
87,1,0.102414,NO
88,1,0.102414,NO
89,1,0.398849,NO
90,11,0.999617,NO
91,1,0.098735,NO
92,1,0.102414,NO
93,25,1.000000,YES
94,0,0.095687,NO
95,0,0.275407,NO
96,0,0.103084,NO
97,0,0.395236,NO
98,0,0.395236,NO
99,0,0.395236,NO
100,0,0.976375,NO
101,14,0.884608,NO
102,7,0.178295,NO
103,11,0.998832,NO
104,12,0.522619,NO
105,16,0.947248,NO
106,8,0.396599,NO
107,6,0.194864,NO
108,2,0.137406,NO
109,2,0.094139,NO
110,3,0.501879,NO
111,1,0.376178,NO
112,13,0.732276,NO
113,29,0.999976,NO
114,9,0.224630,NO
115,1,0.098735,NO
116,1,0.083468,NO
117,10,0.344171,NO
118,4,0.130504,NO
119,2,0.422375,NO
120,28,0.999889,NO
121,5,0.180552,NO
122,1,0.102414,NO
123,18,0.967529,NO
124,1,0.102414,NO
125,1,0.102414,NO
126,9,0.437515,NO
127,42,1.000000,NO
128,11,0.904807,NO
129,12,0.663167,NO
130,3,0.118047,NO
131,22,0.998863,NO
132,10,0.783945,YES
133,14,0.996211,YES
134,4,0.143460,NO
135,11,0.751513,NO
136,10,0.346390,YES
137,6,0.850811,YES
138,1,0.098735,NO
139,2,0.987058,NO
140,0,0.390365,NO
141,0,0.077877,NO
142,1,0.102414,NO
143,2,0.168919,NO
144,12,0.532757,NO
145,2,0.155324,NO
146,0,0.092225,NO
147,0,0.095687,NO
148,0,0.095687,NO
149,18,0.999202,NO
150,15,0.927303,NO
151,10,0.919195,YES
152,19,0.999186,NO
153,1,0.098735,NO
154,17,0.981184,YES
155,2,0.137406,NO
156,12,0.999993,NO
157,34,1.000000,NO
158,13,0.969673,NO
159,5,0.388644,NO
160,5,0.679240,NO
161,37,1.000000,NO
162,11,1.000000,NO
163,1,0.102414,NO
164,1,0.102414,NO
165,26,1.000000,NO
166,22,0.999996,NO
167,9,0.305689,NO
168,2,0.104488,NO
169,8,0.272857,NO
170,4,0.158284,NO
171,5,0.536262,NO
172,1,0.196597,NO
173,9,0.494092,NO
174,4,0.178361,NO
175,16,0.994124,NO
176,30,0.999999,NO
177,2,0.104488,NO
178,1,0.102414,NO
179,6,0.999778,NO
180,1,0.102414,NO
181,5,0.209429,NO
182,13,0.943146,NO
183,5,0.642885,NO
184,5,0.180552,NO
185,17,0.996503,YES
186,16,0.935909,NO
187,2,0.132655,NO
188,13,0.990151,NO
189,46,1.000000,NO
190,21,1.000000,NO
191,27,0.999960,NO
192,2,0.100743,NO
193,41,1.000000,NO
194,0,0.092225,NO
195,0,0.092225,NO
196,0,0.077877,NO
197,1,0.389137,NO
198,21,0.864981,NO
199,6,0.183348,NO
200,5,0.295101,NO
201,6,0.306293,NO
202,21,1.000000,NO
203,1,0.968652,NO
204,8,0.999256,NO
205,23,0.999996,NO
206,8,0.378770,NO
207,4,0.158284,NO
208,2,0.132655,NO
209,19,0.948040,NO
210,7,0.215558,NO
211,4,0.152939,NO
212,1,0.098735,NO
213,3,0.154499,NO
214,1,0.102414,NO
215,3,0.118047,NO
216,17,1.000000,NO
217,5,0.452053,NO
218,0,0.086126,NO
219,0,0.092225,NO
220,8,0.421147,NO
221,7,0.395066,NO
222,1,0.102414,NO
223,6,0.351043,NO
224,1,0.098735,NO
225,1,0.098735,NO
226,1,0.092249,NO
227,1,0.098735,NO
228,1,0.098735,NO
229,13,0.471462,NO
