ID,Size,Predicted,Actual
0,4,0.001983,NO
1,1,0.000274,NO
2,2,0.000471,NO
3,4,0.000634,NO
4,13,0.037711,NO
5,69,1.000000,NO
6,9,0.011087,NO
7,50,1.000000,NO
8,2,0.000315,NO
9,88,1.000000,NO
10,2,0.996433,NO
11,1,0.001226,NO
12,3,0.000522,NO
13,1,0.000296,NO
14,1,0.000274,NO
15,1,0.000274,NO
16,50,1.000000,NO
17,1,0.000274,NO
18,8,0.009594,NO
19,113,1.000000,NO
20,2,0.000507,NO
21,8,0.002027,NO
22,26,1.000000,NO
23,1,0.000274,NO
24,15,0.402174,NO
25,11,0.005527,NO
26,8,0.002027,NO
27,108,1.000000,NO
28,2,0.000292,NO
29,17,0.965374,NO
30,3,0.048552,NO
31,1,0.000274,NO
32,1,0.000274,NO
33,1,0.000274,NO
34,1,0.000928,YES
35,22,1.000000,NO
36,4,1.000000,NO
37,18,0.992665,NO
38,3,0.001407,NO
39,49,1.000000,NO
40,1,0.000296,NO
41,4,0.000634,NO
42,27,1.000000,YES
43,23,0.998245,YES
44,11,0.999998,YES
45,12,0.936137,NO
46,12,0.071514,NO
47,5,0.000768,YES
48,7,0.111401,NO
49,15,0.973095,YES
50,9,0.994063,YES
51,1,0.000274,NO
52,15,1.000000,YES
53,12,0.999998,NO
54,3,0.197946,NO
55,7,0.083121,NO
56,3,0.006200,NO
57,5,0.985529,NO
58,3,0.000593,YES
59,4,0.855045,NO
60,1,0.000274,NO
61,2,0.000471,NO
62,15,1.000000,YES
63,1,0.000274,NO
64,1,0.000274,NO
65,1,0.013492,NO
66,11,0.999999,NO
67,1,0.000296,NO
68,1,0.000274,NO
69,25,1.000000,NO
70,0,0.000271,NO
71,0,0.001865,NO
72,0,0.000292,NO
73,0,0.000274,NO
74,0,0.000274,NO
75,0,0.000274,NO
76,0,0.252875,NO
77,7,0.000757,NO
78,7,0.000703,NO
79,12,0.010904,NO
80,16,0.519675,NO
81,8,0.004635,NO
82,6,0.001010,NO
83,2,0.000471,NO
84,2,0.000364,NO
85,2,0.000471,NO
86,2,0.000364,YES
87,13,0.065581,NO
88,29,0.999998,NO
89,9,0.001611,NO
90,1,0.000296,NO
91,1,0.000425,NO
92,10,0.004073,NO
93,4,0.000911,NO
94,3,0.000324,YES
95,29,0.999993,YES
96,5,0.000768,NO
97,1,0.000274,NO
98,18,0.601119,NO
99,1,0.000274,NO
100,1,0.000274,NO
101,9,0.005928,NO
102,42,1.000000,NO
103,2,0.000507,NO
104,3,0.001152,NO
105,11,0.006370,NO
106,10,0.006982,NO
107,14,0.615003,NO
108,4,0.000734,NO
109,11,0.004783,YES
110,6,0.000725,NO
111,2,0.000315,NO
112,2,0.001343,YES
113,0,0.014742,NO
114,0,0.000419,NO
115,1,0.000274,NO
116,1,0.000274,NO
117,19,0.978666,NO
118,15,0.442832,NO
119,10,0.711146,NO
120,19,0.999936,NO
121,1,0.000296,NO
122,17,0.880012,NO
123,2,0.000471,NO
124,9,0.999997,NO
125,31,1.000000,NO
126,13,0.984681,NO
127,5,0.002035,NO
128,5,0.002035,NO
129,37,1.000000,NO
130,8,1.000000,YES
131,23,0.999986,YES
132,22,1.000000,NO
133,8,0.001011,YES
134,5,0.030153,NO
135,1,0.033832,NO
136,9,0.020205,NO
137,4,0.000846,NO
138,15,0.888125,NO
139,2,0.000292,NO
140,1,0.000274,NO
141,6,0.999999,NO
142,1,0.000274,NO
143,5,0.001025,NO
144,13,0.592330,NO
145,5,0.126505,NO
146,5,0.000768,NO
147,17,0.997121,NO
148,16,0.233043,NO
149,2,0.000507,NO
150,13,0.991412,NO
151,43,1.000000,YES
152,21,1.000000,NO
153,27,0.999991,NO
154,2,0.000315,NO
155,41,1.000000,NO
156,1,0.014514,NO
157,1,0.000425,NO
158,21,1.000000,YES
159,8,0.010663,NO
160,4,0.001261,NO
161,8,0.059312,NO
162,24,0.998600,YES
163,8,0.005357,NO
164,4,0.000589,NO
165,2,0.000507,NO
166,14,0.088087,YES
167,7,0.001410,NO
168,4,0.000634,NO
169,1,0.000296,NO
170,3,0.000522,NO
171,1,0.000274,NO
172,3,0.000324,NO
173,17,1.000000,YES
174,5,0.039721,NO
175,0,0.000338,NO
176,0,0.000292,NO
177,8,0.013245,NO
178,7,0.008365,NO
179,1,0.000274,NO
180,6,0.006296,NO
181,1,0.000342,NO
182,1,0.000296,NO
183,1,0.000296,NO
184,13,0.009086,NO
185,10,0.146721,NO
186,1,0.000274,NO
187,16,0.869527,NO
188,1,0.000274,NO
189,1,0.000296,NO
190,1,0.000425,NO
191,0,0.000337,NO
192,15,0.370873,NO
193,2,0.000364,NO
194,1,0.000274,NO
195,1,0.000274,NO
196,1,0.000274,NO
197,1,0.000274,NO
198,15,0.015394,NO
199,21,0.999620,NO
200,3,0.000324,NO
201,0,0.000419,NO
202,1,0.000274,NO
203,10,0.787465,NO
204,29,0.999999,NO
205,18,0.996039,NO
206,4,0.000566,NO
207,1,0.000274,NO
208,51,1.000000,YES
209,8,0.004306,NO
210,7,0.003730,NO
211,1,0.000274,NO
212,3,0.000522,NO
213,4,0.000589,NO
214,1,0.000296,NO
215,1,0.000274,NO
216,0,0.000338,NO
217,0,0.000292,NO
218,0,0.000292,NO
219,0,0.894083,NO
220,0,0.999981,NO
221,0,1.000000,NO
222,0,0.879336,NO
223,0,0.999992,NO
224,0,0.000271,NO
225,1,0.001226,NO
226,1,0.000274,NO
227,1,0.001226,NO
228,1,0.000274,NO
229,5,0.000888,NO
230,4,0.000911,NO
231,8,0.010758,NO
232,11,0.028949,NO
233,9,0.247810,NO
