ID,Size,Predicted,Actual
0,1,0.000003,NO
1,1,0.000000,NO
2,5,0.000003,NO
3,1,0.000000,NO
4,1,0.000000,NO
5,1,0.066667,NO
6,1,0.000000,NO
7,14,0.000075,NO
8,1,0.000000,NO
9,11,0.000075,NO
10,0,0.000001,NO
11,1,0.066667,NO
12,7,0.000004,NO
13,0,0.000001,NO
14,1,0.000019,NO
15,1,0.000001,NO
16,35,0.000075,NO
17,1,0.000000,NO
18,1,0.000000,NO
19,1,0.000000,NO
20,1,0.170270,NO
21,3,0.000007,NO
22,5,0.000075,NO
23,14,0.000075,NO
24,4,0.000075,NO
25,8,0.000019,NO
26,17,0.000075,NO
27,16,0.000075,NO
28,1,0.000000,NO
29,2,0.000003,NO
30,1,0.066667,NO
31,1,0.000000,NO
32,5,0.000038,NO
33,0,0.015749,NO
34,9,0.999925,NO
35,1,0.000001,NO
36,4,0.000007,NO
37,1,0.009805,NO
38,3,0.000075,NO
39,2,0.035717,NO
40,16,0.000075,NO
41,12,0.000075,NO
42,6,0.000038,NO
43,1,0.000000,NO
44,1,0.000000,NO
45,1,0.000006,NO
46,6,0.000075,NO
47,10,0.000075,NO
48,1,0.000019,NO
49,17,0.000075,NO
50,7,0.000075,NO
51,4,0.999925,NO
52,1,0.000000,NO
53,3,0.058827,NO
54,1,0.170270,NO
55,1,0.000000,NO
56,6,0.000004,NO
57,1,0.170270,NO
58,1,0.000001,NO
59,1,0.000000,NO
60,1,0.007353,NO
61,6,0.000075,NO
62,5,0.000007,NO
63,23,0.000075,NO
64,1,0.000000,NO
65,0,0.000001,NO
66,2,0.000002,NO
67,0,0.000003,NO
68,0,0.000001,NO
69,1,0.000000,NO
70,1,0.000002,NO
71,1,0.007353,NO
72,1,0.000000,NO
73,2,0.000006,NO
74,1,0.023257,NO
75,1,0.000025,NO
76,1,0.000000,NO
77,6,0.058827,NO
78,1,0.000000,NO
79,13,0.000075,NO
80,1,0.017422,NO
81,11,0.000075,NO
82,13,0.000075,NO
83,1,0.000001,NO
84,1,0.000001,NO
85,3,0.000013,NO
86,14,0.000075,NO
87,1,0.000003,NO
88,5,0.000075,NO
89,1,0.017422,NO
90,3,0.000075,NO
91,69,0.000075,NO
92,10,0.000075,NO
93,2,0.000038,NO
94,8,0.000004,NO
95,5,0.000075,NO
96,1,0.156864,NO
97,13,0.000038,NO
98,3,0.000075,NO
99,1,0.000015,NO
100,15,0.000075,NO
101,8,0.000019,NO
102,0,0.000002,NO
103,6,0.000004,NO
104,1,0.000075,NO
105,3,0.000075,NO
106,9,0.000038,NO
107,0,0.000001,NO
108,14,0.000075,NO
109,0,0.000001,NO
110,1,0.000000,NO
111,4,0.000025,NO
112,7,0.000009,NO
113,0,0.000001,NO
114,2,0.000002,NO
115,1,0.066667,NO
116,4,0.000005,NO
117,4,0.142865,NO
