ID,Size,Predicted,Actual
0,11,0.108961,NO
1,1,0.003439,NO
2,1,0.001826,NO
3,4,0.009310,NO
4,1,0.003439,NO
5,7,0.001672,NO
6,0,0.001313,NO
7,0,0.128742,NO
8,16,0.154264,NO
9,8,0.006947,NO
10,5,0.001219,NO
11,9,0.047322,NO
12,1,0.000462,NO
13,1,0.000939,NO
14,6,0.009504,NO
15,1,0.006101,NO
16,4,0.000996,NO
17,2,0.003465,NO
18,4,0.003013,NO
19,1,0.001826,NO
20,1,0.001434,NO
21,1,0.000939,NO
22,1,0.000467,NO
23,34,0.999999,NO
24,7,0.012085,NO
25,9,0.199379,NO
26,7,0.013460,NO
27,1,0.004793,NO
28,14,0.316252,NO
29,9,0.048509,NO
30,1,0.008975,NO
31,1,0.000939,NO
32,4,0.001105,NO
33,3,0.000508,NO
34,1,0.001231,NO
35,4,0.016352,NO
36,4,0.097958,NO
37,6,0.003798,NO
38,1,0.002498,NO
39,8,0.002767,NO
40,0,0.000965,NO
41,1,0.000462,NO
42,1,0.003439,NO
43,28,1.000000,NO
44,10,0.115649,NO
45,30,1.000000,NO
46,0,0.003533,NO
47,1,0.003407,NO
48,2,0.001804,NO
49,1,0.000939,NO
50,10,0.072195,NO
51,23,0.966573,NO
52,4,0.008117,NO
53,15,0.999794,NO
54,18,0.207898,NO
55,0,0.005173,NO
56,1,0.001826,NO
57,20,0.968362,NO
58,12,0.037525,NO
59,12,0.095157,NO
60,10,0.010926,NO
61,1,0.000854,NO
62,1,0.000467,NO
63,3,0.001022,NO
64,27,0.999666,NO
65,0,0.000701,NO
66,2,0.001879,NO
67,13,0.103007,NO
68,7,0.003390,NO
69,1,0.000531,NO
70,12,0.998770,NO
71,1,0.009530,NO
72,1,0.001826,NO
73,5,0.011148,NO
74,31,1.000000,NO
75,3,0.012223,NO
76,11,0.180639,NO
77,8,0.002892,NO
78,4,0.001386,NO
79,1,0.001079,NO
80,46,1.000000,NO
81,12,1.000000,NO
82,7,0.015507,NO
83,7,0.043467,NO
84,4,0.005461,NO
85,7,0.001672,NO
86,33,0.999990,NO
87,11,0.025175,NO
88,1,0.000462,NO
89,5,0.005002,NO
90,29,1.000000,NO
91,1,0.000462,NO
92,1,0.000467,NO
93,8,0.008628,NO
94,2,0.000880,NO
95,24,0.995616,NO
96,22,0.994172,NO
97,2,0.001120,NO
98,0,0.006536,NO
99,0,0.002765,NO
100,6,0.001302,NO
101,0,0.000475,NO
102,1,0.000939,NO
103,4,0.001017,NO
104,1,0.001826,NO
105,7,0.020806,NO
106,0,0.000860,NO
107,1,0.000462,NO
108,1,0.000462,NO
109,19,0.996759,NO
110,7,0.003470,NO
111,3,0.000503,NO
112,1,0.000682,NO
113,1,0.001843,NO
114,16,0.727083,NO
115,2,0.001896,NO
116,3,0.133250,NO
117,15,0.269701,NO
118,13,0.600362,NO
119,1,0.007256,NO
120,0,0.000965,NO
121,1,0.001384,NO
122,1,0.000939,NO
123,7,0.010324,NO
124,1,0.000462,NO
125,13,0.054611,NO
126,1,0.001826,NO
127,1,0.001717,NO
128,1,0.003312,NO
129,31,1.000000,NO
130,1,0.006101,NO
131,1,0.003407,NO
132,1,0.003913,NO
133,1,0.003407,NO
134,0,0.005155,NO
135,7,0.038532,NO
136,1,0.000948,NO
137,3,0.000940,NO
138,1,0.008831,NO
139,1,0.001079,NO
140,3,0.035322,NO
141,3,0.001704,NO
142,1,0.002788,NO
143,9,0.014588,NO
144,4,0.181418,NO
145,6,0.009547,NO
146,8,0.007478,NO
147,0,0.000480,NO
148,1,0.003407,NO
149,1,0.001826,NO
150,1,0.003407,NO
151,1,0.000462,NO
152,1,0.006101,NO
153,1,0.000462,NO
154,1,0.003407,NO
155,1,0.003407,NO
156,2,0.003537,NO
157,0,0.003368,NO
158,17,0.894406,NO
159,1,0.028750,NO
160,1,0.007004,NO
161,1,0.001826,NO
162,18,0.950450,NO
163,98,1.000000,NO
164,4,0.464790,NO
165,1,0.006158,NO
166,1,0.000846,NO
167,14,0.079581,NO
168,2,0.000512,NO
169,1,0.000939,NO
170,3,0.001022,NO
171,1,0.003913,NO
172,1,0.000939,NO
173,1,0.001826,NO
174,1,0.007004,NO
175,1,0.000948,NO
176,1,0.001826,NO
177,1,0.006101,NO
178,1,0.000531,NO
179,53,1.000000,NO
180,1,0.000939,NO
181,0,0.001856,NO
182,11,0.246500,NO
183,4,0.007245,NO
184,2,0.000476,NO
185,1,0.000462,NO
186,1,0.002970,NO
187,18,0.904390,NO
188,1,0.047459,NO
189,1,0.001843,NO
190,5,0.001325,NO
191,1,0.007256,NO
192,1,0.006101,NO
193,1,0.003896,NO
194,5,0.001537,NO
195,1,0.001079,NO
196,1,0.000706,NO
197,1,0.000467,NO
198,8,0.032170,NO
199,1,0.006158,NO
200,1,0.018987,NO
201,3,0.009173,NO
202,4,0.001005,NO
203,13,0.019560,NO
204,6,0.001315,NO
205,1,0.452156,NO
206,1,0.003337,NO
207,1,0.001826,NO
208,9,0.007547,NO
209,0,0.002765,NO
210,0,0.002031,NO
211,22,0.668587,NO
212,1,0.003407,NO
213,0,0.001108,NO
214,0,0.001661,NO
215,2,0.015046,NO
216,2,0.003505,NO
217,0,0.001876,NO
218,1,0.000948,NO
219,2,0.001896,NO
220,1,0.004851,NO
221,1,0.000939,NO
222,1,0.006101,NO
223,1,0.000462,NO
