ID,Size,Predicted,Actual
0,1,0.005118,NO
1,1,0.008292,NO
2,1,0.005118,NO
3,1,0.032510,NO
4,8,0.011765,NO
5,7,0.047224,NO
6,4,0.002559,NO
7,11,0.012453,NO
8,1,0.018317,NO
9,1,0.005118,NO
10,5,0.002641,NO
11,10,0.010954,NO
12,0,0.010059,NO
13,3,0.016721,NO
14,6,0.002794,NO
15,0,0.005208,NO
16,1,0.005118,NO
17,13,0.004464,NO
18,2,0.018317,NO
19,1,0.031734,NO
20,1,0.032510,NO
21,8,0.006096,NO
22,42,0.999997,NO
23,1,0.032510,NO
24,1,0.002541,NO
25,1,0.018317,NO
26,3,0.026145,NO
27,1,0.009887,NO
28,0,0.010059,NO
29,0,0.010059,NO
30,14,0.044810,NO
31,2,0.016604,NO
32,1,0.018317,NO
33,1,0.002541,NO
34,0,0.002586,NO
35,16,0.006529,NO
36,4,0.002559,NO
37,0,0.005208,NO
38,4,0.005155,NO
39,0,0.005208,NO
40,1,0.002541,NO
41,5,0.010274,NO
42,4,0.005155,NO
43,0,0.018633,NO
44,15,0.044869,NO
45,0,0.010059,NO
46,9,0.006096,NO
47,1,0.005118,NO
48,1,0.002541,NO
49,0,0.002586,NO
50,7,0.005626,NO
51,0,0.010059,NO
52,15,0.028092,NO
53,21,0.013826,NO
54,2,0.018317,NO
55,2,0.016604,NO
56,1,0.032510,NO
57,4,0.016721,NO
58,1,0.009887,NO
59,1,0.032510,NO
60,2,0.018317,NO
61,1,0.002541,NO
62,1,0.009887,NO
63,25,0.050367,NO
64,1,0.005118,NO
65,11,0.012453,NO
66,10,0.003363,NO
67,7,0.002794,NO
68,3,0.009957,NO
69,3,0.002559,NO
70,0,0.002586,NO
71,14,0.017270,NO
72,0,0.005208,NO
73,0,0.005208,NO
74,4,0.082856,NO
75,4,0.009957,NO
76,4,0.009957,NO
77,0,0.018633,NO
78,0,0.058660,NO
79,6,0.005626,NO
80,2,0.008292,NO
81,29,0.226374,NO
82,8,0.006096,NO
83,4,0.002559,NO
84,1,0.005118,NO
85,5,0.033753,NO
86,27,0.246293,NO
87,13,0.017270,NO
88,1,0.002541,NO
89,1,0.005118,NO
90,7,0.010862,NO
91,5,0.019028,NO
92,0,0.033063,NO
93,13,0.004464,NO
94,1,0.002541,NO
95,5,0.010274,NO
96,1,0.009887,NO
97,10,0.006768,NO
98,1,0.002541,NO
99,14,0.371317,NO
100,1,0.018317,NO
101,0,0.005208,NO
102,4,0.005155,NO
103,6,0.002794,NO
104,4,0.005155,NO
105,1,0.009887,NO
106,5,0.010274,NO
107,9,0.003028,NO
108,1,0.005118,NO
109,4,0.043424,NO
110,8,0.003028,NO
111,8,0.003028,NO
112,0,0.010059,NO
113,5,0.019028,NO
114,7,0.010862,NO
115,1,0.009887,NO
116,21,0.052088,NO
117,6,0.002794,NO
118,1,0.999565,NO
119,0,0.010059,NO
120,0,0.005208,NO
121,2,0.018317,NO
122,3,0.002559,NO
123,1,0.005118,NO
124,9,0.011765,NO
125,1,0.002541,NO
126,16,0.025112,NO
