ID,Size,Predicted,Actual
0,1,0.002520,NO
1,22,0.986068,NO
2,1,0.000218,NO
3,5,0.000210,NO
4,4,0.000137,NO
5,8,0.001708,NO
6,0,0.000401,NO
7,39,0.949644,NO
8,18,0.995488,NO
9,2,0.000477,NO
10,0,0.000361,NO
11,0,0.000220,NO
12,3,0.002029,NO
13,1,0.000734,NO
14,1,0.000114,NO
15,1,0.000734,NO
16,1,0.000057,NO
17,1,0.000219,NO
18,4,0.000250,NO
19,1,0.000218,NO
20,0,0.000332,NO
21,1,0.000057,NO
22,1,0.001949,NO
23,20,0.283447,NO
24,1,0.000057,NO
25,1,0.000064,NO
26,1,0.000057,NO
27,0,0.000742,NO
28,1,0.000218,NO
29,0,0.000129,NO
30,0,0.000114,NO
31,10,0.010347,NO
32,1,0.000057,NO
33,8,0.000310,NO
34,2,0.000228,NO
35,0,0.000551,NO
36,77,1.000000,NO
37,5,0.000228,NO
38,3,0.001485,NO
39,1,0.000114,NO
40,0,0.000332,NO
41,5,0.000416,NO
42,10,0.034516,NO
43,2,0.000625,NO
44,1,0.000114,NO
45,0,0.000114,NO
46,1,0.000407,NO
47,11,0.004569,NO
48,47,1.000000,NO
49,0,0.000167,NO
50,1,0.000407,NO
51,8,0.000155,NO
52,3,0.000116,NO
53,1,0.000274,NO
54,4,0.000226,NO
55,0,0.001439,NO
56,9,0.003196,NO
57,1,0.000407,NO
58,2,0.000426,NO
59,1,0.000057,NO
60,1,0.000057,NO
61,0,0.000065,NO
62,10,0.001473,NO
63,0,0.000222,NO
64,5,0.000747,NO
65,35,0.999781,NO
66,0,0.000411,NO
67,2,0.000416,NO
68,1,0.000326,NO
69,10,0.003295,NO
70,3,0.000230,NO
71,1,0.001431,NO
72,1,0.000734,NO
73,19,0.918625,NO
74,8,0.000192,NO
75,1,0.000114,NO
76,1,0.000274,NO
77,22,0.135749,NO
78,6,0.000423,NO
79,0,0.000058,NO
80,1,0.000057,NO
81,1,0.000218,NO
82,1,0.000407,NO
83,0,0.000220,NO
84,10,0.000824,NO
85,1,0.000114,NO
86,0,0.000065,NO
87,2,0.000229,NO
88,14,0.006703,NO
89,5,0.159755,NO
90,3,0.000152,NO
91,10,0.001027,NO
92,6,0.000423,NO
93,76,1.000000,NO
94,1,0.000057,NO
95,4,0.001232,NO
96,5,0.001063,NO
97,0,0.000115,NO
98,1,0.000734,NO
99,11,0.002220,NO
100,0,0.000580,NO
101,6,0.000208,NO
102,5,0.000417,NO
103,5,0.000187,NO
104,1,0.000734,NO
105,1,0.000409,NO
106,0,0.000797,NO
107,2,0.000477,NO
108,0,0.000409,NO
109,50,1.000000,NO
110,0,0.000220,NO
111,4,0.000330,NO
112,0,0.000221,NO
113,2,0.000229,NO
114,1,0.002876,NO
115,7,0.000998,NO
116,6,0.000105,NO
117,1,0.000057,NO
118,5,0.000261,NO
119,4,0.000481,NO
120,3,0.000290,NO
121,0,0.000129,NO
122,1,0.000409,NO
123,44,1.000000,NO
124,2,0.001026,NO
125,8,0.000158,NO
126,0,0.000057,NO
127,1,0.000407,NO
128,8,0.004721,NO
129,1,0.000057,NO
130,32,0.999976,NO
131,9,0.000417,NO
132,8,0.003097,NO
133,14,0.057528,NO
134,1,0.000738,NO
135,1,0.000534,NO
136,1,0.000159,NO
137,1,0.000114,NO
138,49,1.000000,NO
139,0,0.000138,NO
140,4,0.000251,NO
141,1,0.000407,NO
142,4,0.000780,NO
143,1,0.000114,NO
144,15,0.054374,NO
145,1,0.000218,NO
146,0,0.000416,NO
147,9,0.079709,NO
148,1,0.000407,NO
149,0,0.000221,NO
150,5,0.028438,NO
151,1,0.000218,NO
152,1,0.000096,NO
153,1,0.000218,NO
154,5,0.002157,NO
155,1,0.000734,NO
156,1,0.000734,NO
157,19,0.131739,NO
158,3,0.000071,NO
159,7,0.000311,NO
160,0,0.000114,NO
161,1,0.000114,NO
162,52,1.000000,NO
163,1,0.000057,NO
164,1,0.000407,NO
165,0,0.000265,NO
166,1,0.000409,NO
167,6,0.000170,NO
168,12,0.007159,NO
169,1,0.000275,NO
170,7,0.001089,NO
171,2,0.000064,NO
172,8,0.000310,NO
173,6,0.453439,NO
174,0,0.000090,NO
175,4,0.000780,NO
176,6,0.001515,NO
177,1,0.000057,NO
178,7,0.000797,NO
179,1,0.000057,NO
180,12,0.003586,NO
181,1,0.060821,NO
182,10,0.001433,NO
183,1,0.000218,NO
184,0,0.000115,NO
185,7,0.000546,NO
186,1,0.000114,NO
187,7,0.001089,NO
188,1,0.000343,NO
189,1,0.000219,NO
190,1,0.000057,NO
191,22,0.876905,NO
192,6,0.000105,NO
193,1,0.000218,NO
194,1,0.000409,NO
195,1,0.000114,NO
196,2,0.000175,NO
197,1,0.000407,NO
198,15,0.005400,NO
199,28,1.000000,NO
200,8,0.053842,NO
201,4,0.001411,NO
202,0,0.000308,NO
203,1,0.001431,NO
204,2,0.000229,NO
205,11,0.022602,NO
206,2,0.000766,NO
207,1,0.000219,NO
208,1,0.000114,NO
209,8,0.001224,NO
210,1,0.000114,NO
211,1,0.000273,NO
212,23,0.447141,NO
213,4,0.000541,NO
214,6,0.001030,NO
215,3,0.000402,NO
216,8,0.001224,NO
217,0,0.000120,NO
218,2,0.000625,NO
219,1,0.637360,NO
220,1,0.000114,NO
221,0,0.000160,NO
222,1,0.000274,NO
223,1,0.000219,NO
224,4,0.000251,NO
225,4,0.000137,NO
226,2,0.000060,NO
227,1,0.000826,NO
228,0,0.000057,NO
229,2,0.000426,NO
230,1,0.000218,NO
231,4,0.000126,NO
232,1,0.000138,NO
233,1,0.000057,NO
234,10,0.002550,NO
235,1,0.000057,NO
236,5,0.000642,NO
237,11,0.008224,NO
238,10,0.009294,NO
239,1,0.000114,NO
240,2,0.000770,NO
241,1,0.000057,NO
242,1,0.000114,NO
243,1,0.000057,NO
244,4,0.000190,NO
245,1,0.000114,NO
246,1,0.000057,NO
247,1,0.000114,NO
248,15,0.020325,NO
249,5,0.000416,NO
250,4,0.000142,NO
251,1,0.000114,NO
252,3,0.000116,NO
253,1,0.000218,NO
254,0,0.000574,NO
255,1,0.000218,NO
256,1,0.000570,NO
257,6,0.000518,NO
258,1,0.001776,NO
259,0,0.000220,NO
260,1,0.000457,NO
261,4,0.000137,NO
262,11,0.001156,NO
263,17,0.052889,NO
264,13,0.124116,NO
265,2,0.000229,NO
266,1,0.000114,NO
267,4,0.002264,NO
268,8,0.001224,NO
269,0,0.000058,NO
270,1,0.000057,NO
271,1,0.000057,NO
272,1,0.000057,NO
273,1,0.000057,NO
274,8,0.000417,NO
275,1,0.000826,NO
276,1,0.000057,NO
277,1,0.000057,NO
278,11,0.000718,NO
279,3,0.000817,NO
280,5,0.000800,NO
281,2,0.000175,NO
282,7,0.001084,NO
283,4,0.000204,NO
284,14,0.066150,NO
285,1,0.001939,NO
286,1,0.000057,NO
287,1,0.000057,NO
288,2,0.000766,NO
289,0,0.000160,NO
290,13,0.098969,NO
291,3,0.000126,NO
292,4,0.001453,NO
293,0,0.000087,NO
294,0,0.000140,NO
295,1,0.000218,NO
296,7,0.000208,NO
297,0,0.000065,NO
298,1,0.000057,NO
299,11,0.008927,NO
300,1,0.000407,NO
301,1,0.000526,NO
302,0,0.001439,NO
303,1,0.001449,NO
304,6,0.000208,NO
305,11,0.007808,NO
