ID,Size,Predicted,Actual
0,1,0.005266,NO
1,23,0.999259,NO
2,4,0.055496,NO
3,2,0.001210,NO
4,8,0.008698,NO
5,18,0.980340,NO
6,2,0.001144,NO
7,7,0.022774,NO
8,2,0.024413,NO
9,7,0.009891,NO
10,49,1.000000,NO
11,23,0.999057,NO
12,1,0.010381,NO
13,6,0.020863,NO
14,1,0.000732,NO
15,0,0.001366,NO
16,27,0.999647,NO
17,30,1.000000,NO
18,1,0.005266,NO
19,1,0.015846,NO
20,3,0.003686,NO
21,10,0.992205,NO
22,3,0.186170,NO
23,1,0.015846,NO
24,8,0.006316,NO
25,5,0.002163,NO
26,1,0.002068,NO
27,9,0.040407,NO
28,5,0.101741,NO
29,16,0.894120,NO
30,0,0.006405,NO
31,0,0.005968,NO
32,4,0.002010,NO
33,3,0.787082,NO
34,1,0.002068,NO
35,2,0.021880,NO
36,4,0.001752,NO
37,6,0.302184,NO
38,1,0.960494,NO
39,4,0.027254,NO
40,8,1.000000,NO
41,1,0.000879,NO
42,1,0.002068,NO
43,7,0.002480,NO
44,17,0.999885,NO
45,5,0.001819,NO
46,0,0.025300,NO
47,25,0.999833,NO
48,8,0.045346,NO
49,1,1.000000,NO
50,0,0.018773,NO
51,1,0.010381,NO
52,0,0.010269,NO
53,0,0.011414,NO
54,1,0.015846,NO
55,1,0.013214,NO
56,3,0.017850,NO
57,1,0.000732,NO
58,1,0.004880,NO
59,0,0.004828,NO
60,0,0.005209,NO
61,0,0.002530,NO
62,8,0.008559,NO
63,3,0.007267,NO
64,3,0.010410,NO
65,2,0.023947,NO
66,1,0.000732,NO
67,1,0.003233,NO
68,1,0.011538,NO
69,34,1.000000,NO
70,1,0.000732,NO
71,9,0.237620,NO
72,6,0.001526,NO
73,2,0.009157,NO
74,2,0.003256,NO
75,13,0.381267,NO
76,1,0.004880,NO
77,0,0.002207,NO
78,0,0.000781,NO
79,12,0.037767,NO
80,0,0.051362,NO
81,1,0.017084,NO
82,1,0.000790,NO
83,0,0.006641,NO
84,1,0.002068,NO
85,18,0.347961,NO
86,13,1.000000,NO
87,3,0.002333,NO
88,1,0.000790,NO
89,1,0.000732,NO
90,3,0.923905,NO
91,2,0.017141,NO
92,14,0.087914,NO
93,1,0.004880,NO
94,10,0.119070,NO
95,0,0.002045,NO
96,59,1.000000,NO
97,0,0.003329,NO
98,0,0.005794,NO
99,1,0.002068,NO
100,0,0.958051,NO
101,0,0.009671,NO
102,7,0.002480,NO
103,3,0.002801,NO
104,7,0.032866,NO
105,36,1.000000,NO
106,1,0.000732,NO
107,1,0.004880,NO
108,0,0.000870,NO
109,4,0.020499,NO
110,6,0.633729,NO
111,3,0.016024,NO
112,7,0.934305,NO
113,0,0.015677,NO
114,5,0.038526,NO
115,2,0.002239,NO
116,1,0.002068,NO
117,4,0.006147,NO
118,0,0.002816,NO
119,9,0.023829,NO
120,3,0.017055,NO
121,19,0.995386,NO
122,1,0.006374,NO
123,1,0.004880,NO
124,1,0.000732,NO
125,12,0.198846,NO
126,5,0.047999,NO
127,14,0.833704,NO
128,7,0.152852,NO
129,1,0.038512,NO
130,1,0.000879,NO
131,1,0.000732,NO
132,1,0.998242,NO
133,10,0.320520,NO
134,1,0.000790,NO
135,1,0.007930,NO
136,1,0.002068,NO
137,0,0.000781,NO
138,2,0.005504,NO
139,1,0.002068,NO
140,1,0.002232,NO
141,1,0.004880,NO
142,0,0.002456,NO
143,2,0.003210,NO
144,1,0.004880,NO
145,0,0.007535,NO
146,3,0.003978,NO
147,1,0.009624,NO
148,1,0.010381,NO
149,0,0.000781,NO
150,0,0.002078,NO
151,5,0.046335,NO
152,1,0.004880,NO
153,7,0.009891,NO
154,1,0.002068,NO
155,0,0.906092,NO
156,3,0.009364,NO
157,5,0.004516,NO
158,11,0.024718,NO
159,0,0.002274,NO
160,1,0.002483,NO
161,4,0.004117,NO
162,3,0.005505,NO
163,6,0.053021,NO
164,0,0.002340,NO
165,7,0.148411,NO
166,1,0.010381,NO
167,1,0.017084,NO
168,0,0.006871,NO
169,1,0.002068,NO
170,5,0.001819,NO
171,22,0.993876,NO
172,28,0.999810,NO
173,8,0.008294,NO
174,1,0.000732,NO
175,14,0.180696,NO
176,20,0.035279,NO
177,1,0.004880,NO
178,5,0.001686,NO
179,1,0.004880,NO
180,1,0.019815,NO
181,8,0.007284,NO
182,1,0.009654,NO
183,0,0.002207,NO
184,2,0.007016,NO
185,3,0.017850,NO
186,13,0.304321,NO
187,0,0.009520,NO
188,2,0.008045,NO
189,7,1.000000,NO
190,1,0.000732,NO
191,1,0.005266,NO
192,3,0.000992,NO
193,0,0.002415,NO
194,9,0.023829,NO
195,5,0.010384,NO
196,1,0.002232,NO
197,3,0.001410,NO
198,1,0.017084,NO
199,0,0.011414,NO
200,1,0.015846,NO
201,7,0.007826,NO
202,23,1.000000,NO
203,1,0.004880,NO
204,1,0.004880,NO
205,1,0.009624,NO
206,32,1.000000,NO
207,7,0.081779,NO
208,6,0.007235,NO
209,1,0.000732,NO
210,1,0.004880,NO
211,0,0.000870,NO
212,3,0.005505,NO
213,0,0.002207,NO
214,2,0.167688,NO
215,16,0.127830,NO
216,16,0.999997,NO
217,1,0.000732,NO
218,0,0.004828,NO
219,13,0.316138,NO
220,1,0.002900,NO
221,4,0.013707,NO
222,16,0.776669,NO
223,1,0.000732,NO
224,2,0.024413,NO
225,0,0.003329,NO
226,113,1.000000,NO
227,13,1.000000,NO
228,0,0.002045,NO
229,0,0.013073,NO
230,2,0.000826,NO
231,4,0.003603,NO
232,17,0.902037,NO
233,14,0.114785,NO
234,1,0.006877,NO
235,1,0.004880,NO
236,0,0.015677,NO
237,13,0.380812,NO
238,1,0.000732,NO
239,4,0.005249,NO
240,8,0.026349,NO
241,6,0.028025,NO
242,72,1.000000,NO
243,2,0.000765,NO
244,2,0.000826,NO
245,4,0.012636,NO
246,6,0.053472,NO
247,2,0.012685,NO
248,0,0.003498,NO
249,1,0.009624,NO
250,7,0.126157,NO
251,2,0.001797,NO
252,1,0.017084,NO
253,1,0.000732,NO
254,1,0.010381,NO
255,17,0.975718,NO
256,1,0.006877,NO
257,0,0.002045,NO
258,1,0.005857,NO
259,0,0.002530,NO
260,1,0.002847,NO
261,4,0.002755,NO
262,58,1.000000,NO
263,1,0.000879,NO
264,0,0.007844,NO
265,3,0.010849,NO
266,0,0.002774,NO
267,4,0.010383,NO
268,13,0.207424,NO
269,6,0.134639,NO
270,0,0.005209,NO
271,14,1.000000,NO
272,1,0.002068,NO
273,13,0.160971,NO
274,9,0.086088,NO
275,3,0.009364,NO
276,4,0.965331,NO
277,0,0.000736,NO
278,1,0.000000,NO
279,0,0.002816,NO
280,0,0.002207,NO
281,4,0.004860,NO
282,2,0.170184,NO
283,0,0.004828,NO
284,8,0.017025,NO
285,0,0.000870,NO
286,5,0.032324,NO
287,11,0.390502,NO
288,3,0.007188,NO
289,5,0.028998,NO
290,1,0.015846,NO
291,1,0.004880,NO
292,0,0.004904,NO
293,1,0.008468,NO
294,1,0.009624,NO
295,5,0.011179,NO
296,0,0.002045,NO
297,4,0.002606,NO
298,0,0.006871,NO
299,4,0.014645,NO
300,0,0.036619,NO
301,17,0.976756,NO
302,1,0.000732,NO
303,3,0.002801,NO
304,4,0.001459,NO
305,12,0.923649,NO
306,1,0.000732,NO
307,4,0.003129,NO
308,1,0.002035,NO
309,1,0.004880,NO
310,0,0.001366,NO
311,0,0.000997,NO
312,1,0.000790,NO
313,1,0.002068,NO
314,1,0.000732,NO
315,0,0.000724,NO
316,4,0.001459,NO
317,0,0.009520,NO
318,17,0.170776,NO
319,1,0.000790,NO
320,13,0.908180,NO
321,1,0.015846,NO
322,1,0.002232,NO
323,1,0.000732,NO
324,13,0.140463,NO
325,0,0.002207,NO
326,1,0.004880,NO
327,6,0.002169,NO
328,17,0.732556,NO
329,10,0.683775,NO
330,2,0.002333,NO
331,13,0.382513,NO
332,45,1.000000,NO
333,0,0.000781,NO
334,1,0.004880,NO
335,2,0.006661,NO
336,1,0.209507,NO
337,0,0.002078,NO
338,5,0.129093,NO
339,9,0.019689,NO
340,4,0.006147,NO
341,5,0.002744,NO
342,1,0.002068,NO
343,0,0.000870,NO
344,1,0.004880,NO
345,4,0.011617,NO
346,0,0.004828,NO
347,1,0.005857,NO
348,1,0.017084,NO
349,2,0.000765,NO
350,2,0.002595,NO
351,1,0.000790,NO
352,1,0.000879,NO
353,0,0.005794,NO
354,12,0.615244,NO
355,0,0.000724,NO
356,0,0.006641,NO
357,33,1.000000,NO
358,1,0.004880,NO
359,17,0.892619,NO
360,0,0.002045,NO
361,0,0.001438,NO
362,13,0.098591,NO
363,1,0.015846,NO
364,4,0.004442,NO
365,1,0.009624,NO
366,2,0.002333,NO
367,6,0.104908,NO
368,3,0.019241,NO
369,4,0.009690,NO
370,10,0.107522,NO
371,0,0.006871,NO
372,6,0.019408,NO
373,0,0.000997,NO
374,8,0.009383,NO
375,9,0.088166,NO
376,7,0.032713,NO
377,1,0.015846,NO
378,1,0.004880,NO
379,1,0.002068,NO
380,1,0.000790,NO
381,5,0.009967,NO
382,16,0.455517,NO
383,0,0.018773,NO
384,8,0.009383,NO
385,9,0.073182,NO
386,8,0.048040,NO
387,0,0.001366,NO
388,2,0.231349,NO
389,16,0.519164,NO
390,11,0.994384,NO
391,1,0.000732,NO
392,1,0.018834,NO
393,2,0.005068,NO
394,1,0.010381,NO
395,0,0.009833,NO
396,1,0.110460,NO
397,2,0.003415,NO
398,2,0.010847,NO
399,1,0.005617,NO
400,1,0.017084,NO
401,5,0.069603,NO
402,3,0.013004,NO
403,38,0.997187,NO
404,1,0.015846,NO
405,1,0.001454,NO
406,9,0.034490,NO
407,0,0.010269,NO
408,2,0.004035,NO
409,0,0.010269,NO
410,6,0.016916,NO
411,23,0.999687,NO
412,1,0.000732,NO
413,4,0.010452,NO
414,1,0.000732,NO
415,8,0.034764,NO
416,0,0.000997,NO
417,13,0.100674,NO
418,8,0.778981,NO
419,1,0.004880,NO
420,0,0.001438,NO
421,1,0.009624,NO
422,1,0.009624,NO
423,0,0.002045,NO
424,14,0.046740,NO
425,0,0.018773,NO
426,2,0.003415,NO
427,0,0.005209,NO
428,9,0.075963,NO
429,8,0.014386,NO
430,3,0.008681,NO
431,1,0.005266,NO
432,6,0.035503,NO
433,1,0.005266,NO
434,4,0.016244,NO
435,1,0.002068,NO
436,6,0.001526,NO
437,2,0.001240,NO
438,1,0.002232,NO
439,1,0.000732,NO
440,15,0.602129,NO
441,1,0.006374,NO
442,9,0.007990,NO
443,8,0.020818,NO
444,29,1.000000,NO
445,5,0.001601,NO
446,8,0.033313,NO
447,1,0.000790,NO
448,1,0.009624,NO
449,1,0.002068,NO
450,1,0.000790,NO
451,0,0.011414,NO
452,1,0.005266,NO
453,7,0.094433,NO
454,1,0.000732,NO
455,1,0.004880,NO
456,1,0.000790,NO
457,9,0.033051,NO
458,9,0.377448,NO
459,0,0.003409,NO
460,1,0.015846,NO
461,9,0.010920,NO
462,5,0.011514,NO
463,1,0.002068,NO
464,3,0.002518,NO
465,22,0.999973,NO
466,1,0.005617,NO
467,2,0.102643,NO
468,1,0.002232,NO
469,3,0.019241,NO
470,0,0.004828,NO
471,12,0.052663,NO
472,37,1.000000,NO
473,7,0.022774,NO
474,1,0.004880,NO
475,1,0.000790,NO
476,32,0.999999,NO
477,0,0.016902,NO
478,1,0.005266,NO
479,4,0.002852,NO
480,5,0.006060,NO
481,4,0.055496,NO
482,6,0.202712,NO
483,3,0.444649,NO
484,2,0.001430,NO
485,0,0.000781,NO
486,18,0.875167,NO
487,0,0.000360,NO
488,1,0.002068,NO
489,0,0.002816,NO
490,8,0.806685,NO
491,6,0.015936,NO
492,27,0.984080,NO
493,0,0.011414,NO
494,13,0.356388,NO
495,1,0.009624,NO
496,1,0.003365,NO
497,37,1.000000,NO
498,3,0.000826,NO
499,1,0.093608,NO
500,4,0.003078,NO
501,0,0.004828,NO
502,17,0.142325,NO
503,1,0.002232,NO
504,6,0.006064,NO
505,6,0.002169,NO
506,22,0.831655,NO
507,1,0.002068,NO
508,1,0.000732,NO
509,17,0.827362,NO
510,1,0.002232,NO
511,8,0.026349,NO
512,1,0.020891,NO
513,1,0.000790,NO
514,8,0.009383,NO
515,1,0.010381,NO
516,0,0.001807,NO
517,1,0.000732,NO
518,5,0.015342,NO
519,6,0.997032,NO
520,1,0.004880,NO
521,0,0.004828,NO
522,33,1.000000,NO
523,1,0.000732,NO
524,1,0.003173,NO
525,1,0.000790,NO
526,2,0.010847,NO
527,1,0.002068,NO
528,12,0.062559,NO
529,1,0.004880,NO
530,1,0.002483,NO
531,5,0.009753,NO
532,9,0.026447,NO
533,2,0.001306,NO
534,1,0.004880,NO
535,1,0.009624,NO
536,25,0.999533,NO
537,16,0.122442,NO
538,1,0.009624,NO
539,1,0.004880,NO
540,1,0.017084,NO
541,3,0.001138,NO
542,2,0.008411,NO
543,6,0.008922,NO
544,13,0.205649,NO
545,7,0.857314,NO
546,3,0.002518,NO
547,10,0.092947,NO
548,0,0.002045,NO
549,1,0.000790,NO
550,1,0.000790,NO
551,18,0.970068,NO
552,5,0.004754,NO
553,10,0.406502,NO
554,16,0.084769,NO
555,1,0.002232,NO
556,52,1.000000,NO
557,1,0.000732,NO
558,9,0.009823,NO
559,16,0.999999,NO
560,11,0.976684,NO
561,1,0.002068,NO
562,39,1.000000,NO
563,0,1.000000,NO
564,0,0.007844,NO
565,8,0.099881,NO
566,4,0.030824,NO
567,4,0.192996,NO
568,58,1.000000,NO
569,1,0.000790,NO
570,0,0.004828,NO
571,0,0.008968,NO
572,0,0.008968,NO
573,0,0.002456,NO
574,3,0.000992,NO
575,4,0.000923,NO
576,11,0.046067,NO
577,1,0.005857,NO
578,4,0.004504,NO
579,1,0.043460,NO
580,16,0.981696,NO
581,1,0.015846,NO
582,2,0.004035,NO
583,1,0.000732,NO
584,1,0.002068,NO
585,7,0.630377,NO
586,1,0.017187,NO
587,27,1.000000,NO
588,1,0.005857,NO
589,0,0.000724,NO
590,1,0.000790,NO
591,0,0.006405,NO
592,4,0.006632,NO
593,0,0.005209,NO
594,1,0.000732,NO
595,6,0.005663,NO
596,0,0.000781,NO
597,8,0.003337,NO
598,0,0.000343,NO
599,2,0.009796,NO
600,3,0.008681,NO
601,1,0.003010,NO
602,0,0.000736,NO
603,11,0.317511,NO
604,9,0.038482,NO
605,1,0.000732,NO
606,1,0.018975,NO
607,1,0.000790,NO
608,10,0.140566,NO
609,1,0.000732,NO
610,1,0.002068,NO
611,0,0.006803,NO
612,6,0.014343,NO
613,6,0.002563,NO
614,1,0.004880,NO
615,6,0.036471,NO
616,1,0.005527,NO
617,10,0.261303,NO
618,0,0.015677,NO
619,7,0.022774,NO
