ID,Size,Predicted,Actual
0,1,0.000000,NO
1,22,0.036667,NO
2,1,0.003427,NO
3,5,0.026221,NO
4,4,0.000000,NO
5,8,0.087453,NO
6,0,0.000000,NO
7,39,0.070000,NO
8,18,0.060000,NO
9,2,0.085073,NO
10,0,0.000000,NO
11,0,0.000000,NO
12,3,0.000000,NO
13,1,0.036585,NO
14,1,0.005459,NO
15,1,0.036585,NO
16,1,0.001183,NO
17,1,0.003427,NO
18,4,0.013390,NO
19,1,0.003427,NO
20,0,0.000000,NO
21,1,0.001183,NO
22,1,0.018118,NO
23,20,0.120000,NO
24,1,0.001183,NO
25,1,0.001183,NO
26,1,0.001183,NO
27,0,0.015961,NO
28,1,0.003427,NO
29,0,0.000000,NO
30,0,0.000000,NO
31,10,0.000000,NO
32,1,0.001183,NO
33,8,0.000000,NO
34,2,0.000000,NO
35,0,0.010000,NO
36,77,0.100000,NO
37,5,0.000000,NO
38,3,0.076712,NO
39,1,0.005459,NO
40,0,0.000000,NO
41,5,0.000000,NO
42,10,0.205333,NO
43,2,0.085073,NO
44,1,0.005459,NO
45,0,0.000000,NO
46,1,0.132853,NO
47,11,0.037000,NO
48,47,0.390000,NO
49,0,0.000000,NO
50,1,0.132853,NO
51,8,0.000000,NO
52,3,0.031736,NO
53,1,0.000000,NO
54,4,0.000000,NO
55,0,0.015961,NO
56,9,0.000000,NO
57,1,0.132853,NO
58,2,0.085073,NO
59,1,0.001183,NO
60,1,0.001183,NO
61,0,0.007978,NO
62,10,0.000000,NO
63,0,0.000000,NO
64,5,0.000000,NO
65,35,0.310000,NO
66,0,0.011329,NO
67,2,0.000000,NO
68,1,0.003427,NO
69,10,0.001429,NO
70,3,0.348421,NO
71,1,0.036585,NO
72,1,0.036585,NO
73,19,0.000000,NO
74,8,0.000000,NO
75,1,0.005459,NO
76,1,0.000000,NO
77,22,0.000000,NO
78,6,0.024908,NO
79,0,0.007978,NO
80,1,0.001183,NO
81,1,0.003427,NO
82,1,0.132853,NO
83,0,0.000000,NO
84,10,0.000000,NO
85,1,0.005459,NO
86,0,0.007978,NO
87,2,0.009559,NO
88,14,0.005000,NO
89,5,0.060000,NO
90,3,0.000000,NO
91,10,0.000000,NO
92,6,0.024908,NO
93,76,0.050000,NO
94,1,0.001183,NO
95,4,0.060000,NO
96,5,0.567555,NO
97,0,0.000000,NO
98,1,0.036585,NO
99,11,0.000000,NO
100,0,0.011329,NO
101,6,0.000000,NO
102,5,0.027293,NO
103,5,0.000000,NO
104,1,0.036585,NO
105,1,0.132853,NO
106,0,0.011329,NO
107,2,0.085073,NO
108,0,0.011329,NO
109,50,0.035000,NO
110,0,0.000000,NO
111,4,0.000000,NO
112,0,0.000000,NO
113,2,0.009559,NO
114,1,0.000000,NO
115,7,0.000000,NO
116,6,0.000000,NO
117,1,0.001183,NO
118,5,0.000000,NO
119,4,0.000000,NO
120,3,0.110000,NO
121,0,0.000000,NO
122,1,0.000000,NO
123,44,0.080000,NO
124,2,0.048646,NO
125,8,0.000000,NO
126,0,0.007978,NO
127,1,0.132853,NO
128,8,0.119575,NO
129,1,0.001183,NO
130,32,0.330000,NO
131,9,0.000000,NO
132,8,0.000000,NO
133,14,0.718095,NO
134,1,0.036585,NO
135,1,0.000000,NO
136,1,0.005459,NO
137,1,0.005459,NO
138,49,0.050000,NO
139,0,0.000000,NO
140,4,0.013390,NO
141,1,0.132853,NO
142,4,0.030714,NO
143,1,0.005459,NO
144,15,0.040000,NO
145,1,0.003427,NO
146,0,0.000000,NO
147,9,0.290000,NO
