ID,Size,Predicted,Actual
0,5,0.050000,YES
1,6,0.617599,YES
2,5,0.710736,YES
3,17,0.000000,YES
4,24,0.660000,YES
5,3,0.827867,YES
6,18,0.410000,YES
7,9,0.040000,YES
8,23,0.480000,YES
9,7,0.032500,YES
10,8,0.560000,YES
11,1,0.183281,YES
12,2,0.265061,YES
13,1,0.183281,YES
14,2,0.000000,YES
15,41,0.120000,YES
16,7,0.401327,YES
17,15,0.100000,YES
18,34,0.440000,YES
19,3,0.000000,YES
20,4,0.031667,YES
21,1,0.183281,YES
22,27,0.520000,YES
23,6,0.617599,YES
24,4,0.065000,YES
25,11,0.090000,YES
26,1,0.660000,YES
27,7,0.230000,YES
28,28,0.490000,YES
29,34,0.470000,YES
30,8,0.530000,YES
31,15,0.020000,YES
32,3,0.827867,YES
33,14,0.260000,YES
34,17,0.010000,YES
35,5,0.710736,YES
36,1,0.183281,YES
37,27,0.620000,YES
38,2,0.248556,YES
39,4,0.652667,YES
40,29,0.410000,YES
41,26,0.280000,YES
42,24,0.470000,YES
43,3,0.827867,YES
44,11,0.020000,YES
45,52,0.230000,YES
46,15,0.128333,YES
47,23,0.420000,YES
48,14,0.569619,YES
49,100,0.470000,YES
50,31,0.050000,YES
51,18,0.610000,YES
52,10,0.370000,YES
53,3,0.000000,YES
54,13,0.070000,YES
55,53,0.100000,YES
56,1,0.600000,YES
57,2,0.142831,YES
58,6,0.020000,YES
59,2,0.154198,YES
60,4,0.184583,YES
61,1,0.140487,YES
62,6,0.430000,YES
63,22,0.070000,YES
64,30,0.090000,YES
65,1,0.057415,YES
66,3,0.724997,YES
67,18,0.050000,YES
68,6,0.000000,YES
69,8,0.450000,YES
70,4,0.103565,YES
71,14,0.529119,YES
72,19,0.130000,YES
73,7,0.010000,NO
74,1,0.000000,NO
75,0,0.000000,NO
76,13,0.040000,NO
77,1,0.183281,NO
78,1,0.000000,NO
79,1,0.017226,NO
80,97,0.040000,NO
81,2,0.000000,NO
82,13,0.100000,NO
83,1,0.017226,NO
84,7,0.000000,NO
85,10,0.000000,NO
86,0,0.000000,NO
87,0,0.000000,NO
88,1,0.000000,NO
89,1,0.000000,NO
90,1,0.000000,NO
91,16,0.110000,NO
92,1,0.000000,NO
93,0,0.000000,NO
94,0,0.015495,NO
95,4,0.000000,NO
96,1,0.000000,NO
97,10,0.190000,NO
98,1,0.004309,NO
99,1,0.183281,NO
100,0,0.015495,NO
101,5,0.000000,NO
102,14,0.120000,NO
103,7,0.000000,NO
104,1,0.004309,NO
105,0,0.015495,NO
106,2,0.000000,NO
107,0,0.000000,NO
108,4,0.000000,NO
109,5,0.010000,NO
110,5,0.000000,NO
111,4,0.000000,NO
112,7,0.000000,NO
113,0,0.000000,NO
114,0,0.000000,NO
115,1,0.000000,NO
116,9,0.000000,NO
117,0,0.000000,NO
118,21,0.000000,NO
119,2,0.000000,NO
120,9,0.000000,NO
121,1,0.000000,NO
122,18,0.060000,NO
123,21,0.410000,NO
124,1,0.000000,NO
125,11,0.000000,NO
126,1,0.000000,NO
127,4,0.000000,NO
128,27,0.470000,NO
129,7,0.210500,NO
130,39,0.000000,NO
131,28,0.010000,NO
132,7,0.000000,NO
133,0,0.000000,NO
134,1,0.000000,NO
135,6,0.000000,NO
136,1,0.183281,NO
137,1,0.009234,NO
138,1,0.004309,NO
139,8,0.000000,NO
140,4,0.000000,NO
141,0,0.000000,NO
142,8,0.000000,NO
143,0,0.000000,NO
144,1,0.000000,NO
145,3,0.000000,NO
146,1,0.017226,NO
147,1,0.000000,NO
148,1,0.183281,NO
149,1,0.000000,NO
150,0,0.000000,NO
151,10,0.000000,NO
152,0,0.015495,NO
153,4,0.010000,NO
154,3,0.030000,NO
155,4,0.000000,NO
156,1,0.000000,NO
157,1,0.000000,NO
158,1,0.000000,NO
159,69,0.000000,NO
160,35,0.286667,NO
161,1,0.009234,NO
162,1,0.001042,NO
163,2,0.000000,NO
164,1,0.004309,NO
165,0,0.000000,NO
166,7,0.000000,NO
167,1,0.009234,NO
168,0,0.000000,NO
169,2,0.030000,NO
170,3,0.000000,NO
171,3,0.027311,NO
172,4,0.000000,NO
173,108,0.440000,NO
174,1,0.009234,NO
175,9,0.000000,NO
176,4,0.010000,NO
177,1,0.000000,NO
178,23,0.030000,NO
179,0,0.000000,NO
180,17,0.010000,NO
181,10,0.000000,NO
182,0,0.000000,NO
183,1,0.004309,NO
184,10,0.030000,NO
185,15,0.020000,NO
186,13,0.105833,NO
187,7,0.000000,NO
188,2,0.000000,NO
189,6,0.000000,NO
190,11,0.070000,NO
191,12,0.000000,NO
192,0,0.000000,NO
193,8,0.000000,NO
194,0,0.000000,NO
195,1,0.004309,NO
196,0,0.000000,NO
197,1,0.000000,NO
198,1,0.000000,NO
199,1,0.000000,NO
200,39,0.000000,NO
201,15,0.030000,NO
202,14,0.336667,NO
203,2,0.000000,NO
204,2,0.041885,NO
205,5,0.000000,NO
206,6,0.280000,NO
207,1,0.009234,NO
208,19,0.100000,NO
209,6,0.000000,NO
210,20,0.130000,NO
211,10,0.000000,NO
212,0,0.000000,NO
213,5,0.000000,NO
214,29,0.000000,NO
215,1,0.000000,NO
216,0,0.000000,NO
217,1,0.000000,NO
218,7,0.000000,NO
219,7,0.000000,NO
220,1,0.183281,NO
221,0,0.000000,NO
222,1,0.000000,NO
223,34,0.090000,NO
224,16,0.040000,NO
225,0,0.020000,NO
226,25,0.010000,NO
227,1,0.000000,NO
