ID,Size,Predicted,Actual
0,42,0.000075,YES
1,1,0.170213,YES
2,44,0.999925,YES
3,9,0.999925,YES
4,34,0.000075,YES
5,6,0.611110,YES
6,88,0.000075,YES
7,3,0.777775,YES
8,4,0.400003,YES
9,16,0.000075,YES
10,3,0.838708,YES
11,13,0.000075,YES
12,7,0.000038,YES
13,8,0.666658,YES
14,19,0.000075,YES
15,4,0.000025,YES
16,1,0.000075,YES
17,4,0.500000,YES
18,3,0.777775,YES
19,11,0.000075,YES
20,1,0.170213,YES
21,57,0.000075,YES
22,13,0.000075,YES
23,18,0.000075,YES
24,2,0.000075,YES
25,3,0.838708,YES
26,11,0.000075,YES
27,36,0.000075,YES
28,3,0.777775,YES
29,1,0.170213,YES
30,13,0.000075,YES
31,3,0.838708,YES
32,41,0.000075,YES
33,1,0.000075,YES
34,16,0.999925,YES
35,3,0.000038,YES
36,1,0.170213,YES
37,51,0.999925,YES
38,15,0.000075,YES
39,12,0.000075,YES
40,2,0.000015,YES
41,21,0.000075,YES
42,2,0.000009,YES
43,12,0.999925,YES
44,1,0.170213,YES
45,17,0.000075,YES
46,7,0.000075,YES
47,2,0.200005,YES
48,5,0.782607,YES
49,10,0.000038,YES
50,1,0.064221,YES
51,21,0.000075,YES
52,24,0.000075,YES
53,18,0.999925,YES
54,29,0.999925,YES
55,3,0.777775,YES
56,33,0.000075,YES
57,10,0.000038,YES
58,6,0.611110,YES
59,47,0.000075,YES
60,17,0.000075,YES
61,7,0.000075,YES
62,6,0.000075,YES
63,15,0.999925,YES
64,2,0.000006,YES
65,10,0.000075,YES
66,1,0.170213,YES
67,6,0.000004,YES
68,5,0.000075,YES
69,14,0.000075,YES
70,0,0.007634,YES
71,26,0.999925,YES
72,27,0.999925,YES
73,1,0.000000,NO
74,0,0.000008,NO
75,1,0.000003,NO
76,1,0.000000,NO
77,31,0.000075,NO
78,7,0.000038,NO
79,1,0.009108,NO
80,14,0.999925,NO
81,0,0.000008,NO
82,15,0.000075,NO
83,9,0.000075,NO
84,13,0.000075,NO
85,0,0.000007,NO
86,6,0.000038,NO
87,26,0.000075,NO
88,3,0.000005,NO
89,1,0.000000,NO
90,1,0.081634,NO
91,13,0.000075,NO
92,0,0.000001,NO
93,8,0.000011,NO
94,4,0.000025,NO
95,1,0.000001,NO
96,1,0.000000,NO
97,1,0.004587,NO
98,1,0.004587,NO
99,1,0.009108,NO
100,8,0.000075,NO
101,0,0.000001,NO
102,1,0.000000,NO
103,3,0.000075,NO
104,3,0.000003,NO
105,1,0.017857,NO
106,1,0.000000,NO
107,6,0.000025,NO
108,0,0.000001,NO
109,0,0.000001,NO
110,5,0.000075,NO
111,1,0.000000,NO
112,1,0.170213,NO
113,12,0.000075,NO
114,20,0.000075,NO
115,1,0.000000,NO
116,1,0.000075,NO
117,4,0.000075,NO
118,0,0.047622,NO
119,1,0.009108,NO
120,11,0.000075,NO
121,4,0.000075,NO
122,1,0.170213,NO
123,1,0.009108,NO
124,4,0.000005,NO
125,4,0.000009,NO
126,19,0.000075,NO
127,1,0.000000,NO
128,0,0.000001,NO
129,5,0.000075,NO
130,9,0.000015,NO
131,0,0.000001,NO
132,1,0.004587,NO
133,7,0.000075,NO
134,2,0.000002,NO
135,4,0.000013,NO
136,1,0.170213,NO
137,3,0.000038,NO
138,3,0.000075,NO
139,1,0.000000,NO
140,28,0.000075,NO
141,3,0.000002,NO
142,25,0.000075,NO
143,3,0.058827,NO
144,1,0.000001,NO
145,1,0.064221,NO
146,27,0.000075,NO
147,7,0.000004,NO
148,14,0.000075,NO
149,11,0.999925,NO
150,1,0.004587,NO
151,14,0.000075,NO
152,6,0.000075,NO
153,0,0.000001,NO
154,0,0.000001,NO
155,1,0.010205,NO
156,1,0.000004,NO
157,9,0.000075,NO
158,11,0.000075,NO
159,1,0.009108,NO
160,1,0.000001,NO
161,5,0.000038,NO
162,1,0.009108,NO
163,13,0.000075,NO
164,1,0.000000,NO
165,3,0.000038,NO
166,2,0.000006,NO
167,0,0.000004,NO
168,10,0.000009,NO
169,0,0.000002,NO
170,0,0.000001,NO
171,4,0.000075,NO
172,2,0.066671,NO
173,4,0.000075,NO
174,0,0.000002,NO
175,2,0.000075,NO
176,17,0.000075,NO
