ID,Size,Predicted,Actual
0,11,0.000040,NO
1,1,0.576271,NO
2,1,0.023202,NO
3,4,0.999960,NO
4,1,0.576271,NO
5,7,0.000002,NO
6,0,0.000001,NO
7,0,0.000040,NO
8,16,0.000040,NO
9,8,0.000040,NO
10,5,0.000004,NO
11,9,0.000013,NO
12,1,0.000000,NO
13,1,0.042781,NO
14,6,0.000040,NO
15,1,0.217514,NO
16,4,0.000005,NO
17,2,0.000007,NO
18,4,0.000010,NO
19,1,0.023202,NO
20,1,0.000004,NO
21,1,0.042781,NO
22,1,0.000000,NO
23,34,0.999960,NO
24,7,0.000010,NO
25,9,0.999960,NO
26,7,0.000005,NO
27,1,0.000040,NO
28,14,0.000040,NO
29,9,0.000040,NO
30,1,0.052633,NO
31,1,0.042781,NO
32,4,0.000001,NO
33,3,0.000002,NO
34,1,0.000013,NO
35,4,0.000040,NO
36,4,0.000040,NO
37,6,0.000002,NO
38,1,0.000010,NO
39,8,0.000006,NO
40,0,0.000000,NO
41,1,0.000000,NO
42,1,0.576271,NO
43,28,0.999960,NO
44,10,0.000040,NO
45,30,0.999960,NO
46,0,0.000001,NO
47,1,0.791495,NO
48,2,0.000003,NO
49,1,0.042781,NO
50,10,0.000040,NO
51,23,0.000040,NO
52,4,0.000040,NO
53,15,0.999960,NO
54,18,0.000040,NO
55,0,0.000001,NO
56,1,0.023202,NO
57,20,0.000040,NO
58,12,0.000040,NO
59,12,0.000040,NO
60,10,0.000008,NO
61,1,0.000002,NO
62,1,0.000000,NO
63,3,0.000002,NO
64,27,0.000040,NO
65,0,0.000001,NO
66,2,0.000002,NO
67,13,0.000040,NO
68,7,0.000002,NO
69,1,0.010000,NO
70,12,0.000040,NO
71,1,0.000040,NO
72,1,0.023202,NO
73,5,0.000040,NO
74,31,0.000040,NO
75,3,0.000040,NO
76,11,0.999960,NO
77,8,0.000040,NO
78,4,0.000003,NO
79,1,0.000000,NO
80,46,0.999960,NO
81,12,0.000020,NO
82,7,0.000020,NO
83,7,0.000040,NO
84,4,0.000003,NO
85,7,0.000002,NO
86,33,0.000040,NO
87,11,0.000040,NO
88,1,0.000000,NO
89,5,0.000040,NO
90,29,0.000040,NO
91,1,0.000000,NO
92,1,0.000000,NO
93,8,0.000040,NO
94,2,0.000007,NO
95,24,0.000040,NO
96,22,0.000040,NO
97,2,0.000040,NO
98,0,0.000002,NO
99,0,0.000001,NO
100,6,0.000020,NO
101,0,0.090278,NO
102,1,0.042781,NO
103,4,0.000002,NO
104,1,0.023202,NO
105,7,0.000020,NO
106,0,0.000003,NO
107,1,0.000000,NO
108,1,0.000000,NO
109,19,0.000040,NO
110,7,0.000003,NO
111,3,0.000002,NO
112,1,0.000001,NO
113,1,0.000000,NO
114,16,0.999960,NO
115,2,0.000001,NO
116,3,0.999960,NO
117,15,0.000020,NO
118,13,0.000040,NO
119,1,0.000013,NO
120,0,0.000000,NO
121,1,0.000001,NO
122,1,0.042781,NO
123,7,0.000040,NO
124,1,0.000000,NO
