ID,Size,Predicted,Actual
0,1,0.002026,NO
1,23,0.998596,NO
2,4,0.016970,NO
3,2,0.000967,NO
4,8,0.002898,NO
5,18,0.918036,NO
6,2,0.000815,NO
7,7,0.007445,NO
8,2,0.010493,NO
9,7,0.005487,NO
10,49,1.000000,NO
11,23,0.998659,NO
12,1,0.003781,NO
13,6,0.009853,NO
14,1,0.000514,NO
15,0,0.000933,NO
16,27,0.998995,NO
17,30,1.000000,NO
18,1,0.002026,NO
19,1,0.006710,NO
20,3,0.002057,NO
21,10,0.946316,NO
22,3,0.061258,NO
23,1,0.006710,NO
24,8,0.002388,NO
25,5,0.010027,NO
26,1,0.001032,NO
27,9,0.014330,NO
28,5,0.051328,NO
29,16,0.619861,NO
30,0,0.001862,NO
31,0,0.002359,NO
32,4,0.001645,NO
33,3,0.440610,NO
34,1,0.001032,NO
35,2,0.007598,NO
36,4,0.001283,NO
37,6,0.055820,NO
38,1,0.776409,NO
39,4,0.012621,NO
40,8,1.000000,NO
41,1,0.000595,NO
42,1,0.001032,NO
43,7,0.001877,NO
44,17,0.999341,NO
45,5,0.001346,NO
46,0,0.014561,NO
47,25,0.997295,NO
48,8,0.016896,NO
49,1,1.000000,NO
50,0,0.007930,NO
51,1,0.003781,NO
52,0,0.003863,NO
53,0,0.004404,NO
54,1,0.006710,NO
55,1,0.005521,NO
56,3,0.007315,NO
57,1,0.000514,NO
58,1,0.001996,NO
59,0,0.002039,NO
60,0,0.002070,NO
61,0,0.001220,NO
62,8,0.003970,NO
63,3,0.003088,NO
64,3,0.004602,NO
65,2,0.013205,NO
66,1,0.000514,NO
67,1,0.003016,NO
68,1,0.004311,NO
69,34,1.000000,NO
70,1,0.000514,NO
71,9,0.157736,NO
72,6,0.002220,NO
73,2,0.006450,NO
74,2,0.003222,NO
75,13,0.137069,NO
76,1,0.001996,NO
77,0,0.001070,NO
78,0,0.000533,NO
79,12,0.021230,NO
80,0,0.019194,NO
81,1,0.006812,NO
82,1,0.000522,NO
83,0,0.003025,NO
84,1,0.001032,NO
85,18,0.176519,NO
86,13,0.999991,NO
87,3,0.002597,NO
88,1,0.000522,NO
89,1,0.000514,NO
90,3,0.597378,NO
91,2,0.006812,NO
92,14,0.025107,NO
93,1,0.001996,NO
94,10,0.050477,NO
95,0,0.001054,NO
96,59,1.000000,NO
97,0,0.002254,NO
98,0,0.002361,NO
99,1,0.001032,NO
100,0,0.940478,NO
101,0,0.003778,NO
102,7,0.001877,NO
103,3,0.001303,NO
104,7,0.015741,NO
105,36,1.000000,NO
106,1,0.000514,NO
107,1,0.003548,NO
108,0,0.000608,NO
109,4,0.008120,NO
110,6,0.139491,NO
