ID,Size,Predicted,Actual
0,42,1.000000,YES
1,1,0.000361,YES
2,44,1.000000,YES
3,9,0.267693,YES
4,34,1.000000,YES
5,6,0.001333,YES
6,88,1.000000,YES
7,3,0.000394,YES
8,4,0.000876,YES
9,16,0.052701,YES
10,3,0.000391,YES
11,13,0.203742,YES
12,7,0.004243,YES
13,8,0.003073,YES
14,19,0.679572,YES
15,4,0.003052,YES
16,1,0.002811,YES
17,4,0.000778,YES
18,3,0.000394,YES
19,11,0.002240,YES
20,1,0.000361,YES
21,57,1.000000,YES
22,13,0.998563,YES
23,18,1.000000,YES
24,2,0.016704,YES
25,3,0.000391,YES
26,11,0.025757,YES
27,36,1.000000,YES
28,3,0.000394,YES
29,1,0.000361,YES
30,13,0.109057,YES
31,3,0.000391,YES
32,41,1.000000,YES
33,1,0.999995,YES
34,16,0.385016,YES
35,3,0.001677,YES
36,1,0.000361,YES
37,51,1.000000,YES
38,15,0.096580,YES
39,12,0.013162,YES
40,2,0.000681,YES
41,21,0.181613,YES
42,2,0.000774,YES
43,12,0.057203,YES
44,1,0.000361,YES
45,17,0.999997,YES
46,7,0.001452,YES
47,2,0.000422,YES
48,5,0.000923,YES
49,10,0.005723,YES
50,1,0.000363,YES
51,21,0.999881,YES
52,24,0.997319,YES
53,18,0.998292,YES
54,29,0.999996,YES
55,3,0.000394,YES
56,33,1.000000,YES
57,10,0.002229,YES
58,6,0.001333,YES
59,47,1.000000,YES
60,17,0.105772,YES
61,7,0.002768,YES
62,6,0.000699,YES
63,15,0.106727,YES
64,2,0.000687,YES
65,10,0.029852,YES
66,1,0.000361,YES
67,6,0.000704,YES
68,5,0.002250,YES
69,14,0.013917,YES
70,0,0.000049,YES
71,26,0.999834,YES
72,27,0.999775,YES
73,1,0.000048,NO
74,0,0.000086,NO
75,1,0.000068,NO
76,1,0.000048,NO
77,31,1.000000,NO
78,7,0.000441,NO
79,1,0.000097,NO
80,14,0.020154,NO
81,0,0.000583,NO
82,15,0.004685,NO
83,9,0.000641,NO
84,13,0.006346,NO
85,0,0.000297,NO
86,6,0.000176,NO
87,26,0.999953,NO
88,3,0.000273,NO
89,1,0.000098,NO
90,1,0.000409,NO
91,13,0.005177,NO
92,0,0.000113,NO
93,8,0.000722,NO
94,4,0.000131,NO
95,1,0.000192,NO
96,1,0.000048,NO
97,1,0.000190,NO
98,1,0.000190,NO
99,1,0.000097,NO
100,8,0.001604,NO
101,0,0.000113,NO
102,1,0.000098,NO
103,3,0.000307,NO
104,3,0.000718,NO
105,1,0.000662,NO
106,1,0.000048,NO
107,6,0.000704,NO
108,0,0.000195,NO
109,0,0.000197,NO
110,5,0.005524,NO
111,1,0.000048,NO
112,1,0.000361,NO
113,12,0.002396,NO
114,20,0.026355,NO
115,1,0.000048,NO
116,1,0.003383,NO
117,4,0.001238,NO
118,0,0.000684,NO
119,1,0.000097,NO
120,11,0.899767,NO
121,4,0.205992,NO
122,1,0.000361,NO
123,1,0.000097,NO
124,4,0.000145,NO
125,4,0.000411,NO
126,19,0.656280,NO
127,1,0.000048,NO
128,0,0.000099,NO
129,5,0.001312,NO
130,9,0.000589,NO
131,0,0.000049,NO
132,1,0.000190,NO
133,7,0.004116,NO
134,2,0.000198,NO
135,4,0.000146,NO
136,1,0.000361,NO
137,3,0.000564,NO
138,3,0.000823,NO
139,1,0.000048,NO
140,28,0.999999,NO
141,3,0.000095,NO
142,25,0.997058,NO
143,3,0.000723,NO
144,1,0.000192,NO
145,1,0.000363,NO
146,27,0.999279,NO
147,7,0.000345,NO
148,14,0.335876,NO
149,11,0.364960,NO
150,1,0.000190,NO
151,14,0.022512,NO
152,6,0.000204,NO
153,0,0.000049,NO
154,0,0.000100,NO
155,1,0.000054,NO
156,1,0.000272,NO
157,9,0.021098,NO
158,11,0.000999,NO
159,1,0.000097,NO
