ID,Size,Predicted,Actual
0,5,0.046845,YES
1,6,0.032380,YES
2,5,0.023422,YES
3,17,0.390969,YES
4,24,1.000000,YES
5,3,0.011876,YES
6,18,0.672736,YES
7,9,0.572292,YES
8,23,0.999988,YES
9,7,0.077973,YES
10,8,0.999944,YES
11,1,0.010017,YES
12,2,0.113793,YES
13,1,0.010017,YES
14,2,0.018404,YES
15,41,1.000000,YES
16,7,0.039292,YES
17,15,0.996940,YES
18,34,1.000000,YES
19,3,0.004050,YES
20,4,0.197622,YES
21,1,0.010017,YES
22,27,1.000000,YES
23,6,0.032380,YES
24,4,0.005789,YES
25,11,0.318450,YES
26,1,0.999999,YES
27,7,0.984172,YES
28,28,0.999976,YES
29,34,1.000000,YES
30,8,1.000000,YES
31,15,0.496024,YES
32,3,0.011876,YES
33,14,0.634534,YES
34,17,0.874252,YES
35,5,0.023422,YES
36,1,0.010017,YES
37,27,0.999998,YES
38,2,0.080933,YES
39,4,0.207884,YES
40,29,1.000000,YES
41,26,0.999997,YES
42,24,0.999909,YES
43,3,0.011876,YES
44,11,0.210011,YES
45,52,1.000000,YES
46,15,0.826941,YES
47,23,0.999990,YES
48,14,0.750653,YES
49,100,1.000000,YES
50,31,0.999998,YES
51,18,0.999758,YES
52,10,0.998814,YES
53,3,0.019768,YES
54,13,0.999427,YES
55,53,1.000000,YES
56,1,0.981819,YES
57,2,0.016270,YES
58,6,0.348366,YES
59,2,0.010431,YES
60,4,0.999192,YES
61,1,0.019295,YES
62,6,0.029439,YES
63,22,0.999950,YES
64,30,1.000000,YES
65,1,0.010612,YES
66,3,0.011210,YES
67,18,0.751258,YES
68,6,0.049210,YES
69,8,0.290163,YES
70,4,0.019365,YES
71,14,0.604801,YES
72,19,0.921386,YES
73,7,0.226325,NO
74,1,0.001757,NO
75,0,0.005033,NO
76,13,0.229078,NO
77,1,0.010017,NO
78,1,0.002308,NO
79,1,0.016695,NO
80,97,1.000000,NO
81,2,0.006826,NO
82,13,0.469732,NO
83,1,0.016695,NO
84,7,0.007003,NO
85,10,0.511963,NO
86,0,0.002499,NO
87,0,0.003272,NO
88,1,0.005383,NO
89,1,0.005383,NO
90,1,0.000837,NO
91,16,0.999266,NO
92,1,0.034789,NO
93,0,0.000829,NO
94,0,0.000782,NO
95,4,0.009865,NO
96,1,0.002842,NO
97,10,0.895317,NO
98,1,0.005079,NO
99,1,0.010017,NO
100,0,0.000782,NO
101,5,0.004963,NO
102,14,0.999994,NO
103,7,0.016231,NO
104,1,0.011247,NO
105,0,0.000782,NO
106,2,0.002404,NO
107,0,0.000964,NO
108,4,0.000981,NO
109,5,0.031080,NO
110,5,0.014692,NO
111,4,0.002909,NO
112,7,0.035437,NO
113,0,0.001021,NO
114,0,0.017181,NO
115,1,0.006739,NO
116,9,0.009459,NO
117,0,0.002157,NO
118,21,0.998662,NO
119,2,0.000952,NO
120,9,0.006843,NO
121,1,0.002308,NO
122,18,0.999999,NO
123,21,1.000000,NO
124,1,0.000837,NO
125,11,0.036201,NO
126,1,0.000557,NO
127,4,0.006370,NO
128,27,1.000000,NO
129,7,0.031666,NO
130,39,1.000000,NO
131,28,0.999878,NO
132,7,0.016231,NO
133,0,0.000829,NO
134,1,0.000837,NO
