ID,Size,Predicted,Actual
0,1,0.000000,NO
1,1,0.000000,NO
2,5,0.000000,NO
3,1,0.000000,NO
4,1,0.000000,NO
5,1,0.429744,NO
6,1,0.000000,NO
7,14,0.100000,NO
8,1,0.000000,NO
9,11,0.020000,NO
10,0,0.000000,NO
11,1,0.429744,NO
12,7,0.000000,NO
13,0,0.000000,NO
14,1,0.000000,NO
15,1,0.000000,NO
16,35,0.000000,NO
17,1,0.000000,NO
18,1,0.000000,NO
19,1,0.000000,NO
20,1,0.673126,NO
21,3,0.000000,NO
22,5,0.140000,NO
23,14,0.020000,NO
24,4,0.084333,NO
25,8,0.000000,NO
26,17,0.010000,NO
27,16,0.030000,NO
28,1,0.000000,NO
29,2,0.000000,NO
30,1,0.429744,NO
31,1,0.000000,NO
32,5,0.000000,NO
33,0,0.137684,NO
34,9,0.110000,NO
35,1,0.000000,NO
36,4,0.000000,NO
37,1,0.089081,NO
38,3,0.000000,NO
39,2,0.322005,NO
40,16,0.030000,NO
41,12,0.028333,NO
42,6,0.005333,NO
43,1,0.000000,NO
44,1,0.000000,NO
45,1,0.000000,NO
46,6,0.010000,NO
47,10,0.260000,NO
48,1,0.000000,NO
49,17,0.020000,NO
50,7,0.010000,NO
51,4,0.906153,NO
52,1,0.000000,NO
53,3,0.373253,NO
54,1,0.673126,NO
55,1,0.000000,NO
56,6,0.000000,NO
57,1,0.673126,NO
58,1,0.000000,NO
59,1,0.000000,NO
60,1,0.067631,NO
61,6,0.018864,NO
62,5,0.000000,NO
63,23,0.020000,NO
64,1,0.000000,NO
65,0,0.000000,NO
66,2,0.000000,NO
67,0,0.000000,NO
68,0,0.000000,NO
69,1,0.000000,NO
70,1,0.000000,NO
71,1,0.067631,NO
72,1,0.000000,NO
73,2,0.000000,NO
74,1,0.203653,NO
75,1,0.000000,NO
76,1,0.000000,NO
77,6,0.363863,NO
78,1,0.000000,NO
79,13,0.200000,NO
80,1,0.148988,NO
81,11,0.000000,NO
82,13,0.000000,NO
83,1,0.000000,NO
84,1,0.000000,NO
85,3,0.000000,NO
86,14,0.080000,NO
87,1,0.000000,NO
88,5,0.000000,NO
89,1,0.148988,NO
90,3,0.000000,NO
91,69,0.060000,NO
92,10,0.150000,NO
93,2,0.000000,NO
94,8,0.000000,NO
95,5,0.000000,NO
96,1,0.650301,NO
97,13,0.010000,NO
98,3,0.070000,NO
99,1,0.000000,NO
100,15,0.010000,NO
101,8,0.177851,NO
102,0,0.000000,NO
103,6,0.000000,NO
104,1,0.040000,NO
105,3,0.100000,NO
106,9,0.010000,NO
107,0,0.000000,NO
108,14,0.050000,NO
109,0,0.000000,NO
110,1,0.000000,NO
111,4,0.018819,NO
112,7,0.000000,NO
113,0,0.000000,NO
114,2,0.000000,NO
115,1,0.429744,NO
116,4,0.000000,NO
117,4,0.033494,NO
118,0,0.000000,NO
119,41,0.150000,NO
120,1,0.067631,NO
121,1,0.000000,NO
122,20,0.000000,NO
123,1,0.000000,NO
124,29,0.010000,NO
125,8,0.000000,NO
126,15,0.030000,NO
127,1,0.673126,NO
128,6,0.000000,NO
129,6,0.449967,NO
130,3,0.317992,NO
131,1,0.000000,NO
132,4,0.069881,NO
133,0,0.000000,NO
134,5,0.020000,NO
135,1,0.000000,NO
136,1,0.000000,NO
137,5,0.000000,NO
138,4,0.000000,NO
139,1,0.067631,NO
140,3,0.000000,NO
141,4,0.000000,NO
142,0,0.137684,NO
143,1,0.000000,NO
144,1,0.000000,NO
145,0,0.000000,NO
146,7,0.000000,NO
147,8,0.000000,NO
148,1,0.148988,NO
149,8,0.000000,NO
150,4,0.000000,NO
151,0,0.000000,NO
152,12,0.220000,NO
153,1,0.673126,NO
154,3,0.000000,NO
155,6,0.150000,NO
156,10,0.000000,NO
157,0,0.070000,NO
158,17,0.000000,NO
159,7,0.010000,NO
160,1,0.000000,NO
161,8,0.130000,NO
162,10,0.070000,NO
163,0,0.010000,NO
164,1,0.027165,NO
165,0,0.000000,NO
166,6,0.000000,NO
167,4,0.000000,NO
168,0,0.000000,NO
169,1,0.000000,NO
170,1,0.067631,NO
171,12,0.120000,NO
172,13,0.100000,NO
173,15,0.328052,NO
174,2,0.000000,NO
175,1,0.673126,NO
176,1,0.089081,NO
177,3,0.070000,NO
178,6,0.010000,NO
179,2,0.000000,NO
180,1,0.046346,NO
181,1,0.046346,NO
182,5,0.008571,NO
183,0,0.000000,NO
184,0,0.000000,NO
185,1,0.000000,NO
186,15,0.000000,NO
187,3,0.000000,NO
188,1,0.089081,NO
189,3,0.406353,NO
190,5,0.000000,NO
191,10,0.000000,NO
192,0,0.000000,NO
193,21,0.010000,NO
194,22,0.470000,NO
195,6,0.000000,NO
196,2,0.000000,NO
197,1,0.000000,NO
198,10,0.000000,NO
199,9,0.000000,NO
200,7,0.618889,NO
201,0,0.000000,NO
202,20,0.040000,NO
203,25,0.340000,NO
204,18,0.020000,NO
205,13,0.050000,NO
206,2,0.000000,NO
207,0,0.000000,NO
208,4,0.000000,NO
209,5,0.000000,NO
210,3,0.258757,NO
211,10,0.160000,NO
212,0,0.000000,NO
213,5,0.028715,NO
214,6,0.010000,NO
215,12,0.180000,NO
216,3,0.000000,NO
217,0,0.000000,NO
218,0,0.000000,NO
219,8,0.050000,NO
220,1,0.148988,NO
221,7,0.000000,NO
222,7,0.000000,NO
223,1,0.089081,NO
224,13,0.050000,NO
225,21,0.030000,NO
226,1,0.000000,NO
