ID,Size,Predicted,Actual
0,4,0.001174,NO
1,1,0.000293,NO
2,2,0.000444,NO
3,4,0.000564,NO
4,13,0.002699,NO
5,69,1.000000,NO
6,9,0.004193,NO
7,50,1.000000,NO
8,2,0.000326,NO
9,88,1.000000,NO
10,2,0.783422,NO
11,1,0.000363,NO
12,3,0.000473,NO
13,1,0.000317,NO
14,1,0.000293,NO
15,1,0.000293,NO
16,50,1.000000,NO
17,1,0.000293,NO
18,8,0.000846,NO
19,117,1.000000,NO
20,2,0.000481,NO
21,8,0.001171,NO
22,26,0.999915,NO
23,1,0.000293,NO
24,15,0.060457,NO
25,11,0.001662,NO
26,8,0.000872,NO
27,108,1.000000,NO
28,2,0.000301,NO
29,17,0.781845,NO
30,3,0.001886,NO
31,1,0.000293,NO
32,1,0.000293,NO
33,1,0.000293,NO
34,2,0.002496,YES
35,1,0.000068,NO
36,1,0.000064,NO
37,1,0.000002,NO
38,1,0.000063,NO
39,1,0.000063,NO
40,3,0.000074,NO
41,1,0.000063,NO
42,2,0.000091,NO
43,3,0.000097,NO
44,38,1.000000,NO
45,4,0.000051,NO
46,18,0.943191,NO
47,3,0.000175,NO
48,52,1.000000,NO
49,1,0.000068,NO
50,7,0.064538,YES
51,1,0.000293,NO
52,1,0.000317,NO
53,4,0.000121,NO
54,1,0.000293,NO
55,36,0.000000,NO
56,32,1.000000,NO
57,23,0.896928,YES
58,14,0.005867,NO
59,0,0.000318,NO
60,1,0.000317,NO
61,1,0.000293,NO
62,2,0.000301,NO
63,12,0.015600,NO
64,12,0.010191,NO
65,4,0.000009,NO
66,22,0.865572,NO
67,2,0.000001,NO
68,26,0.999576,NO
69,1,0.000293,NO
70,10,0.000002,NO
71,1,0.000293,NO
72,10,0.003551,NO
73,20,1.000000,NO
74,12,0.050690,NO
75,3,0.000604,NO
76,6,0.002696,NO
77,7,0.001519,NO
78,9,0.004470,NO
79,15,0.003042,NO
80,3,0.088986,NO
81,1,0.000293,NO
82,2,0.000444,NO
83,27,0.999998,NO
84,10,0.018063,NO
85,17,0.023243,NO
86,15,0.006763,NO
87,1,0.000293,NO
88,1,0.000293,NO
89,1,0.001369,NO
90,11,0.126605,NO
91,1,0.000317,NO
92,1,0.000293,NO
93,28,0.999941,NO
94,0,0.000294,NO
95,0,0.001364,NO
96,0,0.000304,NO
97,0,0.001380,NO
98,0,0.001380,NO
99,0,0.001380,NO
100,0,0.240297,NO
101,14,0.067183,NO
102,7,0.002323,NO
103,12,0.993139,NO
104,12,0.004817,NO
105,16,0.158379,NO
106,8,0.002381,NO
107,6,0.000756,NO
108,2,0.000444,NO
109,2,0.000329,NO
110,3,0.000453,NO
111,1,0.000320,NO
112,13,0.019660,NO
113,29,0.999931,NO
114,9,0.001037,NO
115,1,0.000317,NO
116,1,0.000301,NO
117,10,0.002066,NO
118,4,0.000536,NO
119,2,0.000302,NO
120,28,0.984166,YES
121,5,0.000643,NO
122,1,0.000293,NO
123,18,0.239461,NO
124,1,0.000293,NO
125,1,0.000293,NO
126,9,0.003109,NO
127,42,1.000000,NO
128,11,0.015807,NO
129,12,0.000495,NO
130,3,0.000883,NO
131,22,0.988079,NO
132,10,0.000700,NO
133,14,0.027568,NO
134,4,0.000122,NO
135,11,0.000010,NO
136,10,0.000008,NO
137,6,0.000353,NO
138,1,0.000317,NO
139,2,0.000006,NO
140,0,0.000315,NO
141,0,0.000302,NO
142,1,0.000293,NO
143,2,0.000366,NO
144,12,0.004449,NO
145,2,0.000569,NO
146,0,0.000318,NO
147,0,0.000294,NO
148,0,0.000294,NO
149,18,0.391998,YES
150,15,0.052694,NO
151,10,0.409298,NO
152,19,0.003660,NO
153,1,0.000068,NO
154,17,0.002139,NO
155,2,0.000444,NO
156,12,0.076738,NO
157,34,1.000000,YES
158,13,0.005469,NO
159,5,0.001452,NO
160,5,0.005455,NO
161,37,1.000000,NO
162,11,0.999416,NO
163,1,0.000293,NO
