ID,Size,Predicted,Actual
0,4,0.059644,NO
1,1,0.002940,NO
2,2,0.005932,NO
3,4,0.009678,NO
4,13,0.368707,NO
5,69,1.000000,NO
6,9,0.148465,NO
7,50,1.000000,NO
8,2,0.003918,NO
9,88,1.000000,NO
10,2,0.999723,NO
11,1,0.027010,NO
12,3,0.006753,NO
13,1,0.003570,NO
14,1,0.002940,NO
15,1,0.002940,NO
16,50,1.000000,NO
17,1,0.002940,NO
18,8,0.198471,NO
19,113,1.000000,NO
20,2,0.007199,NO
21,8,0.031032,NO
22,26,1.000000,NO
23,1,0.002940,NO
24,15,0.942950,NO
25,11,0.091312,NO
26,8,0.031032,NO
27,108,1.000000,NO
28,2,0.003227,NO
29,17,0.997317,NO
30,3,0.941112,NO
31,1,0.002940,NO
32,1,0.002940,NO
33,1,0.002940,NO
34,1,0.023263,YES
35,22,1.000000,NO
36,4,0.999999,NO
37,18,0.999988,NO
38,3,0.017809,NO
39,49,1.000000,NO
40,1,0.003570,NO
41,4,0.009678,NO
42,27,1.000000,YES
43,23,0.999892,YES
44,11,1.000000,YES
45,12,0.999373,NO
46,12,0.788848,NO
47,5,0.043702,YES
48,7,0.984184,NO
49,15,0.999891,YES
50,9,0.999993,YES
51,1,0.002940,NO
52,15,1.000000,YES
53,12,1.000000,NO
54,3,0.941540,NO
55,7,0.970568,NO
56,3,0.047817,NO
57,5,0.972976,NO
58,3,0.008529,YES
59,4,0.999685,NO
60,1,0.002940,NO
61,2,0.005932,NO
62,15,1.000000,YES
63,1,0.002940,NO
64,1,0.002940,NO
65,1,0.814384,NO
66,11,1.000000,NO
67,1,0.003570,NO
68,1,0.002940,NO
69,25,1.000000,NO
70,0,0.002772,NO
71,0,0.024286,NO
72,0,0.003141,NO
73,0,0.002911,NO
74,0,0.002911,NO
75,0,0.002911,NO
76,0,0.820012,NO
77,7,0.010781,NO
78,7,0.008889,NO
79,12,0.149355,NO
80,16,0.946690,NO
81,8,0.068044,NO
82,6,0.015016,NO
83,2,0.005932,NO
84,2,0.004565,NO
85,2,0.005932,NO
86,2,0.004565,YES
87,13,0.519464,NO
88,29,1.000000,NO
89,9,0.023790,NO
90,1,0.003570,NO
91,1,0.004663,NO
92,10,0.061911,NO
93,4,0.012617,NO
94,3,0.003675,YES
95,29,0.999999,YES
96,5,0.011834,NO
97,1,0.002940,NO
98,18,0.967696,NO
99,1,0.002940,NO
100,1,0.002940,NO
101,9,0.092895,NO
102,42,1.000000,NO
103,2,0.007199,NO
104,3,0.013880,NO
105,11,0.100008,NO
106,10,0.104525,NO
107,14,0.981066,NO
108,4,0.011263,NO
109,11,0.079366,YES
110,6,0.009548,NO
111,2,0.003918,NO
112,2,0.034161,YES
113,0,0.826452,NO
114,0,0.004398,NO
115,1,0.002940,NO
116,1,0.002940,NO
117,19,0.998945,NO
118,15,0.973361,NO
119,10,0.999210,NO
120,19,1.000000,NO
121,1,0.003570,NO
122,17,0.997624,NO
123,2,0.005932,NO
124,9,1.000000,NO
125,31,1.000000,NO
126,13,0.999988,NO
127,5,0.030844,NO
128,5,0.030844,NO
129,37,1.000000,NO
130,8,1.000000,YES
131,23,1.000000,YES
132,22,1.000000,NO
133,8,0.012117,YES
134,5,0.924910,NO
135,1,0.130773,NO
136,9,0.416298,NO
137,4,0.012440,NO
138,15,0.999712,NO
139,2,0.003227,NO
140,1,0.002940,NO
141,6,1.000000,NO
142,1,0.002940,NO
143,5,0.015202,NO
144,13,0.965061,NO
145,5,0.985950,NO
146,5,0.011834,NO
147,17,0.999607,NO
148,16,0.887809,NO
149,2,0.007199,NO
150,13,0.999985,NO
151,43,1.000000,YES
152,21,1.000000,NO
153,27,1.000000,NO
154,2,0.003918,NO
155,41,1.000000,NO
156,1,0.842067,NO
157,1,0.004663,NO
158,21,1.000000,YES
159,8,0.243860,NO
160,4,0.019749,NO
161,8,0.727162,NO
162,24,0.999935,YES
163,8,0.078431,NO
164,4,0.007977,NO
165,2,0.007199,NO
166,14,0.595495,YES
167,7,0.022881,NO
168,4,0.009678,NO
169,1,0.003570,NO
170,3,0.006753,NO
171,1,0.002940,NO
172,3,0.013880,NO
173,17,1.000000,YES
174,5,0.858938,NO
175,0,0.003922,NO
176,0,0.003367,NO
177,8,0.313582,NO
178,7,0.233977,NO
179,1,0.002940,NO
180,6,0.153899,NO
181,1,0.004159,NO
182,1,0.003570,NO
183,1,0.003570,NO
184,13,0.106534,NO
185,10,0.987691,NO
186,1,0.002940,NO
187,16,0.999772,NO
188,1,0.002940,NO
189,1,0.003570,NO
190,1,0.004663,NO
191,0,0.004221,NO
192,15,0.928745,NO
193,2,0.004565,NO
194,1,0.002940,NO
195,1,0.002940,NO
196,1,0.002940,NO
197,1,0.002940,NO
198,15,0.145537,NO
199,21,0.999999,NO
200,3,0.013880,NO
201,0,0.004398,NO
202,1,0.002940,NO
203,10,0.999545,NO
204,29,1.000000,NO
205,18,0.999993,NO
206,4,0.006885,NO
207,1,0.002940,NO
