ID,Size,Predicted,Actual
0,4,0.011241,NO
1,1,0.001545,NO
2,2,0.003033,NO
3,4,0.003540,NO
4,13,0.027779,NO
5,69,1.000000,NO
6,9,0.012807,NO
7,50,1.000000,NO
8,2,0.001600,NO
9,88,1.000000,NO
10,2,0.959365,NO
11,1,0.002064,NO
12,3,0.003196,NO
13,1,0.001565,NO
14,1,0.001545,NO
15,1,0.001545,NO
16,50,1.000000,NO
17,1,0.001545,NO
18,8,0.008245,NO
19,117,1.000000,NO
20,2,0.003073,NO
21,8,0.007187,NO
22,26,0.999955,NO
23,1,0.001545,NO
24,15,0.289812,NO
25,11,0.024425,NO
26,8,0.013363,NO
27,108,1.000000,NO
28,2,0.001579,NO
29,17,0.926473,NO
30,3,0.012467,NO
31,1,0.001545,NO
32,1,0.001545,NO
33,1,0.001545,NO
34,2,0.059317,YES
35,1,0.001223,NO
36,1,0.001234,NO
37,1,0.001542,NO
38,1,0.001207,NO
39,1,0.001207,NO
40,3,0.001318,NO
41,1,0.001207,NO
42,2,0.002184,NO
43,3,0.002301,NO
44,38,1.000000,NO
45,4,0.232159,NO
46,18,0.989518,NO
47,3,0.003610,NO
48,52,1.000000,NO
49,1,0.001223,NO
50,7,0.314674,YES
51,1,0.001545,NO
52,1,0.004030,NO
53,4,0.002768,NO
54,1,0.001545,NO
55,36,1.000000,NO
56,32,1.000000,NO
57,23,1.000000,YES
58,14,0.031333,NO
59,0,0.001588,NO
60,1,0.001565,NO
61,1,0.001545,NO
62,2,0.001579,NO
63,12,0.080943,NO
64,12,0.042899,NO
65,4,0.006690,NO
66,22,0.983742,NO
67,2,0.005314,NO
68,26,0.999562,NO
69,1,0.001545,NO
70,10,0.040784,NO
71,1,0.001545,NO
72,10,0.013767,NO
73,20,1.000000,NO
74,12,0.131090,NO
75,3,0.004647,NO
76,6,0.018076,NO
77,7,0.016807,NO
78,9,0.131439,NO
79,15,0.050902,NO
80,3,0.163003,NO
81,1,0.001545,NO
82,2,0.003033,NO
83,27,0.999998,NO
84,10,0.076205,NO
85,17,0.216514,NO
86,15,0.619646,NO
87,1,0.001545,NO
88,1,0.001545,NO
89,1,0.005084,NO
90,11,0.605061,NO
91,1,0.001565,NO
92,1,0.001545,NO
93,28,1.000000,NO
94,0,0.001568,NO
95,0,0.006286,NO
96,0,0.001608,NO
97,0,0.005176,NO
98,0,0.005176,NO
99,0,0.005176,NO
100,0,0.526118,NO
101,14,0.159493,NO
102,7,0.007781,NO
103,12,0.994126,NO
104,12,0.027075,NO
105,16,0.301329,NO
106,8,0.006894,NO
107,6,0.004637,NO
108,2,0.003033,NO
109,2,0.001668,NO
110,3,0.007903,NO
111,1,0.004269,NO
112,13,0.071606,NO
113,29,0.999970,NO
114,9,0.004904,NO
115,1,0.001565,NO
116,1,0.001751,NO
117,10,0.014347,NO
118,4,0.003959,NO
119,2,0.004139,NO
120,28,0.997314,YES
121,5,0.003962,NO
122,1,0.001545,NO
123,18,0.555107,NO
124,1,0.001545,NO
125,1,0.001545,NO
126,9,0.009008,NO
127,42,1.000000,NO
128,11,0.191468,NO
129,12,0.011634,NO
130,3,0.003504,NO
131,22,0.993915,NO
132,10,0.237946,NO
133,14,0.729803,NO
134,4,0.002886,NO
135,11,0.008574,NO
136,10,0.011677,NO
137,6,0.111407,NO
138,1,0.001565,NO
139,2,0.003021,NO
140,0,0.004130,NO
141,0,0.001777,NO
142,1,0.001545,NO
143,2,0.002057,NO
144,12,0.026730,NO
145,2,0.003073,NO
146,0,0.001588,NO
147,0,0.001568,NO
148,0,0.001568,NO
149,18,0.869190,YES
150,15,0.175593,NO
151,10,0.826763,NO
152,19,0.656729,NO
153,1,0.001223,NO
154,17,0.533833,NO
155,2,0.003033,NO
156,12,0.372941,NO
157,34,1.000000,YES
