ID,Size,Predicted,Actual
0,5,0.020204,NO
1,6,0.031532,NO
2,1,0.001357,NO
3,14,0.008929,NO
4,1,0.001357,NO
5,4,0.020204,NO
6,6,0.014471,NO
7,4,0.020204,NO
8,9,0.019785,NO
9,3,0.014471,NO
10,1,0.001357,NO
11,7,0.020204,NO
12,2,0.001357,NO
13,3,0.014471,NO
14,6,0.020204,NO
15,6,0.012307,NO
16,1,0.001357,NO
17,1,0.001357,NO
18,1,0.001357,NO
19,6,0.011407,NO
20,13,0.013889,NO
21,4,0.020204,NO
22,21,0.046117,NO
23,1,0.002880,NO
24,1,0.001357,NO
25,1,0.001357,NO
26,1,0.001357,NO
27,8,0.014471,NO
28,1,0.001357,NO
29,0,0.001357,NO
30,1,0.001357,NO
31,13,0.020204,NO
32,5,0.014471,NO
33,1,0.001357,NO
34,1,0.001357,NO
35,2,0.014471,NO
36,4,0.014471,NO
37,0,0.001357,NO
38,1,0.001357,NO
39,6,0.014471,NO
40,1,0.001357,NO
41,10,0.020204,NO
42,8,0.020204,NO
43,1,0.001357,NO
44,1,0.001357,NO
45,1,0.014471,NO
46,1,0.001357,NO
47,1,0.001357,NO
48,7,0.014471,NO
49,0,0.001357,NO
50,2,0.001357,NO
51,1,0.001357,NO
52,0,0.001357,NO
53,9,0.019785,NO
54,1,0.001357,NO
55,10,0.014471,NO
56,3,0.001357,NO
57,10,0.014471,NO
58,3,0.001357,NO
59,4,0.014471,NO
60,14,0.028902,NO
61,2,0.001357,NO
62,0,0.001357,NO
63,7,0.020204,NO
64,1,0.001357,NO
65,0,0.001357,NO
66,2,0.001357,NO
67,3,0.001357,NO
68,9,0.014471,NO
69,1,0.011357,NO
70,1,0.002880,NO
71,1,0.001357,NO
72,5,0.014471,NO
73,1,0.002880,NO
74,18,0.126126,NO
75,1,0.001357,NO
76,1,0.002880,NO
77,1,0.004376,NO
78,4,0.014471,NO
79,1,0.001357,NO
80,1,0.001357,NO
81,4,0.001357,NO
82,4,0.014471,NO
83,12,0.014471,NO
84,1,0.001357,NO
85,1,0.001357,NO
86,6,0.020204,NO
87,0,0.001357,NO
88,14,0.019785,NO
89,1,0.001357,NO
90,1,0.001357,NO
91,1,0.001357,NO
92,1,0.001357,NO
93,0,0.001357,NO
94,1,0.001357,NO
95,3,0.014471,NO
96,4,0.014471,NO
97,1,0.001357,NO
98,8,0.024390,NO
