ID,Size,Predicted,Actual
0,1,0.000327,NO
1,3,0.001197,NO
2,0,0.000327,NO
3,1,0.000327,NO
4,1,0.000327,NO
5,5,0.001197,NO
6,16,1.000000,NO
7,3,0.000327,NO
8,2,0.000327,NO
9,0,0.000327,NO
10,3,0.001959,NO
11,12,0.001197,NO
12,1,0.000327,NO
13,9,0.003672,NO
14,1,0.000327,NO
15,37,1.000000,NO
16,4,0.001197,NO
17,1,0.000327,NO
18,4,0.001197,NO
19,1,0.001197,NO
20,9,0.008649,NO
21,2,0.000327,NO
22,1,0.000327,NO
23,11,0.910714,NO
24,0,0.000327,NO
25,3,0.003672,NO
26,1,0.000327,NO
27,1,0.001006,NO
28,0,0.000327,NO
29,4,0.001197,NO
30,1,0.000327,NO
31,1,0.000327,NO
32,1,0.000327,NO
33,1,0.000327,NO
34,21,0.032092,NO
35,1,0.000327,NO
36,0,0.000327,NO
37,5,0.001197,NO
38,1,0.000327,NO
39,17,0.007133,NO
40,8,0.003672,NO
41,1,0.000327,NO
42,1,0.000327,NO
43,1,0.000327,NO
44,1,0.000327,NO
45,34,0.001006,NO
46,1,0.000327,NO
47,5,0.000327,NO
48,14,0.999720,NO
49,1,0.000327,NO
50,3,0.001197,NO
51,0,0.000327,NO
52,1,0.046238,NO
53,12,0.768303,NO
54,3,0.001197,NO
55,1,0.000327,NO
56,3,0.001197,NO
57,3,0.000327,NO
58,2,0.000327,NO
59,1,0.001197,NO
60,4,0.007133,NO
61,1,0.000327,NO
62,1,0.001006,NO
63,1,0.000327,NO
64,2,0.000327,NO
65,4,0.001197,NO
66,0,0.000327,NO
67,0,0.000327,NO
68,0,0.000327,NO
69,6,0.001197,NO
70,59,1.000000,NO
71,1,0.000327,NO
72,2,0.000327,NO
73,0,0.000327,NO
74,0,0.000327,NO
75,1,0.000327,NO
76,2,0.001959,NO
77,0,0.000327,NO
78,0,0.000327,NO
79,1,0.000327,NO
80,1,0.000327,NO
81,3,0.003672,NO
82,4,0.001197,NO
83,3,0.000327,NO
84,4,0.001197,NO
85,0,0.000327,NO
86,12,0.003672,NO
87,3,0.007133,NO
88,1,0.000327,NO
89,0,0.000327,NO
90,1,0.000327,NO
91,7,0.026134,NO
92,26,0.026134,NO
93,0,0.000327,NO
94,1,0.000327,NO
95,24,0.003672,NO
96,8,0.001197,NO
97,1,0.225210,NO
98,4,0.001197,NO
99,1,0.000327,NO
100,1,0.000327,NO
101,0,0.000327,NO
102,0,0.000327,NO
103,23,0.003672,NO
104,1,0.000327,NO
105,0,0.000327,NO
106,1,0.000327,NO
107,1,0.000327,NO
108,1,0.001006,NO
109,7,0.001197,NO
110,0,0.000327,NO
111,0,0.000327,NO
112,8,0.007133,NO
113,2,0.001197,NO
114,5,0.001197,NO
115,1,0.000327,NO
116,4,0.001197,NO
117,0,0.000327,NO
118,0,0.000327,NO
119,1,0.000327,NO
120,4,0.000327,NO
121,2,0.000327,NO
122,2,0.001197,NO
123,1,0.000327,NO
124,1,0.000327,NO
125,0,0.000327,NO
126,1,0.000327,NO
127,1,0.000327,NO
128,4,0.001197,NO
129,1,0.000327,NO
130,6,0.001197,NO
131,6,0.001197,NO
132,1,0.000327,NO
133,1,0.000327,NO
134,2,0.000327,NO
135,1,0.000327,NO
136,1,0.000327,NO
137,0,0.000327,NO
138,3,0.000327,NO
139,1,0.000327,NO
140,1,0.000327,NO
141,0,0.000327,NO
142,4,0.000327,NO
143,0,0.000327,NO
144,3,0.001959,NO
145,1,0.000327,NO
146,3,0.001197,NO
147,9,0.001197,NO
148,1,0.001959,NO
149,1,0.000327,NO
150,1,0.000327,NO
151,1,0.000327,NO
152,1,0.001197,NO
153,0,0.000327,NO
154,1,0.000327,NO
155,4,0.003672,NO
156,4,0.003672,NO
157,7,0.421147,NO
158,1,0.000327,NO
159,1,0.000327,NO
160,8,0.007133,NO
161,1,0.000327,NO
162,1,0.000327,NO
163,1,0.000327,NO
164,0,0.000327,NO
165,1,0.000327,NO
166,3,0.003672,NO
167,14,0.008649,NO
168,2,0.000327,NO
169,2,0.000327,NO
170,1,0.001959,NO
171,1,0.046238,NO
172,1,0.000327,NO
173,1,0.000327,NO
174,0,0.000327,NO
175,30,0.006002,NO
176,1,0.000327,NO
177,3,0.000327,NO
178,0,0.000327,NO
179,1,0.000327,NO
180,3,0.001197,NO
181,1,0.000327,NO
182,1,0.000327,NO
183,2,0.000327,NO
184,14,0.008649,NO
185,2,0.000327,NO
186,13,0.026134,NO
187,2,0.000327,NO
188,2,0.001959,NO
189,1,0.000327,NO
190,1,0.000327,NO
191,1,0.000327,NO
192,1,0.000327,NO
193,1,0.000327,NO
194,1,0.000327,NO
195,0,0.000327,NO
196,3,0.001197,NO
197,1,0.000327,NO
198,25,0.021621,NO
199,64,1.000000,NO
200,10,1.000000,NO
201,22,0.421147,NO
202,1,0.000327,NO
203,1,0.000327,NO
204,1,0.000327,NO
205,1,0.000327,NO
206,1,0.000327,NO
207,1,0.000327,NO
208,41,0.469067,NO
209,1,0.000327,NO
210,3,0.001197,NO
211,11,0.026134,NO
212,1,0.000327,NO
213,1,0.000327,NO
214,1,0.000327,NO
215,1,0.000327,NO
216,1,0.000327,NO
217,25,0.001959,NO
218,6,0.001197,NO
219,1,0.000327,NO
220,3,0.007133,NO
221,0,0.000327,NO
222,8,0.001197,NO
223,12,0.001197,NO
224,2,0.001197,NO
225,0,0.000327,NO
226,2,0.000327,NO
227,32,0.997793,NO
228,0,0.000327,NO
229,0,0.000327,NO
230,1,0.000327,NO
231,3,0.001197,NO
232,0,0.000327,NO
233,1,0.000327,NO
234,0,0.000327,NO
235,1,0.000327,NO
236,2,0.001197,NO
237,1,0.000327,NO
238,1,0.001006,NO
239,0,0.000327,NO
240,4,0.001197,NO
241,0,0.000327,NO
242,0,0.000327,NO
243,1,0.000327,NO
244,2,0.000327,NO
245,2,0.000327,NO
246,0,0.000327,NO
247,1,0.000327,NO
248,36,0.999994,NO
249,4,0.001197,NO
250,2,0.001959,NO
251,1,0.000327,NO
252,5,0.007133,NO
253,11,0.008649,NO
254,1,0.000327,NO
255,3,0.000327,NO
256,1,0.001197,NO
257,0,0.000327,NO
258,1,0.000327,NO
259,1,0.000327,NO
260,1,0.000327,NO
261,1,0.000327,NO
262,1,0.000327,NO
263,1,0.000327,NO
264,0,0.000327,NO
265,5,0.150693,NO
266,2,0.000327,NO
267,2,0.000327,NO
268,9,0.001197,NO
269,8,0.021621,NO
270,1,0.032092,NO
271,2,0.000327,NO
272,1,0.000327,NO
273,1,0.000327,NO
274,5,0.001197,NO
275,1,0.000327,NO
276,0,0.000327,NO
277,25,0.026134,NO
278,3,0.001197,NO
279,0,0.000327,NO
280,1,0.000327,NO
281,1,0.000327,NO
282,16,0.001197,NO
283,1,0.000327,NO
284,1,0.000327,NO
285,1,0.000327,NO
286,0,0.000327,NO
287,1,0.000327,NO
288,1,0.000327,NO
289,1,0.000327,NO
290,1,0.000327,NO
291,2,0.000327,NO
292,4,0.001197,NO
293,1,0.000327,NO
294,5,0.003672,NO
295,1,0.000327,NO
296,1,0.000327,NO
297,9,0.000327,NO
298,0,0.000327,NO
299,1,0.735937,NO
300,1,0.000327,NO
301,1,0.000327,NO
302,7,0.353078,NO
303,32,1.000000,NO
304,0,0.000327,NO
305,1,0.000327,NO
306,2,0.001197,NO
307,1,0.000327,NO
308,5,0.001197,NO
309,1,0.000327,NO
310,0,0.000327,NO
311,13,0.001197,NO
312,1,0.000327,NO
313,1,0.000327,NO
314,2,0.001197,NO
315,0,0.000327,NO
316,8,0.001197,NO
317,1,0.000327,NO
318,1,0.000327,NO
319,1,0.000327,NO
320,0,0.000327,NO
321,1,0.000327,NO
322,9,0.001197,NO
323,7,0.001197,NO
324,1,0.000327,NO
325,1,0.000327,NO
326,0,0.000327,NO
327,1,0.000327,NO
328,3,0.000327,NO
329,0,0.000327,NO
330,3,0.000327,NO
331,1,0.000327,NO
332,1,0.000327,NO
333,1,0.000327,NO
334,1,0.000327,NO
335,14,0.768303,NO
336,2,0.001197,NO
337,0,0.000327,NO
338,24,0.007133,NO
339,0,0.000327,NO
340,11,0.008649,NO
341,21,0.008649,NO
342,0,0.001959,NO
343,3,0.000327,NO
344,2,0.001197,NO
345,1,0.001006,NO
346,1,0.000327,NO
347,1,0.000327,NO
348,4,0.001197,NO
349,1,0.000327,NO
350,1,0.000327,NO
351,0,0.000327,NO
