ID,Size,Predicted,Actual
0,1,0.000000,NO
1,1,0.000000,NO
2,0,0.000000,NO
3,1,0.000000,NO
4,11,0.000017,NO
5,3,0.000000,NO
6,1,0.000000,NO
7,0,0.000000,NO
8,12,0.000047,NO
9,0,0.000000,NO
10,4,0.000000,NO
11,9,0.000003,NO
12,0,0.000000,NO
13,11,0.000668,NO
14,42,1.000000,NO
15,1,0.000000,NO
16,1,0.000000,NO
17,1,0.000000,NO
18,1,0.000000,NO
19,7,0.000001,NO
20,1,0.000000,NO
21,4,0.000001,NO
22,1,0.000000,NO
23,1,0.000000,NO
24,1,0.000000,NO
25,7,0.000002,NO
26,1,0.000000,NO
27,1,0.000005,NO
28,1,0.000000,NO
29,0,0.000000,NO
30,1,0.000000,NO
31,7,0.000004,NO
32,8,0.000001,NO
33,1,0.000000,NO
34,0,0.000000,NO
35,0,0.000000,NO
36,1,0.000000,NO
37,1,0.000000,NO
38,1,0.000000,NO
39,16,0.169872,NO
40,1,0.000000,NO
41,1,0.000000,NO
42,1,0.000000,NO
43,1,0.000004,NO
44,1,0.000000,NO
45,1,0.000000,NO
46,1,0.000000,NO
47,8,0.005509,NO
48,28,1.000000,NO
49,8,0.000001,NO
50,0,0.000000,NO
51,2,0.000000,NO
52,1,0.000000,NO
53,4,0.000001,NO
54,1,0.000000,NO
55,12,0.000002,NO
56,1,0.000000,NO
57,6,0.000021,NO
58,0,0.000000,NO
59,13,0.000028,NO
60,1,0.000000,NO
61,1,0.000000,NO
62,1,0.000000,NO
63,0,0.000000,NO
64,1,0.000005,NO
65,1,0.000000,NO
66,9,0.000005,NO
67,1,0.000000,NO
68,5,0.000000,NO
69,1,0.000000,NO
70,0,0.000000,NO
71,6,0.000001,NO
72,0,0.000000,NO
73,5,0.000008,NO
74,61,1.000000,NO
75,1,0.000000,NO
76,1,0.000005,NO
77,1,0.000005,NO
78,1,0.000000,NO
79,17,1.000000,NO
80,1,0.000000,NO
81,0,0.000000,NO
82,16,0.999635,NO
83,0,0.000000,NO
84,13,0.008735,NO
85,3,0.000000,NO
86,15,0.000099,NO
87,1,0.000000,NO
88,7,0.000040,NO
89,16,0.000133,NO
90,1,0.000000,NO
91,1,0.000000,NO
92,0,0.000000,NO
93,0,0.000000,NO
94,1,0.000000,NO
95,16,0.370479,NO
96,0,0.000000,NO
97,1,0.000000,NO
98,1,0.000000,NO
99,7,0.000001,NO
100,1,0.000005,NO
101,1,0.157264,NO
102,22,0.999810,NO
103,1,0.000003,NO
104,1,0.000000,NO
105,1,0.000013,NO
106,0,0.000000,NO
107,1,0.000000,NO
108,0,0.000000,NO
109,0,0.000007,NO
110,0,0.000000,NO
111,4,0.320050,NO
112,22,0.838973,NO
113,1,0.000000,NO
114,1,0.000000,NO
115,0,0.000000,NO
116,1,0.000005,NO
117,19,0.999200,NO
118,6,0.000000,NO
119,9,0.000014,NO
120,1,0.000000,NO
121,1,0.000005,NO
122,2,0.000000,NO
123,0,0.000000,NO
124,1,0.000000,NO
125,1,0.000000,NO
126,5,0.000003,NO
127,3,0.000000,NO
128,1,0.000000,NO
129,0,0.000000,NO
130,5,0.000002,NO
131,1,0.000000,NO
132,10,0.968557,NO
133,1,0.000000,NO
134,2,0.000000,NO
135,5,0.000044,NO
136,1,0.000000,NO
137,1,0.000000,NO
138,0,0.000000,NO
139,9,0.000001,NO
140,2,0.000000,NO
141,9,0.000163,NO
142,2,0.000000,NO
143,17,0.981324,NO
144,9,0.000006,NO
145,2,0.000000,NO
146,2,0.000089,NO
147,1,0.000000,NO
148,6,0.000001,NO
149,0,0.000000,NO
150,7,0.000328,NO
151,1,0.000000,NO
152,23,0.989920,NO
153,1,0.000000,NO
154,0,0.000000,NO
155,1,0.000000,NO
156,1,0.000000,NO
157,1,0.000000,NO
158,3,0.000001,NO
159,1,0.000000,NO
160,0,0.000000,NO
161,0,0.000000,NO
162,9,0.000007,NO
163,0,0.000000,NO
164,1,0.000000,NO
165,1,0.000001,NO
166,5,0.000000,NO
167,0,0.000000,NO
168,11,0.000003,NO
169,0,0.000000,NO
170,3,0.000048,NO
171,0,0.000001,NO
172,6,0.000147,NO
173,1,0.000000,NO
174,1,0.000000,NO
175,4,0.000000,NO
176,10,0.000006,NO
177,11,0.010108,NO
178,1,0.000000,NO
179,1,0.000000,NO
180,3,0.000000,NO
181,0,0.000000,NO
182,1,0.000000,NO
183,3,0.000000,NO
184,1,0.000000,NO
185,1,0.000000,NO
186,1,0.000000,NO
187,1,0.000000,NO
188,3,0.000000,NO
189,1,0.000000,NO
190,1,0.000000,NO
191,4,0.000001,NO
192,1,0.000000,NO
193,1,0.000000,NO
194,0,0.000000,NO
195,12,0.999049,NO
196,1,0.000000,NO
197,18,0.999956,NO
198,1,0.000000,NO
199,1,0.000005,NO
200,0,0.000000,NO
201,3,0.999996,NO
202,1,0.000000,NO
203,0,0.000000,NO
204,4,0.000001,NO
205,1,0.000000,NO
206,3,0.000047,NO
207,4,0.000001,NO
208,2,0.000000,NO
209,1,0.000000,NO
210,3,0.000000,NO
211,1,0.000000,NO
212,1,0.000000,NO
213,1,0.000000,NO
214,0,0.000000,NO
215,1,0.000000,NO
216,1,0.000005,NO
217,1,0.000000,NO
218,0,0.000000,NO
219,0,0.000000,NO
220,1,0.000000,NO
221,1,0.000000,NO
222,1,0.000000,NO
223,1,0.000000,NO
224,4,0.000003,NO
225,2,0.000000,NO
226,1,0.000000,NO
