ID,Size,Predicted,Actual
0,1,0.011280,NO
1,7,0.000000,NO
2,0,0.000000,NO
3,1,0.000000,NO
4,7,0.000000,NO
5,17,0.010000,NO
6,0,0.000000,NO
7,7,0.000000,NO
8,3,0.276351,NO
9,1,0.000000,NO
10,0,0.000000,NO
11,4,0.000000,NO
12,1,0.000000,NO
13,4,0.000000,NO
14,1,0.000000,NO
15,0,0.000000,NO
16,1,0.000000,NO
17,1,0.011257,NO
18,11,0.020000,NO
19,15,0.000000,NO
20,1,0.022140,NO
21,1,0.000000,NO
22,10,0.000000,NO
23,4,0.000000,NO
24,1,0.009487,NO
25,1,0.000000,NO
26,11,0.010000,NO
27,2,0.039597,NO
28,1,0.020869,NO
29,1,0.000000,NO
30,1,0.000000,NO
31,37,0.060000,NO
32,1,0.000000,NO
33,1,0.000000,NO
34,1,0.000000,NO
35,5,0.000000,NO
36,3,0.110552,NO
37,1,0.011019,NO
38,1,0.010665,NO
39,1,0.000000,NO
40,10,0.000000,NO
41,37,0.000000,NO
42,1,0.000000,NO
43,15,0.000000,NO
44,1,0.008693,NO
45,1,0.000000,NO
46,12,0.000000,NO
47,1,0.000000,NO
48,1,0.004176,NO
49,5,0.000000,NO
50,4,0.000000,NO
51,16,0.000000,NO
52,1,0.093777,NO
53,6,0.000000,NO
54,1,0.005167,NO
55,0,0.000000,NO
56,1,0.004176,NO
57,10,0.000000,NO
58,3,0.000000,NO
59,0,0.000000,NO
60,0,0.000000,NO
61,1,0.011019,NO
62,1,0.047918,NO
63,1,0.005510,NO
64,1,0.005690,NO
65,1,0.008693,NO
66,1,0.022140,NO
67,0,0.000000,NO
68,1,0.046153,NO
69,1,0.005167,NO
70,8,0.030000,NO
71,0,0.000000,NO
72,0,0.000000,NO
73,7,0.020000,NO
74,5,0.000000,NO
75,1,0.008693,NO
76,11,0.000000,NO
77,1,0.000000,NO
78,1,0.000000,NO
79,2,0.041027,NO
80,0,0.000000,NO
81,1,0.024213,NO
82,4,0.000000,NO
83,0,0.000000,NO
84,13,0.000000,NO
85,0,0.000000,NO
86,1,0.000000,NO
87,1,0.000000,NO
88,0,0.000000,NO
89,1,0.004176,NO
90,0,0.000000,NO
91,1,0.010665,NO
92,0,0.000000,NO
93,5,0.000000,NO
94,1,0.048719,NO
95,3,0.000000,NO
96,0,0.000000,NO
97,1,0.011098,NO
98,2,0.030611,NO
99,2,0.041934,NO
100,1,0.005601,NO
101,1,0.004176,NO
102,1,0.000000,NO
103,1,0.022052,NO
104,1,0.010663,NO
105,0,0.000000,NO
106,4,0.000000,NO
107,1,0.000000,NO
108,61,0.010000,NO
109,4,0.000000,NO
110,1,0.000000,NO
111,5,0.000000,NO
112,15,0.000000,NO
113,12,0.000000,NO
114,0,0.000000,NO
115,8,0.063778,NO
116,1,0.000000,NO
117,1,0.000000,NO
118,1,0.022140,NO
119,3,0.054682,NO
120,2,0.046051,NO
121,1,0.010715,NO
122,1,0.000000,NO
123,7,0.000000,NO
124,0,0.000000,NO
125,1,0.000000,NO
126,1,0.000000,NO
127,12,0.000000,NO
128,0,0.000000,NO
129,3,0.000000,NO
130,4,0.000000,NO
131,1,0.048719,NO
132,13,0.000000,NO
133,1,0.014280,NO
134,2,0.040761,NO
135,2,0.000000,NO
136,13,0.000000,NO
137,4,0.000000,NO
138,1,0.026741,NO
139,4,0.000000,NO
140,7,0.000000,NO
141,7,0.000000,NO
142,4,0.000000,NO
143,1,0.000000,NO
144,1,0.009487,NO
145,1,0.008693,NO
146,1,0.000000,NO
147,1,0.010715,NO
148,3,0.000000,NO
149,1,0.010662,NO
150,0,0.000000,NO
151,1,0.000000,NO
152,15,0.000000,NO
153,5,0.000000,NO
154,39,0.000000,NO
155,2,0.086489,NO
156,8,0.010000,NO
157,0,0.000000,NO
158,1,0.005690,NO
159,1,0.000000,NO
160,2,0.000000,NO
161,14,0.000000,NO
162,3,0.573173,NO
163,1,0.020869,NO
164,2,0.000000,NO
165,4,0.000000,NO
166,0,0.000000,NO
167,3,0.000000,NO
168,14,0.000000,NO
169,1,0.005510,NO
170,1,0.047918,NO
171,2,0.000000,NO
172,1,0.021617,NO
173,8,0.000000,NO
174,3,0.350354,NO
175,0,0.000000,NO
176,5,0.000000,NO
177,1,0.000000,NO
178,1,0.010665,NO
179,0,0.000000,NO
180,16,0.020000,NO
181,5,0.000000,NO
182,0,0.000000,NO
183,1,0.011061,NO
184,11,0.000000,NO
185,1,0.000000,NO
186,1,0.000000,NO
187,1,0.024213,NO
188,26,0.000000,NO
189,1,0.000000,NO
190,1,0.005327,NO
191,0,0.000000,NO
192,2,0.047425,NO
193,2,0.000000,NO
194,25,0.240000,NO
195,6,0.000000,NO
196,1,0.000000,NO
197,0,0.000000,NO
198,2,0.000000,NO
199,1,0.011019,NO
200,0,0.000000,NO
201,13,0.000000,NO
202,3,0.000000,NO
203,6,0.000000,NO
204,9,0.000000,NO
205,7,0.000000,NO
206,1,0.000000,NO
207,0,0.000000,NO
208,1,0.000000,NO
209,0,0.000000,NO
210,1,0.010662,NO
211,0,0.000000,NO
212,1,0.015382,NO
213,1,0.021617,NO
214,1,0.000000,NO
215,1,0.000000,NO
216,1,0.015382,NO
217,1,0.000000,NO
218,1,0.017125,NO
219,1,0.000000,NO
220,2,0.000000,NO
221,4,0.000000,NO
222,1,0.026741,NO
223,5,0.000000,NO
224,5,0.000000,NO
225,10,0.000000,NO
226,1,0.011019,NO
227,0,0.000000,NO
228,1,0.011019,NO
229,1,0.005510,NO
230,0,0.000000,NO
231,2,0.031307,NO
232,1,0.011061,NO
233,0,0.000000,NO
234,1,0.000000,NO
235,1,0.005327,NO
236,1,0.000000,NO
237,11,0.010000,NO
238,55,0.010000,NO
239,42,0.000000,NO
240,1,0.025864,NO
241,1,0.011019,NO
242,1,0.017125,NO
243,0,0.000000,NO
244,0,0.000000,NO
245,1,0.011019,NO
246,1,0.000000,NO
247,1,0.022052,NO
248,3,0.000000,NO
249,4,0.000000,NO
250,0,0.000000,NO
251,7,0.000000,NO
252,20,0.000000,NO
253,1,0.022052,NO
254,0,0.000000,NO
255,7,0.000000,NO
256,1,0.022140,NO
257,1,0.000000,NO
258,0,0.000000,NO
259,1,0.015382,NO
260,1,0.000000,NO
261,0,0.000000,NO
262,9,0.000000,NO
263,23,0.050000,NO
264,1,0.010662,NO
265,1,0.000000,NO
266,1,0.026741,NO
267,14,0.000000,NO
268,4,0.000000,NO
269,3,1.000000,NO
270,1,0.000000,NO
271,0,0.000000,NO
272,6,0.000000,NO
273,2,0.031311,NO
274,1,0.000000,NO
275,48,0.020000,NO
276,1,0.026741,NO
277,4,0.000000,NO
278,1,0.000000,NO
279,1,0.026741,NO
280,4,1.000000,NO
281,3,0.000000,NO
282,95,0.000000,NO
283,4,0.000000,NO
284,1,0.005510,NO
285,5,0.000000,NO
286,1,0.022140,NO
287,1,0.000000,NO
288,3,0.001667,NO
289,4,0.000000,NO
290,1,0.000000,NO
291,1,0.000000,NO
292,6,0.000000,NO
293,13,0.010000,NO
294,0,0.000000,NO
295,1,0.000000,NO
296,1,0.014280,NO
297,1,0.000000,NO
298,1,0.000000,NO
299,0,0.000000,NO
300,2,0.144966,NO
301,1,0.000000,NO
302,1,0.011019,NO
303,1,0.005601,NO
304,1,0.000000,NO
305,0,0.000000,NO
306,1,0.000000,NO
307,2,0.000253,NO
308,12,0.006250,NO
309,0,0.000000,NO
310,1,0.005601,NO
311,0,0.000000,NO
312,9,0.010000,NO
313,1,0.022140,NO
314,1,0.000000,NO
315,0,0.000000,NO
316,0,0.000000,NO
317,26,0.000000,NO
318,1,0.008693,NO
319,1,0.000000,NO
320,1,0.008693,NO
321,1,0.000000,NO
322,1,0.000000,NO
323,1,0.000000,NO
324,0,0.000000,NO
325,1,0.000000,NO
326,18,0.020000,NO
327,0,0.000000,NO
328,6,0.000000,NO
329,1,0.011019,NO
330,0,0.000000,NO
331,8,0.000000,NO
332,1,0.011019,NO
333,1,0.000000,NO
334,1,0.011280,NO
335,1,0.010665,NO
336,1,0.000000,NO
337,0,0.000000,NO
338,0,0.000000,NO
339,0,0.000000,NO
340,1,0.021991,NO
341,1,0.025864,NO
342,0,0.000000,NO
343,1,0.000000,NO
344,0,0.000000,NO
345,1,0.000000,NO
346,1,0.000000,NO
347,1,0.015382,NO
348,0,0.000000,NO
349,9,0.000000,NO
350,2,0.000000,NO
351,2,0.000000,NO
352,4,0.000000,NO
353,7,0.010000,NO
354,13,0.820000,NO
355,4,0.000000,NO
356,1,0.005327,NO
357,1,0.000000,NO
358,1,0.000000,NO
359,2,0.000000,NO
360,1,0.010665,NO
361,1,0.000000,NO
362,1,0.005327,NO
363,1,0.000000,NO
364,1,0.014280,NO
365,0,0.000000,NO
366,7,0.000000,NO
367,2,0.031311,NO
368,4,0.000000,NO
369,4,0.000000,NO
370,1,0.000000,NO
371,0,0.000000,NO
372,1,0.000000,NO
373,4,0.000000,NO
374,1,0.000000,NO
375,0,0.000000,NO
376,1,0.015382,NO
377,3,0.000000,NO
378,1,0.000000,NO
379,0,0.000000,NO
380,3,0.271612,NO
381,6,0.000000,NO
382,0,0.000000,NO
383,15,0.000000,NO
384,0,0.000000,NO
385,1,0.010663,NO
386,0,0.000000,NO
387,7,0.000000,NO
388,0,0.000000,NO
389,11,0.120000,NO
390,11,0.010000,NO
391,0,0.000000,NO
