ID,Size,Predicted,Actual
0,4,0.013879,NO
1,19,0.488716,NO
2,13,0.013879,NO
3,25,0.012431,NO
4,7,0.020524,NO
5,1,0.001362,NO
6,0,0.001362,NO
7,1,0.001362,NO
8,14,0.060708,NO
9,1,0.001362,NO
10,0,0.001362,NO
11,1,0.001362,NO
12,1,0.001362,NO
13,1,0.001362,NO
14,0,0.001362,NO
15,1,0.001362,NO
16,5,0.013879,NO
17,1,0.001362,NO
18,1,0.001362,NO
19,17,0.000000,NO
20,0,0.001362,NO
21,1,0.001362,NO
22,1,0.001362,NO
23,4,0.020524,NO
24,1,0.001362,NO
25,1,0.001362,NO
26,6,0.001362,NO
27,7,0.020524,NO
28,3,0.025825,NO
29,1,0.001362,NO
30,11,0.020524,NO
31,1,0.001362,NO
32,1,0.001362,NO
33,1,0.001362,NO
34,1,0.001362,NO
35,3,0.013879,NO
36,1,0.001362,NO
37,8,0.020524,NO
38,0,0.001362,NO
39,1,0.001362,NO
40,6,0.013879,NO
41,0,0.001362,NO
42,5,0.013879,NO
43,1,0.001362,NO
44,1,0.001362,NO
45,3,0.013879,NO
46,0,0.001362,NO
47,0,0.001362,NO
48,1,0.001362,NO
49,1,0.001362,NO
50,1,0.001362,NO
51,0,0.001362,NO
52,9,0.001362,NO
53,1,0.001362,NO
54,0,0.001362,NO
55,4,0.013879,NO
56,0,0.001362,NO
57,1,0.001362,NO
58,6,0.013879,NO
59,1,0.001362,NO
60,1,0.001362,NO
61,1,0.001362,NO
62,3,0.013879,NO
63,5,0.013879,NO
64,1,0.001362,NO
65,0,0.001362,NO
66,1,0.001362,NO
67,21,0.013879,NO
68,7,0.060708,NO
69,27,0.000000,NO
70,5,0.013879,NO
71,8,0.013879,NO
72,1,0.001362,NO
73,1,0.001362,NO
74,1,0.001362,NO
75,0,0.001362,NO
76,1,0.001362,NO
77,3,0.013879,NO
78,1,0.001362,NO
79,2,0.001362,NO
80,0,0.001362,NO
81,16,0.020524,NO
82,1,0.001362,NO
83,87,0.000000,NO
84,5,0.013879,NO
85,1,0.001362,NO
86,1,0.001362,NO
87,1,0.001362,NO
88,9,0.020524,NO
89,0,0.001362,NO
90,1,0.001362,NO
91,1,0.001362,NO
92,1,0.001362,NO
93,7,0.010619,NO
94,1,0.001362,NO
95,0,0.001362,NO
96,1,0.001362,NO
97,3,0.020524,NO
98,0,0.001362,NO
99,3,0.008820,NO
100,0,0.001362,NO
101,1,0.001362,NO
102,1,0.001362,NO
103,15,0.012788,NO
104,68,0.175055,NO
105,2,0.002129,NO
106,1,0.001362,NO
107,7,0.020524,NO
108,1,0.001362,NO
109,11,0.059912,NO
110,0,0.001362,NO
111,1,0.001362,NO
112,4,0.025825,NO
113,7,0.020725,NO
114,14,0.087618,NO
115,1,0.001362,NO
116,19,0.012788,NO
117,2,0.013879,NO
118,1,0.001362,NO
119,1,0.001362,NO
120,0,0.001362,NO
121,2,0.013879,NO
122,1,0.011125,NO
123,0,0.001362,NO
124,1,0.001362,NO
125,1,0.001362,NO
126,14,0.013879,NO
127,1,0.001362,NO
128,1,0.002129,NO
129,5,0.001362,NO
130,10,0.019593,NO
131,6,0.013879,NO
132,4,0.020524,NO
133,1,0.001362,NO
134,1,0.001362,NO
135,1,0.001362,NO
136,1,0.001362,NO
137,17,0.020725,NO
138,6,0.013879,NO
139,1,0.001362,NO
140,2,0.013879,NO
141,1,0.001362,NO
142,1,0.001362,NO
143,4,0.020524,NO
144,1,0.001362,NO
145,0,0.001362,NO
146,11,0.087618,NO
147,3,0.013879,NO
148,1,0.001362,NO
149,0,0.001362,NO
150,1,0.001362,NO
151,1,0.001362,NO
152,1,0.001362,NO
153,16,0.013879,NO
154,1,0.001362,NO
155,1,0.002129,NO
156,1,0.002129,NO
157,6,0.020524,NO
158,4,0.020524,NO
159,12,0.012788,NO
160,1,0.001362,NO
161,1,0.001362,NO
162,1,0.011125,NO
163,11,0.025825,NO
164,1,0.001362,NO
165,2,0.001362,NO
166,1,0.001362,NO
167,8,0.001362,NO
168,1,0.001362,NO
169,3,0.013879,NO
170,6,0.013879,NO
171,2,0.001362,NO
172,4,0.020524,NO
173,0,0.001362,NO
174,9,0.013879,NO
175,1,0.001362,NO
176,4,0.013879,NO
177,3,0.013879,NO
178,1,0.011125,NO
179,1,0.001362,NO
180,1,0.001362,NO
181,1,0.001362,NO
182,1,0.001362,NO
183,0,0.001362,NO
184,1,0.001362,NO
185,0,0.001362,NO
186,15,0.169447,NO
187,11,0.020524,NO
188,16,0.020524,NO
189,6,0.013879,NO
190,1,0.001362,NO
191,0,0.001362,NO
192,4,0.020524,NO
193,1,0.002129,NO
194,0,0.001362,NO
195,4,0.020524,NO
196,6,0.013879,NO
197,0,0.001362,NO
198,2,0.001362,NO
199,0,0.001362,NO
200,0,0.001362,NO
