ID,Size,Predicted,Actual
0,1,0.000981,NO
1,11,0.000000,NO
2,1,0.000000,NO
3,1,0.000000,NO
4,1,0.001150,NO
5,1,0.000000,NO
6,1,0.000000,NO
7,1,0.000000,NO
8,3,0.000000,NO
9,1,0.000000,NO
10,0,0.000000,NO
11,1,0.000000,NO
12,0,0.000000,NO
13,1,0.001260,NO
14,1,0.000000,NO
15,3,0.000000,NO
16,1,0.001027,NO
17,1,0.000000,NO
18,1,0.000000,NO
19,1,0.000000,NO
20,4,0.000000,NO
21,7,0.000000,NO
22,1,0.000000,NO
23,1,0.001871,NO
24,1,0.001233,NO
25,1,0.001889,NO
26,1,0.001871,NO
27,1,0.002083,NO
28,5,0.000000,NO
29,3,0.000000,NO
30,1,0.000000,NO
31,2,0.000000,NO
32,1,0.000000,NO
33,1,0.000000,NO
34,1,0.000000,NO
35,31,0.000000,NO
36,6,0.000000,NO
37,24,0.250000,NO
38,35,0.040000,NO
39,37,0.020000,NO
40,1,0.000022,NO
41,1,0.001871,NO
42,1,0.001122,NO
43,1,0.001105,NO
44,1,0.000000,NO
45,4,0.000000,NO
46,1,0.000000,NO
47,6,0.000000,NO
48,0,0.000000,NO
49,3,0.014396,NO
50,6,0.054133,NO
51,1,0.001105,NO
52,0,0.000000,NO
53,2,0.000000,NO
54,0,0.000000,NO
55,1,0.000000,NO
56,1,0.000910,NO
57,7,0.000000,NO
58,1,0.002377,NO
59,1,0.002104,NO
60,1,0.000000,NO
61,10,0.022500,NO
62,6,0.000000,NO
63,1,0.001889,NO
64,1,0.001233,NO
65,4,0.013272,NO
66,2,0.006037,NO
67,5,0.000000,NO
68,4,0.000000,NO
69,0,0.000000,NO
70,24,0.060000,NO
71,8,0.000000,NO
72,5,0.000000,NO
73,15,0.000000,NO
74,4,0.000000,NO
75,1,0.000000,NO
76,0,0.000000,NO
77,1,0.000000,NO
78,1,0.010000,NO
79,1,0.000000,NO
80,1,0.000000,NO
81,1,0.002104,NO
82,0,0.000000,NO
83,5,0.060000,NO
84,5,0.000000,NO
85,0,0.000000,NO
86,1,0.000557,NO
87,1,0.001122,NO
88,11,0.020000,NO
89,0,0.000000,NO
90,5,0.000000,NO
91,9,0.070000,NO
92,2,0.000000,NO
93,4,0.000000,NO
94,19,0.020000,NO
95,0,0.000000,NO
96,5,0.000000,NO
97,0,0.000000,NO
98,1,0.002196,NO
99,9,0.000000,NO
100,10,0.000000,NO
101,1,0.000910,NO
102,8,0.000000,NO
103,3,0.010691,NO
104,36,0.090000,NO
105,4,0.000000,NO
106,1,0.000000,NO
107,9,0.000000,NO
108,2,0.000000,NO
109,2,0.000000,NO
110,3,0.000000,NO
111,7,0.000000,NO
112,7,0.017500,NO
113,1,0.000957,NO
114,0,0.000000,NO
115,0,0.000000,NO
116,3,0.000000,NO
117,1,0.000000,NO
118,15,0.010000,NO
119,0,0.000000,NO
120,1,0.000739,NO
121,0,0.000000,NO
122,2,0.015250,NO
123,1,0.000008,NO
124,26,0.010000,NO
125,4,0.000000,NO
126,14,0.010000,NO
127,1,0.001260,NO
128,2,0.000000,NO
129,2,0.000000,NO
130,1,0.000000,NO
131,0,0.000000,NO
132,5,0.000000,NO
133,1,0.001171,NO
134,0,0.000000,NO
135,0,0.000000,NO
136,4,0.000000,NO
137,5,0.000000,NO
138,0,0.000000,NO
139,1,0.000000,NO
140,9,0.010000,NO
141,9,0.000000,NO
142,1,0.001871,NO
143,1,0.001233,NO
144,0,0.000000,NO
145,1,0.001388,NO
146,1,0.004703,NO
147,1,0.001233,NO
148,0,0.000000,NO
149,1,0.001871,NO
150,4,0.000000,NO
151,5,0.000000,NO
152,1,0.001260,NO
153,12,0.000000,NO
154,1,0.001171,NO
155,0,0.000000,NO
156,1,0.000000,NO
157,4,0.000000,NO
158,12,0.000000,NO
159,1,0.010000,NO
160,3,0.000000,NO
161,0,0.000000,NO
162,0,0.000000,NO
163,1,0.000514,NO
164,3,0.000000,NO
165,3,0.000000,NO
166,13,0.000000,NO
167,1,0.000000,NO
168,3,0.000000,NO
169,19,0.020000,NO
170,1,0.000000,NO
171,17,0.000000,NO
172,1,0.000000,NO
173,3,0.000000,NO
174,4,0.000000,NO
175,6,0.000000,NO
176,1,0.002196,NO
177,1,0.000000,NO
178,1,0.000782,NO
179,0,0.000000,NO
180,1,0.000000,NO
181,7,0.000000,NO
182,2,0.000000,NO
183,1,0.002660,NO
184,0,0.000000,NO
185,1,0.000000,NO
186,1,0.002104,NO
187,1,0.000000,NO
188,1,0.002784,NO
189,1,0.000413,NO
190,6,0.001111,NO
191,3,0.000000,NO
192,0,0.000000,NO
193,1,0.002377,NO
194,5,0.000000,NO
195,0,0.000000,NO
196,1,0.000000,NO
197,1,0.000000,NO
198,1,0.004968,NO
199,0,0.000000,NO
200,1,0.001388,NO
201,1,0.001260,NO
202,1,0.000413,NO
203,1,0.001122,NO
204,1,0.000000,NO
205,8,0.000000,NO
206,1,0.000000,NO
207,1,0.001171,NO
208,5,0.000000,NO
209,1,0.001889,NO
210,1,0.000000,NO
211,1,0.002272,NO
212,1,0.000782,NO
213,1,0.001388,NO
214,0,0.005600,NO
215,1,0.001171,NO
216,0,0.000000,NO
217,1,0.002784,NO
218,1,0.000000,NO
219,1,0.000413,NO
220,3,0.000000,NO
221,4,0.000000,NO
222,1,0.002104,NO
223,2,0.000000,NO
224,2,0.000000,NO
225,1,0.002272,NO
226,1,0.000000,NO
227,1,0.000000,NO
228,4,0.040000,NO
229,21,0.000000,NO
230,1,0.002416,NO
231,60,0.000000,NO
232,41,0.060000,NO
233,8,0.000000,NO
234,3,0.000000,NO
235,1,0.004681,NO
236,0,0.000000,NO
237,1,0.000000,NO
238,0,0.000000,NO
239,4,0.000000,NO
240,1,0.000413,NO
241,3,0.000000,NO
242,1,0.001233,NO
243,1,0.001052,NO
244,5,0.000000,NO
245,0,0.000000,NO
246,1,0.000000,NO
247,18,0.030000,NO
248,3,0.000000,NO
249,1,0.000000,NO
250,3,0.070000,NO
251,1,0.002377,NO
252,1,0.000782,NO
253,1,0.000000,NO
254,6,0.000000,NO
255,0,0.000000,NO
256,1,0.002104,NO
257,1,0.001150,NO
258,1,0.000000,NO
259,1,0.001150,NO
260,1,0.000000,NO
261,6,0.000000,NO
262,9,0.000000,NO
263,21,0.000000,NO
264,1,0.000000,NO
265,0,0.000000,NO
266,3,0.000000,NO
267,9,0.000000,NO
268,4,0.000000,NO
269,31,0.000000,NO
270,1,0.000483,NO
271,9,0.000000,NO
272,15,0.000000,NO
273,2,0.000000,NO
274,3,0.011310,NO
275,1,0.004824,NO
276,1,0.000000,NO
277,0,0.000000,NO
278,1,0.000000,NO
279,1,0.000000,NO
280,3,0.000000,NO
281,0,0.000000,NO
282,7,0.200323,NO
283,3,0.000000,NO
284,1,0.002196,NO
285,0,0.000000,NO
286,11,0.000000,NO
287,1,0.001122,NO
288,0,0.000000,NO
289,0,0.000000,NO
290,10,0.000000,NO
291,4,0.000000,NO
292,3,0.000000,NO
293,0,0.006880,NO
294,4,0.000000,NO
295,1,0.000483,NO
296,1,0.000000,NO
297,0,0.000000,NO
298,1,0.001027,NO
299,3,0.000000,NO
300,1,0.000000,NO
301,8,0.000000,NO
302,12,0.020000,NO
303,12,0.000000,NO
304,1,0.000000,NO
305,1,0.001889,NO
306,1,0.000000,NO
307,1,0.000739,NO
308,1,0.000910,NO
309,8,0.000000,NO
310,11,0.000000,NO
311,1,0.001233,NO
312,6,0.001765,NO
313,1,0.000000,NO
314,0,0.000000,NO
315,4,0.020832,NO
316,4,0.000000,NO
317,1,0.001388,NO
318,5,0.000000,NO
319,0,0.000000,NO
320,1,0.002272,NO
321,1,0.002377,NO
322,1,0.000000,NO
323,4,0.000000,NO
324,1,0.001260,NO
325,2,0.041532,NO
326,1,0.001889,NO
327,9,0.000000,NO
328,3,0.000000,NO
329,1,0.000000,NO
330,1,0.002196,NO
331,1,0.002104,NO
332,1,0.000000,NO
333,1,0.002272,NO
334,4,0.000000,NO
335,3,0.000000,NO
336,2,0.000000,NO
337,59,0.060000,NO
338,1,0.002377,NO
339,69,0.010000,NO
340,0,0.000000,NO
341,1,0.000000,NO
342,0,0.000000,NO
343,0,0.000000,NO
344,1,0.002104,NO
345,3,0.017242,NO
346,4,0.000000,NO
347,3,0.030000,NO
348,1,0.001218,NO
349,0,0.000000,NO
350,3,0.000000,NO
351,24,0.060000,NO
352,7,0.010000,NO
353,1,0.001889,NO
354,16,0.000000,NO
355,2,0.000000,NO
356,0,0.000000,NO
357,0,0.000000,NO
358,1,0.000000,NO
359,9,0.000000,NO
360,1,0.000957,NO
361,11,0.020000,NO
362,0,0.000000,NO
363,0,0.000000,NO
364,1,0.000000,NO
365,1,0.002272,NO
366,1,0.001162,NO
367,1,0.000000,NO
368,0,0.000000,NO
369,1,0.000000,NO
370,11,0.000000,NO
371,1,0.002784,NO
372,0,0.000000,NO
373,1,0.001233,NO
374,1,0.000000,NO
375,0,0.000000,NO
376,0,0.000000,NO
377,1,0.001889,NO
378,1,0.000000,NO
379,6,0.000000,NO
380,0,0.000000,NO
381,1,0.000000,NO
382,1,0.002196,NO
383,32,0.000000,NO
384,1,0.002416,NO
385,3,0.000000,NO
386,0,0.000000,NO
387,1,0.002104,NO
388,6,0.000000,NO
389,2,0.000000,NO
390,0,0.000000,NO
391,2,0.008946,NO
392,1,0.001260,NO
393,1,0.000000,NO
394,0,0.000000,NO
395,1,0.000608,NO
396,1,0.000000,NO
397,0,0.000000,NO
398,0,0.000000,NO
399,10,0.012338,NO
400,0,0.000000,NO
401,11,0.000000,NO
402,0,0.000000,NO
403,1,0.001233,NO
404,1,0.000782,NO
405,4,0.000000,NO
406,1,0.002377,NO
407,1,0.004436,NO
408,4,0.000000,NO
409,9,0.000000,NO
410,1,0.000000,NO
411,16,0.000000,NO
412,0,0.000000,NO
413,0,0.000000,NO
414,1,0.000000,NO
415,12,0.000000,NO
416,15,0.010000,NO
417,9,0.000000,NO
418,1,0.000008,NO
419,1,0.000608,NO
420,0,0.000000,NO
421,2,0.009589,NO
422,2,0.000000,NO
423,1,0.000000,NO
424,1,0.000514,NO
425,1,0.001171,NO
426,1,0.000413,NO
427,0,0.000000,NO
428,0,0.000000,NO
429,1,0.000000,NO
430,3,0.000000,NO
431,17,0.000000,NO
432,3,0.020000,NO
433,1,0.000000,NO
434,0,0.000000,NO
435,4,0.000000,NO
436,20,0.000000,NO
437,1,0.001388,NO
438,1,0.001052,NO
439,5,0.000000,NO
440,1,0.000000,NO
441,1,0.000739,NO
442,1,0.000000,NO
443,1,0.002660,NO
444,1,0.001171,NO
445,12,0.000000,NO
446,1,0.001171,NO
447,0,0.000000,NO
448,0,0.000000,NO
449,24,0.030000,NO
450,3,0.000000,NO
451,0,0.000000,NO
452,1,0.000000,NO
453,11,0.010000,NO
454,3,0.000000,NO
455,13,0.000000,NO
456,1,0.000000,NO
457,1,0.000000,NO
458,0,0.000000,NO
459,1,0.000000,NO
460,0,0.000000,NO
461,0,0.000000,NO
462,1,0.001105,NO
463,12,0.000000,NO
464,2,0.000000,NO
465,1,0.000000,NO
466,1,0.001871,NO
467,0,0.000000,NO
468,27,0.000000,NO
469,3,0.000000,NO
