ID,Size,Predicted,Actual
0,5,0.010000,NO
1,7,0.000000,NO
2,8,0.009000,NO
3,1,0.000000,NO
4,3,0.009322,NO
5,0,0.000000,NO
6,0,0.000000,NO
7,1,0.006223,NO
8,37,0.000000,NO
9,1,0.000000,NO
10,12,0.000000,NO
11,1,0.000495,NO
12,3,0.000000,NO
13,1,0.000000,NO
14,1,0.001660,NO
15,0,0.000000,NO
16,20,0.050000,NO
17,10,0.005000,NO
18,1,0.011815,NO
19,1,0.000000,NO
20,0,0.000000,NO
21,1,0.002975,NO
22,7,0.020000,NO
23,1,0.000592,NO
24,0,0.000000,NO
25,0,0.000000,NO
26,1,0.007511,NO
27,0,0.000000,NO
28,5,0.000000,NO
29,1,0.000000,NO
30,2,0.004690,NO
31,1,0.000000,NO
32,0,0.000000,NO
33,1,0.006223,NO
34,42,0.000000,NO
35,13,0.000000,NO
36,8,0.000000,NO
37,22,0.630000,NO
38,1,0.000000,NO
39,1,0.001594,NO
40,0,0.000000,NO
41,0,0.000000,NO
42,7,0.000000,NO
43,0,0.000000,NO
44,1,0.000000,NO
45,7,0.000000,NO
46,1,0.007511,NO
47,1,0.000924,NO
48,2,0.000000,NO
49,9,0.000000,NO
50,0,0.006621,NO
51,0,0.000000,NO
52,1,0.006223,NO
53,0,0.000000,NO
54,1,0.000000,NO
55,1,0.006223,NO
56,2,0.000000,NO
57,0,0.000000,NO
58,2,0.000000,NO
59,0,0.000000,NO
60,18,0.060000,NO
61,1,0.000000,NO
62,1,0.000000,NO
63,12,0.000000,NO
64,1,0.001722,NO
65,0,0.000000,NO
66,3,0.000000,NO
67,1,0.000608,NO
68,2,0.003951,NO
69,14,0.000000,NO
70,0,0.000000,NO
71,3,0.000000,NO
72,1,0.000000,NO
73,1,0.000616,NO
74,1,0.001130,NO
75,0,0.000000,NO
76,1,0.000924,NO
77,1,0.000000,NO
78,4,0.000000,NO
79,1,0.007935,NO
80,1,0.000000,NO
81,3,0.000000,NO
82,1,0.002078,NO
83,1,0.004984,NO
84,0,0.000000,NO
85,0,0.000000,NO
86,0,0.000000,NO
87,2,0.000000,NO
88,4,0.000000,NO
89,1,0.009836,NO
90,0,0.000000,NO
91,0,0.000000,NO
92,1,0.004984,NO
93,69,0.030000,NO
94,4,0.000000,NO
95,40,0.010000,NO
96,1,0.000000,NO
97,0,0.000000,NO
98,0,0.000000,NO
99,3,0.000000,NO
100,1,0.002975,NO
101,0,0.000000,NO
102,11,0.000000,NO
103,5,0.000000,NO
104,4,0.000000,NO
105,1,0.002388,NO
106,1,0.000000,NO
107,1,0.001063,NO
108,12,0.000000,NO
109,1,0.000000,NO
110,1,0.007511,NO
111,0,0.000000,NO
112,1,0.006223,NO
113,1,0.001063,NO
114,4,0.674258,NO
115,6,0.006667,NO
116,4,0.020000,NO
117,0,0.000000,NO
118,1,0.000000,NO
119,1,0.000000,NO
