ID,Size,Predicted,Actual
0,12,0.018994,NO
1,1,0.001213,NO
2,1,0.001213,NO
3,1,0.001213,NO
4,1,0.001213,NO
5,1,0.001213,NO
6,1,0.001213,NO
7,15,0.013662,NO
8,1,0.001213,NO
9,1,0.001213,NO
10,1,0.001213,NO
11,1,0.001213,NO
12,1,0.001213,NO
13,1,0.001213,NO
14,1,0.001213,NO
15,1,0.001213,NO
16,1,0.001213,NO
17,1,0.001213,NO
18,6,0.001213,NO
19,34,0.003608,NO
20,14,0.018994,NO
21,1,0.001213,NO
22,26,0.018994,NO
23,5,0.013662,NO
24,5,0.013662,NO
25,1,0.001213,NO
26,1,0.001213,NO
27,15,0.013662,NO
28,1,0.001213,NO
29,5,0.010079,NO
30,5,0.010079,NO
31,6,0.001213,NO
32,11,0.014199,NO
33,9,0.014199,NO
34,1,0.001213,NO
35,1,0.001213,NO
36,1,0.001213,NO
37,1,0.001213,NO
38,1,0.001213,NO
39,1,0.001213,NO
40,1,0.001213,NO
41,1,0.001213,NO
42,1,0.001213,NO
43,1,0.001213,NO
44,1,0.001213,NO
45,1,0.001213,NO
46,1,0.001213,NO
47,1,0.001213,NO
48,1,0.001213,NO
49,1,0.001213,NO
50,19,0.000013,NO
51,1,0.001213,NO
52,1,0.008929,NO
53,1,0.001213,NO
54,1,0.001213,NO
55,1,0.001213,NO
56,1,0.001213,NO
57,1,0.001213,NO
58,1,0.001213,NO
59,1,0.001213,NO
60,1,0.001213,NO
61,1,0.001213,NO
62,1,0.001213,NO
63,1,0.001213,NO
64,1,0.001213,NO
65,1,0.001213,NO
66,1,0.001213,NO
67,1,0.001213,NO
68,1,0.001213,NO
69,1,0.001213,NO
70,1,0.001213,NO
71,1,0.001213,NO
72,1,0.001213,NO
73,1,0.001213,NO
74,1,0.001213,NO
75,1,0.001213,NO
76,1,0.001213,NO
77,19,0.000001,NO
78,1,0.005010,NO
79,1,0.001213,NO
80,1,0.001213,NO
81,1,0.001213,NO
82,1,0.001213,NO
83,1,0.001213,NO
84,1,0.001213,NO
85,1,0.001213,NO
86,1,0.001213,NO
87,1,0.001213,NO
88,1,0.001213,NO
89,1,0.001213,NO
90,6,0.000001,NO
91,1,0.001213,NO
92,0,0.001213,NO
93,0,0.001213,NO
94,0,0.001213,NO
95,0,0.001213,NO
96,0,0.001213,NO
97,0,0.001213,NO
98,0,0.001213,NO
99,0,0.001213,NO
100,0,0.001213,NO
101,0,0.001213,NO
102,0,0.001213,NO
103,0,0.001213,NO
104,0,0.001213,NO
105,0,0.001213,NO
106,0,0.001213,NO
107,0,0.001213,NO
108,0,0.001213,NO
109,0,0.001213,NO
110,0,0.001213,NO
111,0,0.001213,NO
112,0,0.001213,NO
113,0,0.001213,NO
114,0,0.001213,NO
115,0,0.001213,NO
116,0,0.001213,NO
117,0,0.001213,NO
118,0,0.001213,NO
119,0,0.001213,NO
120,0,0.001213,NO
121,0,0.001213,NO
122,0,0.001213,NO
123,0,0.001213,NO
124,0,0.001213,NO
125,0,0.001213,NO
126,0,0.001213,NO
127,0,0.001213,NO
128,0,0.001213,NO
129,0,0.001213,NO
130,0,0.001213,NO
131,0,0.001213,NO
132,0,0.001213,NO
133,0,0.001213,NO
134,0,0.001213,NO
135,0,0.001213,NO
136,0,0.001213,NO
137,0,0.001213,NO
138,0,0.001213,NO
139,0,0.001213,NO
140,0,0.001213,NO
141,0,0.001213,NO
142,0,0.001213,NO
143,0,0.001213,NO
144,0,0.001213,NO
145,0,0.001213,NO
146,0,0.001213,NO
147,0,0.001213,NO
148,0,0.001213,NO
149,0,0.001213,NO
150,0,0.001213,NO
151,0,0.001213,NO
152,0,0.001213,NO
153,0,0.001213,NO
154,0,0.001213,NO
155,0,0.001213,NO
156,0,0.001213,NO
157,0,0.001213,NO
158,0,0.001213,NO
159,0,0.001213,NO
160,0,0.001213,NO
161,1,0.005010,NO
162,1,0.001213,NO
163,1,0.005010,NO
164,1,0.001213,NO
165,1,0.005010,NO
166,1,0.001213,NO
167,1,0.005010,NO
168,1,0.001213,NO
169,1,0.005010,NO
170,1,0.001213,NO
171,1,0.005010,NO
172,1,0.001213,NO
173,1,0.005010,NO
174,1,0.001213,NO
175,1,0.005010,NO
176,1,0.001213,NO
177,1,0.005010,NO
178,1,0.001213,NO
179,1,0.005010,NO
180,1,0.001213,NO
181,1,0.005010,NO
182,1,0.001213,NO
183,1,0.005010,NO
184,1,0.001213,NO
185,1,0.005010,NO
186,1,0.001213,NO
187,1,0.005010,NO
188,1,0.001213,NO
189,1,0.005010,NO
190,1,0.001213,NO
191,1,0.005010,NO
192,1,0.001213,NO
193,1,0.005010,NO
194,1,0.001213,NO
195,1,0.005010,NO
196,3,0.018994,NO
197,1,0.005010,NO
198,1,0.001213,NO
199,1,0.005010,NO
200,3,0.018994,NO
201,1,0.005010,NO
202,1,0.001213,NO
203,3,0.020367,NO
204,17,0.000013,NO
205,1,0.005010,NO
206,1,0.001213,NO
207,1,0.005010,NO
208,3,0.018994,NO
209,1,0.005010,NO
210,1,0.001213,NO
211,1,0.001213,NO
212,1,0.005010,NO
213,1,0.001213,NO
214,1,0.005010,NO
215,3,0.018994,NO
216,1,0.005010,NO
217,1,0.001213,NO
218,1,0.005010,NO
219,3,0.018994,NO
220,1,0.001213,NO
221,1,0.005010,NO
222,1,0.001213,NO
223,1,0.005010,NO
224,1,0.001213,NO
225,1,0.005010,NO
226,3,0.018994,NO
227,1,0.001213,NO
228,1,0.005010,NO
229,5,0.018994,NO
230,4,0.018994,NO
231,7,0.020367,NO
232,12,0.014199,NO
233,11,0.000001,NO
234,7,0.020367,NO
235,7,0.018994,NO
236,1,0.001213,NO
237,13,0.013662,NO
238,12,0.013662,NO
239,7,0.018994,NO
240,6,0.065527,NO
