@relation BOOKKEEPER_full

@attribute Release numeric
@attribute LOC numeric
@attribute #Parameters numeric
@attribute #Authors numeric
@attribute #Revisions numeric
@attribute StmtAdded numeric
@attribute StmtDeleted numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute #Branches numeric
@attribute NestingDepth numeric
@attribute NFix numeric
@attribute NSmells numeric
@attribute Buggy {no,yes}

@data
3,22,5,2,2,23,1,23,12,7,4,0,0,yes
3,2,2,1,1,2,0,2,2,0,0,0,0,no
4,1,2,3,3,2,0,2,0.666667,0,0,0,0,no
5,1,1,1,1,1,0,1,1,0,0,1,0,no
4,47,1,2,8,47,0,33,5.875,22,1,0,2,yes
4,1,2,1,1,1,0,1,1,0,0,0,0,no
1,4,1,1,1,4,0,4,4,1,1,0,0,no
2,10,1,2,3,10,0,7,3.333333,2,2,0,0,yes
1,1,0,1,1,1,0,1,1,0,0,0,0,no
3,1,3,1,1,1,0,1,1,0,0,0,0,no
2,1,0,1,1,1,0,1,1,0,0,0,0,no
5,3,1,1,1,3,0,3,3,0,0,0,0,no
4,17,0,2,3,41,11,39,17.333333,4,3,0,0,yes
3,8,1,1,1,8,0,8,8,2,3,0,0,no
4,3,7,1,1,3,0,3,3,1,1,0,1,yes
3,1,0,1,1,1,0,1,1,0,0,0,0,no
3,14,3,1,1,14,0,14,14,2,2,0,0,no
5,2,2,1,1,2,0,2,2,0,0,0,0,no
3,5,2,2,2,8,3,8,5.5,0,0,1,0,no
5,4,0,1,1,4,0,4,4,0,0,1,0,no
5,1,3,1,1,1,0,1,1,0,0,0,0,no
5,37,2,1,2,37,0,36,18.5,8,2,0,3,no
5,14,0,2,2,14,0,14,7,3,2,1,0,no
5,8,1,1,1,8,0,8,8,4,1,0,0,no
2,24,0,2,2,24,0,24,12,5,5,0,1,yes
1,1,1,1,1,1,0,1,1,0,0,0,0,no
4,1,0,1,1,1,0,1,1,0,0,0,0,no
2,1,0,1,1,1,0,1,1,0,0,0,0,no
4,1,0,1,1,1,0,1,1,0,0,0,0,no
4,10,3,1,1,10,0,10,10,2,1,0,0,no
5,1,0,1,1,1,0,1,1,0,0,0,0,no
4,4,1,1,1,4,0,4,4,0,0,1,0,no
5,9,0,2,2,9,0,9,4.5,2,2,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
3,1,0,1,1,1,0,1,1,0,0,0,0,no
5,10,1,1,1,10,0,10,10,2,3,0,0,no
1,4,3,1,1,4,0,4,4,1,2,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
3,0,1,1,1,0,0,0,0,0,0,0,0,no
5,0,2,1,1,0,0,0,0,0,0,0,0,no
1,3,1,1,1,3,0,3,3,0,0,0,0,no
4,14,5,1,2,14,0,14,7,3,3,0,0,no
5,88,1,2,3,88,0,84,29.333333,20,7,1,3,no
3,3,2,1,1,3,0,3,3,0,0,0,0,no
1,14,0,1,1,14,0,14,14,3,2,0,0,yes
4,1,0,1,1,1,0,1,1,0,0,0,0,no
2,5,1,1,1,5,0,5,5,1,1,0,0,yes
4,28,1,3,7,29,1,21,4.285714,5,2,2,0,no
3,7,3,1,1,7,0,7,7,2,1,0,0,no
3,1,6,4,4,6,5,5,2.75,0,0,2,1,no
4,1,1,1,1,1,0,1,1,0,0,0,0,no
5,6,0,2,2,6,0,5,3,0,0,0,0,no
1,4,2,1,1,4,0,4,4,1,1,0,0,no
4,0,1,1,1,0,0,0,0,0,0,0,0,no
3,12,5,4,10,33,21,24,5.4,4,2,0,0,no
1,48,5,2,6,48,0,37,8,10,2,0,2,no
1,7,4,1,1,7,0,7,7,2,2,0,0,no
4,1,0,1,1,1,0,1,1,0,0,0,0,no
5,8,1,1,2,8,7,8,7.5,2,1,0,0,no
5,1,2,1,1,1,0,1,1,0,0,0,0,no
4,12,2,2,4,14,2,8,4,1,1,0,1,no
2,4,3,1,1,4,0,4,4,2,2,0,0,no
1,1,1,1,1,1,0,1,1,0,0,0,0,yes
2,11,2,1,1,11,0,11,11,1,1,0,0,no
3,0,0,1,1,0,0,0,0,0,0,0,0,no
5,13,1,1,1,13,0,13,13,3,2,0,0,no
4,16,1,2,3,16,0,14,5.333333,3,3,0,0,no
4,4,1,1,2,4,0,4,2,0,0,1,0,no
1,3,0,1,1,3,0,3,3,0,0,0,0,no
3,2,0,1,1,2,0,2,2,0,0,0,0,no
4,0,3,1,1,0,0,0,0,0,0,0,0,no
5,1,0,1,1,1,0,1,1,0,0,0,0,no
3,13,5,1,2,18,5,18,11.5,0,0,0,0,no
1,42,2,1,2,42,0,40,21,15,6,0,3,no
4,27,3,2,2,27,6,27,16.5,5,2,0,1,no
1,2,1,1,2,2,0,2,1,0,0,0,0,no
5,35,1,1,1,35,0,35,35,8,4,0,2,no
5,5,1,1,1,5,0,5,5,0,0,0,0,no
5,19,1,1,1,19,0,19,19,6,2,0,0,no
1,7,0,1,1,7,0,7,7,2,1,0,0,no
5,0,0,1,2,1,0,1,0.5,0,0,1,0,no
5,2,0,1,1,2,0,2,2,0,0,0,0,no
4,11,0,1,1,11,0,11,11,3,3,0,0,no
4,1,0,1,1,1,0,1,1,0,0,1,0,no
2,2,0,1,1,2,0,2,2,1,1,0,0,no
3,1,1,1,1,1,0,1,1,0,0,0,0,no
5,1,2,1,1,1,0,1,1,0,0,0,0,no
2,0,1,1,1,0,0,0,0,0,0,0,0,no
1,4,2,1,1,4,0,4,4,0,0,0,0,no
4,31,1,2,4,31,0,18,7.75,4,2,1,1,no
3,1,0,1,1,1,0,1,1,0,0,0,0,no
1,5,3,1,1,5,0,5,5,0,0,0,0,no
3,2,2,1,1,2,0,2,2,0,0,0,0,no
1,5,1,1,1,5,0,5,5,1,1,0,0,no
2,4,0,1,1,4,0,4,4,1,1,0,0,no
