@relation Dataset-weka.filters.unsupervised.attribute.Remove-R1

@attribute Release numeric
@attribute LOC numeric
@attribute #Parameters numeric
@attribute #Authors numeric
@attribute #Revisions numeric
@attribute StmtAdded numeric
@attribute StmtDeleted numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute #Branches numeric
@attribute NestingDepth numeric
@attribute NFix numeric
@attribute NSmells numeric
@attribute Buggy {no,yes}

@data
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,15,1,1,1,15,0,15,15,4,2,0,1,no
1,11,2,1,1,11,0,11,11,1,1,0,0,no
1,8,2,1,1,8,0,8,8,1,1,0,0,no
1,4,1,1,1,4,0,4,4,0,1,0,0,no
1,10,1,1,1,10,0,10,10,2,3,0,0,no
1,1,0,1,2,1,0,1,0.5,0,0,0,0,no
1,27,1,2,3,33,6,33,13,7,3,0,2,no
1,11,2,1,2,11,0,11,5.5,2,2,0,0,no
1,19,1,1,2,22,3,22,12.5,2,2,0,1,no
1,12,2,2,2,12,0,12,6,2,2,0,0,no
1,1,4,1,1,1,0,1,1,0,0,0,0,no
1,6,4,1,1,6,0,6,6,1,1,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,38,0,3,5,52,0,39,10.4,10,4,0,2,yes
1,4,1,1,1,0,0,0,0,1,1,0,0,no
1,4,0,3,4,13,1,9,3.5,1,1,0,0,yes
1,15,2,1,1,15,0,15,15,4,3,0,0,no
1,6,1,1,1,6,0,6,6,1,1,0,1,no
1,7,1,1,1,7,0,7,7,2,2,0,0,no
1,18,2,1,1,18,0,18,18,5,3,0,0,yes
1,12,1,1,2,12,0,10,6,5,3,0,0,yes
1,31,1,1,1,31,0,31,31,5,3,0,1,no
1,10,1,1,1,10,0,10,10,1,2,0,0,no
1,7,2,1,1,7,0,7,7,2,2,0,0,no
1,2,1,1,1,2,0,2,2,0,1,0,0,no
1,21,3,2,2,21,0,11,10.5,4,5,0,1,no
1,18,2,2,2,18,0,10,9,3,4,0,0,no
1,1,2,1,1,1,0,1,1,0,0,0,0,no
1,2,2,1,1,2,0,2,2,0,0,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,15,0,2,2,15,0,13,7.5,3,3,0,0,no
1,17,0,2,2,17,0,17,8.5,4,4,0,0,no
1,3,0,1,1,3,0,3,3,0,0,0,1,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,1,1,2,2,2,1,2,1.5,0,0,0,0,no
1,6,2,1,2,6,0,6,3,1,2,0,0,no
1,6,2,1,1,6,0,6,6,1,1,0,0,no
1,7,4,1,1,7,0,7,7,1,1,0,0,no
1,6,4,1,1,6,0,6,6,0,2,0,0,no
1,8,4,2,2,13,5,13,9,1,3,0,0,no
1,3,1,1,1,3,0,3,3,0,1,0,0,no
1,7,2,1,1,7,0,7,7,1,2,0,0,no
1,3,5,1,1,3,0,3,3,1,1,0,1,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,2,0,1,1,2,0,2,2,1,1,0,0,no
1,14,1,2,2,14,0,14,7,1,1,0,1,yes
1,7,1,2,2,7,0,5,3.5,2,1,0,0,yes
1,1,1,1,1,1,0,1,1,0,0,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,9,1,2,2,9,0,7,4.5,3,1,0,0,yes
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,18,1,1,1,18,0,18,18,4,2,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,9,1,1,1,9,0,9,9,2,2,0,0,no
1,42,2,1,2,42,0,40,21,15,6,0,3,no
1,11,0,3,5,67,56,62,24.6,5,4,0,0,no
1,8,0,1,1,8,0,8,8,1,2,0,0,no
1,4,1,1,1,4,0,4,4,1,2,0,0,no
1,21,0,1,1,21,0,21,21,7,5,0,1,no
1,11,1,1,1,11,0,11,11,2,1,0,1,no
1,10,2,1,1,10,0,10,10,1,3,0,1,no
1,17,1,1,1,17,0,17,17,4,3,0,1,yes
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,2,0,1,1,2,0,2,2,1,1,0,0,no
1,10,2,2,2,10,0,10,5,1,1,0,1,yes
1,31,3,1,1,31,0,31,31,6,2,0,2,no
1,14,1,1,1,14,0,14,14,2,2,0,0,yes
1,5,1,1,1,5,0,5,5,2,2,0,0,no
1,4,0,1,1,4,0,4,4,0,1,0,0,no
1,38,0,2,2,38,0,35,19,9,4,0,3,no
1,7,0,2,3,7,0,4,2.333333,1,2,0,0,no
1,9,1,1,1,9,0,9,9,2,1,0,1,no
1,13,0,1,1,13,0,13,13,3,1,0,2,no
1,4,0,1,1,4,0,4,4,1,1,0,0,no
1,1,2,2,2,7,6,7,6.5,0,0,0,0,no
1,8,2,1,1,8,0,8,8,2,2,0,0,no
1,3,0,1,1,3,0,3,3,1,1,0,0,no
1,13,2,1,1,13,0,13,13,3,3,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,6,0,2,2,6,0,6,3,3,3,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
