@relation OPENJPA_Training_7

@attribute Release numeric
@attribute LOC numeric
@attribute #Parameters numeric
@attribute #Authors numeric
@attribute #Revisions numeric
@attribute StmtAdded numeric
@attribute StmtDeleted numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute #Branches numeric
@attribute NestingDepth numeric
@attribute NFix numeric
@attribute ComplexityDensity numeric
@attribute Buggy {no,yes}

@data
7,12,1,1,1,12,0,12,12,1,1,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,0,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,0,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,0,1,1,1,0,1,1,0,0,0,0,no
7,15,3,1,1,15,0,15,15,5,2,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,0,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,0,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,0,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,0,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,0,1,1,1,0,1,1,0,0,0,0,no
7,6,1,1,1,6,0,6,6,0,0,0,0,no
7,34,1,1,1,34,0,34,34,0,0,0,0,no
7,14,1,1,1,14,0,14,14,5,1,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,26,1,1,1,26,0,26,26,1,1,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,0,1,1,1,0,1,1,0,0,0,0,no
7,19,1,3,7,19,0,16,2.714286,5,1,4,0,no
7,1,0,1,1,4,0,4,4,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,1,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,0,1,1,1,0,1,1,0,0,0,0,no
7,1,0,1,1,1,0,1,1,0,0,0,0,no
7,19,1,3,3,19,0,14,6.333333,6,3,0,0,no
7,1,0,2,2,1,0,1,0.5,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,1,1,1,1,0,1,1,0,0,0,0,no
7,1,0,1,1,1,0,1,1,0,0,0,0,no
7,6,1,2,3,6,0,5,2,2,1,1,0,no
7,1,0,1,1,1,0,1,1,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,1,1,1,0,0,0,0,0,0,0,0,no
7,0,0,1,1,0,0,0,0,0,0,0,0,no
