Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
BOOKKEEPER,1,RandomForest,None,None,None,0.578,0.250,0.879,0.326,0.346
BOOKKEEPER,1,NaiveBayes,None,None,None,0.174,0.311,0.775,0.170,0.222
BOOKKEEPER,1,IBk,None,None,None,0.338,0.250,0.774,0.255,0.287
BOOKKEEPER,1,RandomForest,BestFirst,None,None,0.349,0.125,0.799,0.161,0.181
BOOKKEEPER,1,NaiveBayes,BestFirst,None,None,0.189,0.209,0.804,0.154,0.197
BOOKKEEPER,1,IBk,BestFirst,None,None,0.293,0.115,0.711,0.140,0.161
BOOKKEEPER,1,RandomForest,None,SMOTE,None,0.265,0.409,0.860,0.278,0.321
BOOKKEEPER,1,NaiveBayes,None,SMOTE,None,0.150,0.413,0.776,0.160,0.220
BOOKKEEPER,1,IBk,None,SMOTE,None,0.216,0.538,0.805,0.256,0.308
BOOKKEEPER,1,RandomForest,None,None,SensitiveLearning,0.304,0.516,0.872,0.341,0.382
BOOKKEEPER,1,NaiveBayes,None,None,SensitiveLearning,0.157,0.368,0.775,0.162,0.220
BOOKKEEPER,1,IBk,None,None,SensitiveLearning,0.239,0.418,0.774,0.258,0.304
BOOKKEEPER,2,RandomForest,None,None,None,0.566,0.241,0.875,0.318,0.338
BOOKKEEPER,2,NaiveBayes,None,None,None,0.174,0.311,0.775,0.170,0.223
BOOKKEEPER,2,IBk,None,None,None,0.315,0.237,0.766,0.238,0.270
BOOKKEEPER,2,RandomForest,BestFirst,None,None,0.360,0.118,0.786,0.155,0.176
BOOKKEEPER,2,NaiveBayes,BestFirst,None,None,0.192,0.208,0.804,0.157,0.200
BOOKKEEPER,2,IBk,BestFirst,None,None,0.284,0.100,0.683,0.125,0.146
BOOKKEEPER,2,RandomForest,None,SMOTE,None,0.272,0.396,0.860,0.279,0.322
BOOKKEEPER,2,NaiveBayes,None,SMOTE,None,0.151,0.418,0.775,0.161,0.222
BOOKKEEPER,2,IBk,None,SMOTE,None,0.229,0.560,0.812,0.273,0.324
BOOKKEEPER,2,RandomForest,None,None,SensitiveLearning,0.296,0.505,0.865,0.331,0.373
BOOKKEEPER,2,NaiveBayes,None,None,SensitiveLearning,0.158,0.366,0.775,0.162,0.220
BOOKKEEPER,2,IBk,None,None,SensitiveLearning,0.233,0.407,0.766,0.249,0.296
BOOKKEEPER,3,RandomForest,None,None,None,0.567,0.237,0.884,0.311,0.330
BOOKKEEPER,3,NaiveBayes,None,None,None,0.172,0.311,0.774,0.169,0.222
BOOKKEEPER,3,IBk,None,None,None,0.325,0.247,0.770,0.247,0.279
BOOKKEEPER,3,RandomForest,BestFirst,None,None,0.355,0.087,0.793,0.121,0.138
BOOKKEEPER,3,NaiveBayes,BestFirst,None,None,0.186,0.195,0.806,0.147,0.190
BOOKKEEPER,3,IBk,BestFirst,None,None,0.301,0.077,0.724,0.102,0.120
BOOKKEEPER,3,RandomForest,None,SMOTE,None,0.268,0.396,0.863,0.275,0.318
BOOKKEEPER,3,NaiveBayes,None,SMOTE,None,0.152,0.417,0.776,0.162,0.222
BOOKKEEPER,3,IBk,None,SMOTE,None,0.222,0.547,0.808,0.265,0.316
BOOKKEEPER,3,RandomForest,None,None,SensitiveLearning,0.296,0.517,0.873,0.335,0.376
BOOKKEEPER,3,NaiveBayes,None,None,SensitiveLearning,0.158,0.368,0.774,0.163,0.221
BOOKKEEPER,3,IBk,None,None,SensitiveLearning,0.232,0.414,0.770,0.249,0.297
BOOKKEEPER,4,RandomForest,None,None,None,0.575,0.239,0.883,0.317,0.337
BOOKKEEPER,4,NaiveBayes,None,None,None,0.171,0.308,0.773,0.167,0.220
BOOKKEEPER,4,IBk,None,None,None,0.334,0.254,0.773,0.256,0.288
BOOKKEEPER,4,RandomForest,BestFirst,None,None,0.334,0.118,0.796,0.149,0.170
BOOKKEEPER,4,NaiveBayes,BestFirst,None,None,0.201,0.210,0.804,0.162,0.204
BOOKKEEPER,4,IBk,BestFirst,None,None,0.282,0.097,0.708,0.119,0.140
BOOKKEEPER,4,RandomForest,None,SMOTE,None,0.266,0.398,0.864,0.275,0.318
BOOKKEEPER,4,NaiveBayes,None,SMOTE,None,0.152,0.421,0.775,0.163,0.223
BOOKKEEPER,4,IBk,None,SMOTE,None,0.224,0.556,0.807,0.267,0.319
BOOKKEEPER,4,RandomForest,None,None,SensitiveLearning,0.306,0.529,0.872,0.346,0.387
BOOKKEEPER,4,NaiveBayes,None,None,SensitiveLearning,0.156,0.366,0.773,0.160,0.218
BOOKKEEPER,4,IBk,None,None,SensitiveLearning,0.239,0.424,0.773,0.259,0.305
BOOKKEEPER,5,RandomForest,None,None,None,0.559,0.244,0.878,0.316,0.336
BOOKKEEPER,5,NaiveBayes,None,None,None,0.175,0.311,0.774,0.171,0.223
BOOKKEEPER,5,IBk,None,None,None,0.321,0.254,0.768,0.250,0.282
BOOKKEEPER,5,RandomForest,BestFirst,None,None,0.324,0.086,0.790,0.115,0.133
BOOKKEEPER,5,NaiveBayes,BestFirst,None,None,0.195,0.196,0.803,0.151,0.194
BOOKKEEPER,5,IBk,BestFirst,None,None,0.246,0.069,0.702,0.086,0.104
BOOKKEEPER,5,RandomForest,None,SMOTE,None,0.267,0.411,0.858,0.280,0.323
BOOKKEEPER,5,NaiveBayes,None,SMOTE,None,0.152,0.416,0.775,0.162,0.222
BOOKKEEPER,5,IBk,None,SMOTE,None,0.213,0.540,0.797,0.253,0.306
BOOKKEEPER,5,RandomForest,None,None,SensitiveLearning,0.291,0.497,0.865,0.324,0.366
BOOKKEEPER,5,NaiveBayes,None,None,SensitiveLearning,0.157,0.365,0.774,0.162,0.220
BOOKKEEPER,5,IBk,None,None,SensitiveLearning,0.229,0.416,0.768,0.247,0.295
BOOKKEEPER,6,RandomForest,None,None,None,0.576,0.246,0.881,0.324,0.344
BOOKKEEPER,6,NaiveBayes,None,None,None,0.172,0.309,0.775,0.168,0.221
BOOKKEEPER,6,IBk,None,None,None,0.335,0.257,0.772,0.258,0.289
BOOKKEEPER,6,RandomForest,BestFirst,None,None,0.323,0.100,0.793,0.130,0.149
BOOKKEEPER,6,NaiveBayes,BestFirst,None,None,0.188,0.198,0.804,0.149,0.192
BOOKKEEPER,6,IBk,BestFirst,None,None,0.249,0.088,0.695,0.105,0.125
BOOKKEEPER,6,RandomForest,None,SMOTE,None,0.270,0.409,0.860,0.282,0.325
BOOKKEEPER,6,NaiveBayes,None,SMOTE,None,0.151,0.417,0.776,0.161,0.222
BOOKKEEPER,6,IBk,None,SMOTE,None,0.221,0.556,0.805,0.264,0.316
BOOKKEEPER,6,RandomForest,None,None,SensitiveLearning,0.305,0.521,0.868,0.343,0.384
BOOKKEEPER,6,NaiveBayes,None,None,SensitiveLearning,0.157,0.366,0.775,0.161,0.219
BOOKKEEPER,6,IBk,None,None,SensitiveLearning,0.238,0.424,0.772,0.257,0.304
BOOKKEEPER,7,RandomForest,None,None,None,0.583,0.255,0.879,0.333,0.353
BOOKKEEPER,7,NaiveBayes,None,None,None,0.174,0.311,0.775,0.171,0.223
BOOKKEEPER,7,IBk,None,None,None,0.335,0.254,0.766,0.256,0.288
BOOKKEEPER,7,RandomForest,BestFirst,None,None,0.325,0.092,0.798,0.123,0.142
BOOKKEEPER,7,NaiveBayes,BestFirst,None,None,0.192,0.206,0.805,0.156,0.198
BOOKKEEPER,7,IBk,BestFirst,None,None,0.276,0.078,0.708,0.101,0.120
BOOKKEEPER,7,RandomForest,None,SMOTE,None,0.264,0.413,0.859,0.278,0.322
BOOKKEEPER,7,NaiveBayes,None,SMOTE,None,0.150,0.414,0.775,0.159,0.220
BOOKKEEPER,7,IBk,None,SMOTE,None,0.215,0.543,0.797,0.256,0.308
BOOKKEEPER,7,RandomForest,None,None,SensitiveLearning,0.292,0.498,0.869,0.326,0.367
BOOKKEEPER,7,NaiveBayes,None,None,SensitiveLearning,0.158,0.368,0.775,0.163,0.221
BOOKKEEPER,7,IBk,None,None,SensitiveLearning,0.237,0.416,0.766,0.254,0.301
BOOKKEEPER,8,RandomForest,None,None,None,0.582,0.247,0.879,0.325,0.345
BOOKKEEPER,8,NaiveBayes,None,None,None,0.173,0.310,0.774,0.169,0.222
BOOKKEEPER,8,IBk,None,None,None,0.332,0.248,0.771,0.252,0.283
BOOKKEEPER,8,RandomForest,BestFirst,None,None,0.343,0.108,0.779,0.143,0.162
BOOKKEEPER,8,NaiveBayes,BestFirst,None,None,0.192,0.202,0.803,0.153,0.196
BOOKKEEPER,8,IBk,BestFirst,None,None,0.267,0.080,0.686,0.101,0.120
BOOKKEEPER,8,RandomForest,None,SMOTE,None,0.276,0.417,0.865,0.290,0.332
BOOKKEEPER,8,NaiveBayes,None,SMOTE,None,0.151,0.414,0.775,0.160,0.221
BOOKKEEPER,8,IBk,None,SMOTE,None,0.222,0.545,0.805,0.263,0.315
BOOKKEEPER,8,RandomForest,None,None,SensitiveLearning,0.299,0.513,0.871,0.336,0.377
BOOKKEEPER,8,NaiveBayes,None,None,SensitiveLearning,0.157,0.365,0.774,0.161,0.219
BOOKKEEPER,8,IBk,None,None,SensitiveLearning,0.233,0.414,0.771,0.251,0.298
BOOKKEEPER,9,RandomForest,None,None,None,0.577,0.252,0.874,0.330,0.350
BOOKKEEPER,9,NaiveBayes,None,None,None,0.175,0.310,0.774,0.170,0.223
BOOKKEEPER,9,IBk,None,None,None,0.331,0.251,0.765,0.253,0.285
BOOKKEEPER,9,RandomForest,BestFirst,None,None,0.338,0.099,0.793,0.131,0.150
BOOKKEEPER,9,NaiveBayes,BestFirst,None,None,0.184,0.196,0.805,0.145,0.189
BOOKKEEPER,9,IBk,BestFirst,None,None,0.246,0.080,0.687,0.095,0.115
BOOKKEEPER,9,RandomForest,None,SMOTE,None,0.273,0.421,0.858,0.288,0.330
BOOKKEEPER,9,NaiveBayes,None,SMOTE,None,0.151,0.414,0.775,0.160,0.221
BOOKKEEPER,9,IBk,None,SMOTE,None,0.220,0.547,0.798,0.261,0.313
BOOKKEEPER,9,RandomForest,None,None,SensitiveLearning,0.298,0.517,0.870,0.336,0.378
BOOKKEEPER,9,NaiveBayes,None,None,SensitiveLearning,0.158,0.368,0.774,0.163,0.220
BOOKKEEPER,9,IBk,None,None,SensitiveLearning,0.229,0.402,0.765,0.244,0.292
BOOKKEEPER,10,RandomForest,None,None,None,0.555,0.236,0.879,0.309,0.329
BOOKKEEPER,10,NaiveBayes,None,None,None,0.172,0.309,0.775,0.168,0.221
BOOKKEEPER,10,IBk,None,None,None,0.320,0.239,0.764,0.240,0.272
BOOKKEEPER,10,RandomForest,BestFirst,None,None,0.409,0.138,0.800,0.186,0.206
BOOKKEEPER,10,NaiveBayes,BestFirst,None,None,0.188,0.207,0.806,0.152,0.196
BOOKKEEPER,10,IBk,BestFirst,None,None,0.349,0.129,0.697,0.163,0.185
BOOKKEEPER,10,RandomForest,None,SMOTE,None,0.259,0.402,0.860,0.270,0.314
BOOKKEEPER,10,NaiveBayes,None,SMOTE,None,0.152,0.418,0.775,0.162,0.222
BOOKKEEPER,10,IBk,None,SMOTE,None,0.214,0.535,0.798,0.252,0.305
BOOKKEEPER,10,RandomForest,None,None,SensitiveLearning,0.293,0.511,0.865,0.330,0.372
BOOKKEEPER,10,NaiveBayes,None,None,SensitiveLearning,0.158,0.366,0.775,0.163,0.221
BOOKKEEPER,10,IBk,None,None,SensitiveLearning,0.232,0.407,0.764,0.248,0.295
