Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
BOOKKEEPER,1,RandomForest,None,None,None,0.563,0.178,0.560,0.205,0.270
BOOKKEEPER,1,NaiveBayes,None,None,None,0.279,0.242,0.567,0.119,0.259
BOOKKEEPER,1,IBk,None,None,None,0.424,0.187,0.545,0.173,0.260
BOOKKEEPER,1,RandomForest,BestFirst,None,None,0.307,0.095,0.587,0.070,0.145
BOOKKEEPER,1,NaiveBayes,BestFirst,None,None,0.280,0.212,0.621,0.110,0.241
BOOKKEEPER,1,IBk,BestFirst,None,None,0.379,0.110,0.569,0.102,0.171
BOOKKEEPER,1,RandomForest,None,SMOTE,None,0.352,0.245,0.559,0.173,0.289
BOOKKEEPER,1,NaiveBayes,None,SMOTE,None,0.230,0.298,0.572,0.082,0.259
BOOKKEEPER,1,IBk,None,SMOTE,None,0.301,0.270,0.549,0.147,0.285
BOOKKEEPER,1,RandomForest,None,None,SensitiveLearning,NaN,0.000,0.562,0.000,NaN
BOOKKEEPER,1,NaiveBayes,None,None,SensitiveLearning,0.283,0.202,0.567,0.109,0.236
BOOKKEEPER,1,IBk,None,None,SensitiveLearning,0.424,0.187,0.545,0.173,0.260
BOOKKEEPER,2,RandomForest,None,None,None,0.049,0.088,0.616,0.028,0.063
BOOKKEEPER,2,NaiveBayes,None,None,None,0.105,0.440,0.799,0.130,0.170
BOOKKEEPER,2,IBk,None,None,None,0.066,0.176,0.509,0.057,0.096
BOOKKEEPER,2,RandomForest,BestFirst,None,None,0.051,0.110,0.603,0.032,0.069
BOOKKEEPER,2,NaiveBayes,BestFirst,None,None,0.098,0.242,0.767,0.103,0.139
BOOKKEEPER,2,IBk,BestFirst,None,None,0.056,0.154,0.516,0.042,0.082
BOOKKEEPER,2,RandomForest,None,SMOTE,None,0.057,0.165,0.582,0.045,0.085
BOOKKEEPER,2,NaiveBayes,None,SMOTE,None,0.068,0.802,0.764,0.077,0.125
BOOKKEEPER,2,IBk,None,SMOTE,None,0.062,0.231,0.529,0.055,0.097
BOOKKEEPER,2,RandomForest,None,None,SensitiveLearning,NaN,0.000,0.629,0.000,NaN
BOOKKEEPER,2,NaiveBayes,None,None,SensitiveLearning,0.092,0.231,0.799,0.095,0.131
BOOKKEEPER,2,IBk,None,None,SensitiveLearning,0.103,0.165,0.509,0.095,0.127
BOOKKEEPER,3,RandomForest,None,None,None,0.143,0.021,0.705,0.030,0.036
BOOKKEEPER,3,NaiveBayes,None,None,None,0.132,0.495,0.828,0.176,0.208
BOOKKEEPER,3,IBk,None,None,None,0.092,0.062,0.649,0.056,0.074
BOOKKEEPER,3,RandomForest,BestFirst,None,None,0.129,0.041,0.605,0.051,0.063
BOOKKEEPER,3,NaiveBayes,BestFirst,None,None,0.148,0.237,0.811,0.157,0.183
BOOKKEEPER,3,IBk,BestFirst,None,None,0.138,0.041,0.560,0.053,0.063
BOOKKEEPER,3,RandomForest,None,SMOTE,None,0.052,0.031,0.698,0.021,0.039
BOOKKEEPER,3,NaiveBayes,None,SMOTE,None,0.107,0.588,0.822,0.145,0.180
BOOKKEEPER,3,IBk,None,SMOTE,None,0.047,0.103,0.647,0.032,0.065
BOOKKEEPER,3,RandomForest,None,None,SensitiveLearning,NaN,0.000,0.600,0.000,NaN
BOOKKEEPER,3,NaiveBayes,None,None,SensitiveLearning,0.150,0.485,0.829,0.199,0.229
BOOKKEEPER,3,IBk,None,None,SensitiveLearning,0.092,0.062,0.649,0.056,0.074
BOOKKEEPER,4,RandomForest,None,None,None,0.760,0.507,0.896,0.602,0.608
BOOKKEEPER,4,NaiveBayes,None,None,None,0.115,0.560,0.841,0.166,0.191
BOOKKEEPER,4,IBk,None,None,None,0.647,0.587,0.856,0.609,0.615
BOOKKEEPER,4,RandomForest,BestFirst,None,None,0.667,0.373,0.824,0.472,0.479
BOOKKEEPER,4,NaiveBayes,BestFirst,None,None,0.141,0.467,0.843,0.194,0.216
BOOKKEEPER,4,IBk,BestFirst,None,None,0.622,0.373,0.728,0.459,0.467
BOOKKEEPER,4,RandomForest,None,SMOTE,None,0.616,0.600,0.879,0.601,0.608
BOOKKEEPER,4,NaiveBayes,None,SMOTE,None,0.088,0.667,0.829,0.127,0.155
BOOKKEEPER,4,IBk,None,SMOTE,None,0.429,0.680,0.873,0.515,0.526
BOOKKEEPER,4,RandomForest,None,None,SensitiveLearning,NaN,0.000,0.885,0.000,NaN
BOOKKEEPER,4,NaiveBayes,None,None,SensitiveLearning,0.118,0.520,0.841,0.169,0.193
BOOKKEEPER,4,IBk,None,None,SensitiveLearning,0.647,0.587,0.856,0.609,0.615
