Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
BOOKKEEPER,1,NaiveBayes,BestFirst,None,None,0.285,0.215,0.621,0.114,0.245
BOOKKEEPER,1,NaiveBayes,None,None,SensitiveLearning,0.249,0.261,0.562,0.096,0.254
BOOKKEEPER,1,NaiveBayes,None,None,None,0.273,0.236,0.562,0.112,0.253
BOOKKEEPER,1,NaiveBayes,None,SMOTE,None,0.231,0.301,0.567,0.083,0.261
BOOKKEEPER,1,IBk,BestFirst,None,None,0.396,0.123,0.508,0.116,0.187
BOOKKEEPER,1,IBk,None,None,None,0.444,0.209,0.555,0.196,0.284
BOOKKEEPER,1,IBk,None,None,SensitiveLearning,0.308,0.276,0.555,0.154,0.291
BOOKKEEPER,1,RandomForest,BestFirst,None,None,0.359,0.113,0.537,0.098,0.172
BOOKKEEPER,1,RandomForest,None,None,SensitiveLearning,0.289,0.328,0.555,0.153,0.307
BOOKKEEPER,1,IBk,None,SMOTE,None,0.297,0.273,0.550,0.144,0.284
BOOKKEEPER,1,RandomForest,None,None,None,0.561,0.184,0.561,0.210,0.277
BOOKKEEPER,1,RandomForest,None,SMOTE,None,0.355,0.239,0.564,0.171,0.286
BOOKKEEPER,2,NaiveBayes,None,None,SensitiveLearning,0.085,0.791,0.821,0.109,0.154
BOOKKEEPER,2,NaiveBayes,None,None,None,0.109,0.593,0.821,0.144,0.185
BOOKKEEPER,2,NaiveBayes,BestFirst,None,None,0.130,0.462,0.839,0.166,0.202
BOOKKEEPER,2,RandomForest,BestFirst,None,None,0.074,0.154,0.606,0.065,0.100
BOOKKEEPER,2,RandomForest,None,None,None,0.070,0.143,0.603,0.058,0.094
BOOKKEEPER,2,IBk,BestFirst,None,None,0.041,0.099,0.497,0.019,0.058
BOOKKEEPER,2,IBk,None,None,None,0.075,0.209,0.515,0.072,0.110
BOOKKEEPER,2,IBk,None,None,SensitiveLearning,0.020,0.231,0.515,-0.015,0.037
BOOKKEEPER,2,NaiveBayes,None,SMOTE,None,0.097,0.692,0.825,0.127,0.170
BOOKKEEPER,2,RandomForest,None,None,SensitiveLearning,0.029,0.352,0.537,0.002,0.054
BOOKKEEPER,2,RandomForest,None,SMOTE,None,0.023,0.187,0.551,-0.010,0.041
BOOKKEEPER,2,IBk,None,SMOTE,None,0.029,0.275,0.530,0.002,0.053
BOOKKEEPER,3,NaiveBayes,None,None,None,0.129,0.381,0.817,0.162,0.193
BOOKKEEPER,3,NaiveBayes,None,None,SensitiveLearning,0.123,0.464,0.818,0.162,0.194
BOOKKEEPER,3,NaiveBayes,None,SMOTE,None,0.120,0.351,0.753,0.147,0.178
BOOKKEEPER,3,NaiveBayes,BestFirst,None,None,0.147,0.247,0.835,0.159,0.185
BOOKKEEPER,3,RandomForest,BestFirst,None,None,0.200,0.021,0.566,0.033,0.037
BOOKKEEPER,3,RandomForest,None,None,None,0.125,0.021,0.742,0.029,0.035
BOOKKEEPER,3,RandomForest,None,None,SensitiveLearning,0.076,0.062,0.730,0.047,0.068
BOOKKEEPER,3,IBk,BestFirst,None,None,0.200,0.021,0.510,0.033,0.037
BOOKKEEPER,3,IBk,None,None,None,0.114,0.052,0.682,0.057,0.071
BOOKKEEPER,3,IBk,None,None,SensitiveLearning,0.078,0.052,0.682,0.044,0.062
BOOKKEEPER,3,RandomForest,None,SMOTE,None,0.074,0.021,0.716,0.022,0.032
BOOKKEEPER,3,IBk,None,SMOTE,None,0.103,0.062,0.684,0.060,0.077
BOOKKEEPER,4,NaiveBayes,None,None,SensitiveLearning,0.105,0.587,0.845,0.153,0.178
BOOKKEEPER,4,NaiveBayes,None,None,None,0.118,0.533,0.845,0.169,0.193
BOOKKEEPER,4,NaiveBayes,None,SMOTE,None,0.112,0.587,0.826,0.163,0.188
BOOKKEEPER,4,NaiveBayes,BestFirst,None,None,0.168,0.280,0.845,0.192,0.210
BOOKKEEPER,4,RandomForest,BestFirst,None,None,0.565,0.173,0.760,0.259,0.265
BOOKKEEPER,4,RandomForest,None,None,None,0.787,0.493,0.897,0.601,0.607
BOOKKEEPER,4,RandomForest,None,None,SensitiveLearning,0.585,0.640,0.903,0.604,0.611
BOOKKEEPER,4,IBk,BestFirst,None,None,0.600,0.160,0.705,0.247,0.253
BOOKKEEPER,4,IBk,None,None,None,0.684,0.520,0.831,0.585,0.591
BOOKKEEPER,4,IBk,None,None,SensitiveLearning,0.568,0.560,0.831,0.556,0.564
BOOKKEEPER,4,RandomForest,None,SMOTE,None,0.696,0.520,0.882,0.589,0.595
BOOKKEEPER,4,IBk,None,SMOTE,None,0.597,0.533,0.830,0.556,0.563
