Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
OPENJPA,1,NaiveBayes,None,None,None,0.067,0.345,0.847,0.096,0.112
OPENJPA,1,NaiveBayes,None,None,SensitiveLearning,0.063,0.375,0.847,0.091,0.107
OPENJPA,2,NaiveBayes,None,None,None,0.066,0.344,0.847,0.096,0.111
OPENJPA,2,NaiveBayes,None,None,SensitiveLearning,0.063,0.375,0.847,0.091,0.107
OPENJPA,1,NaiveBayes,BestFirst,None,None,0.078,0.272,0.829,0.107,0.121
OPENJPA,3,NaiveBayes,None,None,None,0.067,0.345,0.848,0.096,0.112
OPENJPA,3,NaiveBayes,None,None,SensitiveLearning,0.063,0.374,0.848,0.091,0.107
OPENJPA,4,NaiveBayes,None,None,None,0.067,0.345,0.848,0.096,0.112
OPENJPA,4,NaiveBayes,None,None,SensitiveLearning,0.063,0.376,0.848,0.091,0.107
OPENJPA,5,NaiveBayes,None,None,None,0.067,0.347,0.847,0.097,0.112
OPENJPA,5,NaiveBayes,None,None,SensitiveLearning,0.063,0.375,0.847,0.091,0.107
OPENJPA,2,NaiveBayes,BestFirst,None,None,0.078,0.271,0.828,0.107,0.121
OPENJPA,6,NaiveBayes,None,None,None,0.067,0.346,0.848,0.096,0.112
OPENJPA,6,NaiveBayes,None,None,SensitiveLearning,0.062,0.373,0.848,0.091,0.107
OPENJPA,7,NaiveBayes,None,None,None,0.067,0.347,0.847,0.097,0.112
OPENJPA,7,NaiveBayes,None,None,SensitiveLearning,0.063,0.375,0.847,0.091,0.107
OPENJPA,3,NaiveBayes,BestFirst,None,None,0.078,0.270,0.829,0.106,0.120
OPENJPA,8,NaiveBayes,None,None,None,0.066,0.345,0.848,0.095,0.111
OPENJPA,8,NaiveBayes,None,None,SensitiveLearning,0.062,0.375,0.848,0.091,0.107
OPENJPA,9,NaiveBayes,None,None,None,0.067,0.347,0.848,0.096,0.112
OPENJPA,9,NaiveBayes,None,None,SensitiveLearning,0.063,0.376,0.848,0.091,0.107
OPENJPA,10,NaiveBayes,None,None,None,0.067,0.346,0.848,0.096,0.112
OPENJPA,1,NaiveBayes,None,SMOTE,None,0.057,0.465,0.847,0.086,0.102
OPENJPA,10,NaiveBayes,None,None,SensitiveLearning,0.063,0.376,0.847,0.091,0.107
OPENJPA,4,NaiveBayes,BestFirst,None,None,0.078,0.272,0.831,0.107,0.121
OPENJPA,5,NaiveBayes,BestFirst,None,None,0.078,0.268,0.827,0.106,0.121
OPENJPA,6,NaiveBayes,BestFirst,None,None,0.078,0.271,0.829,0.106,0.121
OPENJPA,7,NaiveBayes,BestFirst,None,None,0.078,0.271,0.828,0.107,0.122
OPENJPA,2,NaiveBayes,None,SMOTE,None,0.058,0.466,0.847,0.086,0.103
OPENJPA,8,NaiveBayes,BestFirst,None,None,0.078,0.268,0.831,0.106,0.120
OPENJPA,9,NaiveBayes,BestFirst,None,None,0.078,0.270,0.830,0.106,0.121
OPENJPA,10,NaiveBayes,BestFirst,None,None,0.078,0.271,0.828,0.106,0.121
OPENJPA,3,NaiveBayes,None,SMOTE,None,0.058,0.465,0.847,0.086,0.102
OPENJPA,4,NaiveBayes,None,SMOTE,None,0.058,0.466,0.847,0.086,0.102
OPENJPA,5,NaiveBayes,None,SMOTE,None,0.058,0.466,0.847,0.086,0.102
OPENJPA,6,NaiveBayes,None,SMOTE,None,0.058,0.465,0.847,0.086,0.102
OPENJPA,7,NaiveBayes,None,SMOTE,None,0.058,0.466,0.847,0.086,0.102
OPENJPA,8,NaiveBayes,None,SMOTE,None,0.058,0.465,0.847,0.086,0.102
OPENJPA,9,NaiveBayes,None,SMOTE,None,0.058,0.466,0.847,0.086,0.102
OPENJPA,10,NaiveBayes,None,SMOTE,None,0.058,0.467,0.847,0.086,0.103
