Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
OPENJPA,1,NaiveBayes,None,None,None,0.067,0.345,0.847,0.096,0.112
OPENJPA,1,NaiveBayes,None,None,SensitiveLearning,0.063,0.375,0.847,0.091,0.107
OPENJPA,2,NaiveBayes,None,None,None,0.066,0.344,0.847,0.096,0.111
OPENJPA,2,NaiveBayes,None,None,SensitiveLearning,0.063,0.375,0.847,0.091,0.107
OPENJPA,3,NaiveBayes,None,None,None,0.067,0.345,0.848,0.096,0.112
OPENJPA,3,NaiveBayes,None,None,SensitiveLearning,0.063,0.374,0.848,0.091,0.107
OPENJPA,1,NaiveBayes,BestFirst,None,None,0.078,0.272,0.829,0.107,0.121
OPENJPA,4,NaiveBayes,None,None,None,0.067,0.345,0.848,0.096,0.112
OPENJPA,4,NaiveBayes,None,None,SensitiveLearning,0.063,0.376,0.848,0.091,0.107
OPENJPA,5,NaiveBayes,None,None,None,0.067,0.347,0.847,0.097,0.112
OPENJPA,5,NaiveBayes,None,None,SensitiveLearning,0.063,0.375,0.847,0.091,0.107
OPENJPA,6,NaiveBayes,None,None,None,0.067,0.346,0.848,0.096,0.112
OPENJPA,6,NaiveBayes,None,None,SensitiveLearning,0.062,0.373,0.848,0.091,0.107
OPENJPA,2,NaiveBayes,BestFirst,None,None,0.078,0.271,0.828,0.107,0.121
OPENJPA,7,NaiveBayes,None,None,None,0.067,0.347,0.847,0.097,0.112
OPENJPA,7,NaiveBayes,None,None,SensitiveLearning,0.063,0.375,0.847,0.091,0.107
OPENJPA,8,NaiveBayes,None,None,None,0.066,0.345,0.848,0.095,0.111
OPENJPA,8,NaiveBayes,None,None,SensitiveLearning,0.062,0.375,0.848,0.091,0.107
OPENJPA,1,NaiveBayes,None,SMOTE,None,0.063,0.402,0.847,0.092,0.109
OPENJPA,9,NaiveBayes,None,None,None,0.067,0.347,0.848,0.096,0.112
OPENJPA,9,NaiveBayes,None,None,SensitiveLearning,0.063,0.376,0.848,0.091,0.107
OPENJPA,3,NaiveBayes,BestFirst,None,None,0.078,0.270,0.829,0.106,0.120
OPENJPA,10,NaiveBayes,None,None,None,0.067,0.346,0.848,0.096,0.112
OPENJPA,10,NaiveBayes,None,None,SensitiveLearning,0.063,0.376,0.847,0.091,0.107
OPENJPA,4,NaiveBayes,BestFirst,None,None,0.078,0.272,0.831,0.107,0.121
OPENJPA,5,NaiveBayes,BestFirst,None,None,0.078,0.268,0.827,0.106,0.121
OPENJPA,2,NaiveBayes,None,SMOTE,None,0.063,0.404,0.846,0.093,0.109
OPENJPA,6,NaiveBayes,BestFirst,None,None,0.078,0.271,0.829,0.106,0.121
OPENJPA,7,NaiveBayes,BestFirst,None,None,0.078,0.271,0.828,0.107,0.122
OPENJPA,8,NaiveBayes,BestFirst,None,None,0.078,0.268,0.831,0.106,0.120
OPENJPA,3,NaiveBayes,None,SMOTE,None,0.063,0.402,0.846,0.092,0.109
OPENJPA,9,NaiveBayes,BestFirst,None,None,0.078,0.270,0.830,0.106,0.121
OPENJPA,10,NaiveBayes,BestFirst,None,None,0.078,0.271,0.828,0.106,0.121
OPENJPA,4,NaiveBayes,None,SMOTE,None,0.063,0.405,0.847,0.093,0.109
OPENJPA,5,NaiveBayes,None,SMOTE,None,0.063,0.403,0.847,0.093,0.109
OPENJPA,6,NaiveBayes,None,SMOTE,None,0.063,0.405,0.847,0.093,0.109
OPENJPA,7,NaiveBayes,None,SMOTE,None,0.063,0.402,0.847,0.092,0.109
OPENJPA,1,RandomForest,BestFirst,None,None,0.693,0.049,0.840,0.089,0.090
OPENJPA,8,NaiveBayes,None,SMOTE,None,0.063,0.404,0.847,0.093,0.109
OPENJPA,9,NaiveBayes,None,SMOTE,None,0.063,0.403,0.847,0.092,0.109
OPENJPA,10,NaiveBayes,None,SMOTE,None,0.063,0.402,0.847,0.092,0.109
OPENJPA,2,RandomForest,BestFirst,None,None,0.697,0.046,0.840,0.085,0.087
OPENJPA,1,RandomForest,None,None,SensitiveLearning,0.458,0.613,0.895,0.518,0.523
OPENJPA,1,RandomForest,None,None,None,0.737,0.465,0.897,0.566,0.569
OPENJPA,1,RandomForest,None,SMOTE,None,0.687,0.529,0.902,0.593,0.597
OPENJPA,3,RandomForest,BestFirst,None,None,0.669,0.047,0.841,0.086,0.087
OPENJPA,4,RandomForest,BestFirst,None,None,0.671,0.046,0.841,0.085,0.086
OPENJPA,2,RandomForest,None,None,SensitiveLearning,0.465,0.618,0.897,0.524,0.530
OPENJPA,2,RandomForest,None,None,None,0.751,0.479,0.900,0.581,0.584
OPENJPA,5,RandomForest,BestFirst,None,None,0.678,0.049,0.843,0.089,0.090
OPENJPA,2,RandomForest,None,SMOTE,None,0.690,0.533,0.899,0.597,0.601
OPENJPA,6,RandomForest,BestFirst,None,None,0.696,0.047,0.842,0.086,0.087
OPENJPA,7,RandomForest,BestFirst,None,None,0.647,0.047,0.841,0.086,0.087
OPENJPA,3,RandomForest,None,None,SensitiveLearning,0.460,0.620,0.899,0.522,0.528
OPENJPA,3,RandomForest,None,None,None,0.733,0.477,0.901,0.574,0.577
OPENJPA,8,RandomForest,BestFirst,None,None,0.688,0.049,0.842,0.091,0.092
OPENJPA,3,RandomForest,None,SMOTE,None,0.689,0.536,0.902,0.599,0.603
OPENJPA,9,RandomForest,BestFirst,None,None,0.670,0.045,0.842,0.084,0.085
OPENJPA,4,RandomForest,None,None,SensitiveLearning,0.461,0.616,0.896,0.522,0.527
OPENJPA,4,RandomForest,None,None,None,0.736,0.475,0.897,0.574,0.578
OPENJPA,10,RandomForest,BestFirst,None,None,0.672,0.046,0.840,0.084,0.086
OPENJPA,4,RandomForest,None,SMOTE,None,0.694,0.535,0.899,0.600,0.604
OPENJPA,5,RandomForest,None,None,SensitiveLearning,0.458,0.618,0.897,0.520,0.526
OPENJPA,5,RandomForest,None,None,None,0.747,0.488,0.899,0.587,0.590
OPENJPA,5,RandomForest,None,SMOTE,None,0.683,0.530,0.901,0.592,0.596
OPENJPA,6,RandomForest,None,None,SensitiveLearning,0.454,0.610,0.893,0.515,0.520
OPENJPA,6,RandomForest,None,None,None,0.732,0.472,0.900,0.570,0.573
OPENJPA,7,RandomForest,None,None,SensitiveLearning,0.458,0.615,0.898,0.519,0.525
OPENJPA,6,RandomForest,None,SMOTE,None,0.690,0.537,0.901,0.600,0.604
OPENJPA,7,RandomForest,None,None,None,0.739,0.467,0.896,0.568,0.571
OPENJPA,8,RandomForest,None,None,SensitiveLearning,0.461,0.617,0.897,0.521,0.527
OPENJPA,8,RandomForest,None,None,None,0.738,0.470,0.899,0.569,0.573
OPENJPA,7,RandomForest,None,SMOTE,None,0.692,0.537,0.898,0.600,0.604
OPENJPA,9,RandomForest,None,None,SensitiveLearning,0.455,0.608,0.894,0.514,0.520
OPENJPA,9,RandomForest,None,None,None,0.731,0.466,0.896,0.565,0.569
OPENJPA,8,RandomForest,None,SMOTE,None,0.696,0.539,0.903,0.603,0.606
OPENJPA,10,RandomForest,None,None,SensitiveLearning,0.459,0.611,0.899,0.518,0.524
OPENJPA,10,RandomForest,None,None,None,0.741,0.472,0.903,0.573,0.576
OPENJPA,9,RandomForest,None,SMOTE,None,0.681,0.529,0.899,0.591,0.595
OPENJPA,10,RandomForest,None,SMOTE,None,0.697,0.534,0.898,0.601,0.604
