Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa
OPENJPA,1,RandomForest,None,None,None,0.905,0.268,0.833,0.411
OPENJPA,1,NaiveBayes,None,None,None,0.083,0.437,0.863,0.126
OPENJPA,1,IBk,None,None,None,0.714,0.282,0.840,0.401
OPENJPA,1,RandomForest,BestFirst,None,None,0.882,0.106,0.735,0.187
OPENJPA,1,NaiveBayes,BestFirst,None,None,0.096,0.289,0.879,0.132
OPENJPA,1,IBk,BestFirst,None,None,0.545,0.127,0.718,0.203
OPENJPA,1,RandomForest,None,SMOTE,None,0.584,0.317,0.840,0.407
OPENJPA,1,NaiveBayes,None,SMOTE,None,0.053,0.549,0.860,0.080
OPENJPA,1,IBk,None,SMOTE,None,0.292,0.352,0.846,0.312
OPENJPA,1,RandomForest,None,None,SensitiveLearning,NaN,0.000,0.786,0.000
OPENJPA,1,NaiveBayes,None,None,SensitiveLearning,0.082,0.387,0.863,0.122
OPENJPA,1,IBk,None,None,SensitiveLearning,0.717,0.268,0.840,0.387
OPENJPA,2,RandomForest,None,None,None,0.769,0.310,0.851,0.439
OPENJPA,2,NaiveBayes,None,None,None,0.066,0.403,0.851,0.100
OPENJPA,2,IBk,None,None,None,0.646,0.326,0.756,0.430
OPENJPA,2,RandomForest,BestFirst,None,None,0.556,0.078,0.791,0.134
OPENJPA,2,NaiveBayes,BestFirst,None,None,0.079,0.295,0.824,0.113
OPENJPA,2,IBk,BestFirst,None,None,0.500,0.054,0.717,0.096
OPENJPA,2,RandomForest,None,SMOTE,None,0.523,0.349,0.821,0.415
OPENJPA,2,NaiveBayes,None,SMOTE,None,0.043,0.558,0.852,0.065
OPENJPA,2,IBk,None,SMOTE,None,0.323,0.411,0.778,0.356
OPENJPA,2,RandomForest,None,None,SensitiveLearning,NaN,0.000,0.786,0.000
OPENJPA,2,NaiveBayes,None,None,SensitiveLearning,0.067,0.364,0.851,0.100
OPENJPA,2,IBk,None,None,SensitiveLearning,0.645,0.310,0.803,0.416
OPENJPA,3,RandomForest,None,None,None,0.833,0.204,0.711,0.324
OPENJPA,3,NaiveBayes,None,None,None,0.092,0.362,0.843,0.127
OPENJPA,3,IBk,None,None,None,0.600,0.204,0.689,0.299
OPENJPA,3,RandomForest,BestFirst,None,None,0.833,0.136,0.715,0.230
OPENJPA,3,NaiveBayes,BestFirst,None,None,0.104,0.335,0.857,0.141
