Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
OPENJPA,1,RandomForest,None,None,None,0.911,0.289,0.835,0.436,0.439
OPENJPA,1,NaiveBayes,None,None,None,0.078,0.423,0.860,0.118,0.132
OPENJPA,1,IBk,None,None,None,0.717,0.303,0.842,0.423,0.426
OPENJPA,1,RandomForest,BestFirst,None,None,0.700,0.049,0.751,0.091,0.092
OPENJPA,1,NaiveBayes,BestFirst,None,None,0.103,0.282,0.839,0.139,0.151
OPENJPA,1,IBk,BestFirst,None,None,0.636,0.049,0.707,0.090,0.092
OPENJPA,1,RandomForest,None,SMOTE,None,0.605,0.324,0.852,0.418,0.422
OPENJPA,1,NaiveBayes,None,SMOTE,None,0.051,0.528,0.858,0.077,0.093
OPENJPA,1,IBk,None,SMOTE,None,0.312,0.380,0.849,0.336,0.343
OPENJPA,1,RandomForest,None,None,SensitiveLearning,0.437,0.437,0.827,0.431,0.437
OPENJPA,1,NaiveBayes,None,None,SensitiveLearning,0.076,0.465,0.860,0.116,0.130
OPENJPA,1,IBk,None,None,SensitiveLearning,0.422,0.458,0.842,0.434,0.439
OPENJPA,2,RandomForest,None,None,None,0.804,0.318,0.848,0.453,0.456
OPENJPA,2,NaiveBayes,None,None,None,0.065,0.457,0.860,0.101,0.114
OPENJPA,2,IBk,None,None,None,0.732,0.318,0.751,0.440,0.443
OPENJPA,2,RandomForest,BestFirst,None,None,0.143,0.008,0.788,0.014,0.015
OPENJPA,2,NaiveBayes,BestFirst,None,None,0.081,0.271,0.759,0.113,0.125
OPENJPA,2,IBk,BestFirst,None,None,0.222,0.016,0.727,0.028,0.029
OPENJPA,2,RandomForest,None,SMOTE,None,0.545,0.372,0.819,0.439,0.442
OPENJPA,2,NaiveBayes,None,SMOTE,None,0.045,0.512,0.861,0.068,0.082
OPENJPA,2,IBk,None,SMOTE,None,0.347,0.403,0.773,0.367,0.373
OPENJPA,2,RandomForest,None,None,SensitiveLearning,0.373,0.481,0.836,0.415,0.420
OPENJPA,2,NaiveBayes,None,None,SensitiveLearning,0.058,0.473,0.860,0.090,0.104
OPENJPA,2,IBk,None,None,SensitiveLearning,0.355,0.457,0.751,0.394,0.400
OPENJPA,3,RandomForest,None,None,None,0.845,0.222,0.708,0.347,0.351
OPENJPA,3,NaiveBayes,None,None,None,0.091,0.394,0.838,0.128,0.148
OPENJPA,3,IBk,None,None,None,0.658,0.217,0.697,0.322,0.327
OPENJPA,3,RandomForest,BestFirst,None,None,0.543,0.086,0.716,0.145,0.148
OPENJPA,3,NaiveBayes,BestFirst,None,None,0.098,0.317,0.842,0.131,0.149
OPENJPA,3,IBk,BestFirst,None,None,0.404,0.095,0.651,0.149,0.154
OPENJPA,3,RandomForest,None,SMOTE,None,0.591,0.249,0.734,0.345,0.350
OPENJPA,3,NaiveBayes,None,SMOTE,None,0.077,0.516,0.845,0.113,0.134
OPENJPA,3,IBk,None,SMOTE,None,0.372,0.262,0.711,0.300,0.308
OPENJPA,3,RandomForest,None,None,SensitiveLearning,0.388,0.321,0.714,0.343,0.351
OPENJPA,3,NaiveBayes,None,None,SensitiveLearning,0.087,0.430,0.838,0.125,0.145
OPENJPA,3,IBk,None,None,SensitiveLearning,0.352,0.312,0.697,0.322,0.331
OPENJPA,4,RandomForest,None,None,None,0.861,0.565,0.925,0.679,0.682
OPENJPA,4,NaiveBayes,None,None,None,0.066,0.360,0.837,0.094,0.111
OPENJPA,4,IBk,None,None,None,0.797,0.570,0.885,0.661,0.665
OPENJPA,4,RandomForest,BestFirst,None,None,0.500,0.059,0.819,0.104,0.106
OPENJPA,4,NaiveBayes,BestFirst,None,None,0.078,0.269,0.772,0.105,0.121
OPENJPA,4,IBk,BestFirst,None,None,0.526,0.054,0.810,0.096,0.098
OPENJPA,4,RandomForest,None,SMOTE,None,0.679,0.602,0.883,0.634,0.638
OPENJPA,4,NaiveBayes,None,SMOTE,None,0.060,0.522,0.846,0.089,0.108
OPENJPA,4,IBk,None,SMOTE,None,0.577,0.624,0.875,0.595,0.599
OPENJPA,4,RandomForest,None,None,SensitiveLearning,0.463,0.715,0.920,0.556,0.562
OPENJPA,4,NaiveBayes,None,None,SensitiveLearning,0.067,0.419,0.837,0.097,0.115
OPENJPA,4,IBk,None,None,SensitiveLearning,0.453,0.720,0.885,0.550,0.556
OPENJPA,5,RandomForest,None,None,None,0.890,0.618,0.951,0.727,0.729
OPENJPA,5,NaiveBayes,None,None,None,0.051,0.294,0.823,0.070,0.086
OPENJPA,5,IBk,None,None,None,0.876,0.624,0.943,0.726,0.729
OPENJPA,5,RandomForest,BestFirst,None,None,0.640,0.094,0.845,0.162,0.164
OPENJPA,5,NaiveBayes,BestFirst,None,None,0.069,0.359,0.774,0.101,0.116
OPENJPA,5,IBk,BestFirst,None,None,0.600,0.088,0.815,0.152,0.154
OPENJPA,5,RandomForest,None,SMOTE,None,0.721,0.653,0.954,0.682,0.685
OPENJPA,5,NaiveBayes,None,SMOTE,None,0.051,0.447,0.831,0.074,0.091
OPENJPA,5,IBk,None,SMOTE,None,0.647,0.659,0.944,0.649,0.653
OPENJPA,5,RandomForest,None,None,SensitiveLearning,0.498,0.759,0.955,0.596,0.601
OPENJPA,5,NaiveBayes,None,None,SensitiveLearning,0.054,0.365,0.823,0.077,0.094
OPENJPA,5,IBk,None,None,SensitiveLearning,0.492,0.759,0.943,0.592,0.597
OPENJPA,6,RandomForest,None,None,None,0.898,0.527,0.886,0.662,0.664
OPENJPA,6,NaiveBayes,None,None,None,0.054,0.293,0.821,0.074,0.092
OPENJPA,6,IBk,None,None,None,0.866,0.527,0.889,0.652,0.655
OPENJPA,6,RandomForest,BestFirst,None,None,0.760,0.103,0.796,0.180,0.182
OPENJPA,6,NaiveBayes,BestFirst,None,None,0.069,0.310,0.776,0.096,0.112
OPENJPA,6,IBk,BestFirst,None,None,0.750,0.098,0.789,0.171,0.173
OPENJPA,6,RandomForest,None,SMOTE,None,0.737,0.549,0.886,0.626,0.629
OPENJPA,6,NaiveBayes,None,SMOTE,None,0.054,0.440,0.834,0.078,0.096
OPENJPA,6,IBk,None,SMOTE,None,0.673,0.538,0.883,0.594,0.598
OPENJPA,6,RandomForest,None,None,SensitiveLearning,0.534,0.636,0.876,0.576,0.581
OPENJPA,6,NaiveBayes,None,None,SensitiveLearning,0.056,0.348,0.821,0.079,0.096
OPENJPA,6,IBk,None,None,SensitiveLearning,0.527,0.636,0.889,0.571,0.576
OPENJPA,7,RandomForest,None,None,None,0.884,0.589,0.917,0.705,0.707
OPENJPA,7,NaiveBayes,None,None,None,0.052,0.321,0.824,0.073,0.089
OPENJPA,7,IBk,None,None,None,0.832,0.589,0.916,0.687,0.690
OPENJPA,7,RandomForest,BestFirst,None,None,0.857,0.107,0.834,0.189,0.190
OPENJPA,7,NaiveBayes,BestFirst,None,None,0.067,0.315,0.799,0.095,0.110
OPENJPA,7,IBk,BestFirst,None,None,0.692,0.107,0.801,0.183,0.186
OPENJPA,7,RandomForest,None,SMOTE,None,0.599,0.667,0.918,0.627,0.631
