Release,LOC,#Parameters,#Authors,#Revisions,StmtAdded,StmtDeleted,MaxChurn,AvgChurn,#Branches,NestingDepth,NFix,NSmells,Buggy
1,15,1,1,1,15,0,15,15,4,2,0,0,no
1,27,1,2,3,33,6,33,13,7,3,0,0,no
1,19,1,1,2,22,3,22,12.5,2,2,0,0,no
1,38,0,3,5,52,0,39,10.4,10,4,0,0,yes
1,31,1,1,1,31,0,31,31,5,3,0,0,no
1,21,3,2,2,21,0,11,10.5,4,5,0,0,no
1,14,1,2,2,14,0,14,7,1,1,0,0,yes
1,42,2,1,2,42,0,40,21,15,6,0,0,no
1,21,0,1,1,21,0,21,21,7,5,0,0,no
1,11,1,1,1,11,0,11,11,2,1,0,0,no
1,10,2,1,1,10,0,10,10,1,3,0,0,no
1,17,1,1,1,17,0,17,17,4,3,0,0,yes
1,10,2,2,2,10,0,10,5,1,1,0,0,yes
1,31,3,1,1,31,0,31,31,6,2,0,0,no
1,38,0,2,2,38,0,35,19,9,4,0,0,no
1,9,1,1,1,9,0,9,9,2,1,0,0,no
1,13,0,1,1,13,0,13,13,3,1,0,0,no
1,10,1,1,1,10,0,10,10,0,0,0,0,no
1,27,2,2,3,27,0,27,9,8,4,0,0,no
1,67,1,2,2,67,0,67,33.5,23,6,0,0,yes
1,37,2,3,3,37,0,37,12.333333,10,5,0,0,no
1,10,0,2,2,12,2,12,7,8,7,0,0,no
1,31,1,2,2,31,0,31,15.5,8,6,0,0,yes
1,6,1,1,1,6,0,6,6,2,2,0,0,no
1,37,1,2,3,37,0,33,12.333333,17,1,0,0,no
1,39,1,2,3,39,0,35,13,18,1,0,0,no
1,1,6,1,1,1,0,1,1,0,0,0,0,yes
1,1,2,1,1,1,0,1,1,0,0,0,0,no
1,77,4,1,1,77,0,77,77,10,3,0,0,no
1,63,3,2,3,96,33,96,43,9,3,0,0,no
1,33,6,2,2,33,0,33,16.5,6,2,0,0,no
1,34,4,2,3,34,0,33,11.333333,3,2,0,0,no
1,15,6,1,1,15,0,15,15,0,0,0,0,no
1,39,2,1,1,39,0,39,39,5,2,0,0,yes
1,25,6,1,1,25,0,25,25,6,2,0,0,yes
1,33,2,2,2,33,0,30,16.5,9,3,0,0,no
1,48,5,2,6,48,0,37,8,10,2,0,0,no
1,24,5,1,1,24,0,24,24,8,3,0,0,no
1,21,5,1,3,21,0,18,7,9,3,0,0,yes
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,15,6,1,1,15,0,15,15,4,1,0,0,no
1,41,1,1,1,41,0,41,41,5,2,0,0,no
1,37,4,1,1,4,0,4,4,5,2,0,0,yes
1,4,1,1,1,4,0,4,4,0,0,0,0,no
1,8,1,1,1,8,0,8,8,2,1,0,0,no
1,18,6,1,1,18,0,18,18,2,1,0,0,no
1,25,6,1,1,25,0,25,25,4,1,0,0,no
1,18,1,1,1,18,0,18,18,5,2,0,0,no
1,28,2,1,1,28,0,28,28,13,4,0,0,no
1,9,8,1,1,9,0,9,9,1,1,0,0,yes
1,9,6,1,1,9,0,9,9,1,1,0,0,no
1,24,1,2,3,24,0,24,8,3,1,0,0,no
1,4,0,1,1,4,0,4,4,1,1,0,0,no
1,9,1,1,1,9,0,9,9,1,1,0,0,no
1,10,0,2,3,11,6,11,5.666667,5,4,0,0,yes
1,25,1,1,1,25,0,25,25,6,3,0,0,no
1,71,2,2,4,94,23,77,29.25,19,4,0,0,yes
1,24,0,2,2,24,0,24,12,5,5,0,0,yes
1,8,0,1,1,8,0,8,8,2,4,0,0,no
1,83,1,1,1,83,0,83,83,18,5,0,0,no
1,31,0,1,1,31,0,31,31,7,3,0,0,no
1,32,0,3,4,35,3,31,9.5,4,2,0,0,yes
1,22,7,1,1,22,0,22,22,2,2,0,0,yes
1,22,5,1,1,22,0,22,22,2,2,0,0,no
1,4,0,1,1,4,0,4,4,0,0,0,0,yes
1,7,2,3,3,7,0,7,2.333333,3,1,0,0,yes
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,19,1,2,2,19,0,19,9.5,4,2,0,0,no
1,17,1,2,2,17,0,9,8.5,4,3,0,0,no
1,29,2,1,1,29,0,29,29,7,4,0,0,yes
1,15,7,1,1,15,0,15,15,3,1,0,0,no
1,14,1,2,2,14,0,14,7,2,1,0,0,no
1,26,0,1,1,26,0,26,26,3,3,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,30,0,1,1,30,0,30,30,16,2,0,0,no
1,16,1,1,1,16,0,16,16,8,2,0,0,yes
1,9,0,1,1,9,0,9,9,1,1,0,0,no
1,26,1,2,2,26,0,26,13,9,3,0,0,yes
1,23,2,1,1,23,0,23,23,7,5,0,0,no
1,27,4,1,1,27,0,27,27,9,7,0,0,no
1,11,6,1,1,11,0,11,11,4,2,0,0,no
1,4,6,1,1,4,0,4,4,1,1,0,0,no
1,27,2,2,2,27,0,27,13.5,9,1,0,0,yes
1,34,3,2,2,34,0,34,17,14,3,0,0,yes
1,27,2,2,2,27,0,27,13.5,10,3,0,0,yes
1,20,1,2,2,20,0,20,10,8,3,0,0,yes
1,25,7,1,1,25,0,25,25,7,3,0,0,no
1,21,2,1,1,21,0,21,21,8,8,0,0,no
1,8,1,1,1,4,0,4,4,3,1,0,0,no
1,13,0,1,1,9,0,9,9,4,1,0,0,no
1,25,2,1,1,17,0,17,17,7,3,0,0,no
1,30,1,1,1,30,0,30,30,14,2,0,0,no
1,18,1,1,1,18,0,18,18,8,1,0,0,no
1,30,1,1,1,30,0,30,30,0,0,0,0,yes
1,3,1,1,1,3,0,3,3,0,0,0,0,no
1,8,0,1,1,8,0,8,8,0,0,0,0,no
1,22,1,2,2,22,0,22,11,1,1,0,0,yes
1,14,1,1,1,14,0,14,14,1,1,0,0,yes
1,5,0,1,1,5,0,5,5,0,0,0,0,no
1,14,2,1,1,14,0,14,14,1,1,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,2,6,1,1,2,0,2,2,0,0,0,0,no
1,33,2,1,1,33,0,33,33,4,2,0,0,yes
1,11,0,3,3,11,0,6,3.666667,3,2,0,0,no
1,20,0,2,2,20,0,18,10,7,2,0,0,no
1,9,0,1,1,9,0,9,9,1,1,0,0,no
1,8,2,1,1,8,0,8,8,4,2,0,0,no
1,53,3,1,1,53,0,53,53,10,3,0,0,yes
1,31,4,1,1,18,0,18,18,7,3,0,0,yes
1,37,3,1,1,37,0,37,37,6,2,0,0,no
1,39,1,1,1,39,0,39,39,7,4,0,0,no
1,58,7,1,1,58,0,58,58,11,5,0,0,no
1,10,1,1,1,10,0,10,10,1,1,0,0,no
1,47,3,2,3,47,0,47,15.666667,11,4,0,0,no
1,43,0,1,1,3,0,3,3,11,4,0,0,no
1,47,3,1,1,47,0,47,47,12,3,0,0,no
1,42,4,1,1,42,0,42,42,12,3,0,0,no
1,32,3,2,2,32,0,26,16,2,1,0,0,no
1,30,1,1,1,30,0,30,30,9,4,0,0,no
1,21,5,1,1,22,0,22,22,8,4,0,0,no
1,15,7,1,1,15,0,15,15,3,1,0,0,no
2,69,1,1,3,69,0,61,23,5,1,0,0,no
2,50,3,1,1,50,0,50,50,11,5,0,0,no
2,88,1,1,2,88,0,84,44,20,7,0,0,no
2,50,0,1,2,6,4,6,5,11,3,0,0,no
2,113,1,2,4,115,2,89,29.25,15,3,0,0,no
2,26,6,2,2,26,0,25,13,3,2,0,0,no
2,15,1,1,1,15,0,15,15,4,2,0,0,no
2,108,1,2,4,114,6,81,30,23,5,0,0,no
2,49,1,1,2,49,0,41,24.5,15,4,0,0,no
2,12,2,2,4,14,2,8,4,1,1,0,0,no
2,15,1,3,3,15,0,14,5,1,1,0,0,yes
2,25,1,3,4,25,0,11,6.25,8,2,0,0,no
2,16,1,1,1,16,0,16,16,3,2,0,0,no
2,13,1,1,1,13,0,13,13,2,1,0,0,no
2,29,3,1,1,29,0,29,29,3,2,0,0,yes
2,42,2,1,2,42,0,40,21,15,6,0,0,no
2,3,0,1,1,3,0,3,3,0,0,0,0,no
2,19,0,1,1,19,0,19,19,5,3,0,0,no
2,10,2,2,2,10,0,10,5,1,3,0,0,no
2,19,1,2,3,19,0,17,6.333333,4,3,0,0,no
2,17,1,1,2,17,0,17,8.5,4,3,0,0,no
2,9,2,2,4,10,1,10,2.75,1,1,0,0,no
2,31,3,2,2,31,0,31,15.5,6,2,0,0,no
2,37,2,1,2,37,0,36,18.5,8,2,0,0,no
2,22,1,1,4,22,0,19,5.5,8,4,0,0,no
2,13,2,2,2,13,0,12,6.5,5,4,0,0,no
2,43,1,3,3,43,0,40,14.333333,8,4,0,0,yes
2,21,1,3,3,21,0,17,7,8,6,0,0,no
2,41,1,1,1,41,0,41,41,7,3,0,0,no
2,21,0,2,2,21,0,17,10.5,5,4,0,0,no
2,29,3,1,1,29,0,29,29,6,3,0,0,no
2,51,0,2,3,51,0,46,17,12,6,0,0,yes
2,10,1,1,1,10,0,10,10,0,0,0,0,no
2,18,1,1,1,18,0,18,18,7,5,0,0,yes
2,53,1,1,2,53,0,53,26.5,17,4,0,0,yes
2,43,2,2,3,43,0,37,14.333333,12,5,0,0,no
2,36,1,1,1,36,0,36,36,11,5,0,0,no
2,10,0,1,1,10,0,10,10,8,7,0,0,no
2,6,1,1,1,6,0,6,6,2,2,0,0,no
2,39,1,2,4,39,0,33,9.75,18,1,0,0,no
2,41,1,2,4,41,0,35,10.25,19,1,0,0,no
2,1,6,3,3,6,5,5,3.666667,0,0,0,0,no
2,1,2,1,1,1,0,1,1,0,0,0,0,no
2,98,4,2,2,98,0,77,49,16,4,0,0,no
2,84,3,3,4,96,91,96,46.75,15,4,0,0,no
2,36,6,3,3,36,0,33,12,7,2,0,0,no
2,34,4,1,1,34,0,34,34,3,2,0,0,no
2,15,6,1,1,15,0,15,15,0,0,0,0,no
2,47,3,3,3,47,0,26,15.666667,5,3,0,0,yes
2,43,0,4,4,26,0,19,6.5,5,3,0,0,yes
2,28,6,2,3,28,0,25,9.333333,6,2,0,0,yes
2,50,2,4,4,50,0,28,12.5,9,3,0,0,yes
2,33,2,2,2,33,0,30,16.5,9,3,0,0,no
2,24,1,2,2,16,0,16,8,9,2,0,0,yes
2,50,5,2,7,50,0,37,7.142857,11,3,0,0,no
2,29,5,2,2,29,0,24,14.5,8,2,0,0,yes
2,25,5,2,6,26,1,18,4.5,13,3,0,0,no
2,1,0,1,1,1,0,1,1,0,0,0,0,no
2,1,0,1,1,1,0,1,1,0,0,0,0,no
2,15,6,1,1,15,0,15,15,4,1,0,0,no
2,42,2,1,1,42,0,42,42,5,2,0,0,no
2,38,4,1,2,5,0,4,2.5,5,2,0,0,no
2,4,1,1,1,4,0,4,4,0,0,0,0,no
2,8,1,1,1,8,0,8,8,2,1,0,0,no
2,18,6,1,1,18,0,18,18,2,1,0,0,no
2,25,6,1,1,25,0,25,25,4,1,0,0,no
2,18,1,1,1,18,0,18,18,5,2,0,0,no
2,28,2,1,2,28,0,28,14,13,4,0,0,no
2,16,1,1,1,16,0,16,16,5,3,0,0,yes
2,9,8,1,1,9,0,9,9,1,1,0,0,yes
2,9,6,1,1,9,0,9,9,1,1,0,0,yes
2,24,1,2,3,24,0,24,8,3,1,0,0,no
2,4,0,1,1,4,0,4,4,1,1,0,0,no
2,9,1,1,1,9,0,9,9,1,1,0,0,no
2,7,0,2,4,11,9,11,5,4,3,0,0,no
2,25,1,1,1,25,0,25,25,6,3,0,0,no
2,31,1,2,4,31,0,18,7.75,4,2,0,0,no
2,100,2,3,8,123,23,77,18.25,25,4,0,0,yes
2,24,0,2,2,24,0,24,12,5,5,0,0,yes
2,8,0,1,1,8,0,8,8,2,4,0,0,no
2,83,1,2,2,83,0,83,41.5,18,5,0,0,no
2,31,0,1,1,31,0,31,31,7,3,0,0,no
2,32,0,3,4,35,3,31,9.5,4,2,0,0,yes
2,26,7,2,4,26,0,22,6.5,3,3,0,0,no
2,24,5,1,1,24,0,24,24,2,2,0,0,no
