Release,LOC,#Parameters,#Authors,#Revisions,StmtAdded,StmtDeleted,MaxChurn,AvgChurn,#Branches,NestingDepth,NFix,NSmells,Buggy
1,42,4,1,1,42,0,42,42,21,3,0,0,no
1,13,0,1,1,13,0,13,13,4,3,0,0,no
1,8,2,1,1,8,0,8,8,1,3,0,0,no
1,22,5,1,1,22,0,22,22,13,7,0,0,no
1,21,5,1,1,21,0,21,21,9,2,0,0,no
1,19,5,1,1,19,0,19,19,8,2,0,0,no
1,15,6,1,1,15,0,15,15,6,2,0,0,no
1,10,6,1,1,10,0,10,10,4,2,0,0,no
1,10,1,1,1,10,0,10,10,3,1,0,0,no
1,49,5,2,2,49,0,49,24.5,14,6,0,0,no
1,8,0,1,1,8,0,8,8,1,2,0,0,no
1,13,1,2,2,13,0,13,6.5,9,2,0,0,no
1,10,0,1,1,10,0,10,10,4,4,0,0,no
1,53,4,1,1,53,0,53,53,21,4,0,0,no
1,34,5,1,1,34,0,34,34,12,4,0,0,no
1,46,3,2,2,47,1,47,24,13,4,0,0,no
1,29,5,1,1,29,0,29,29,11,5,0,0,no
1,14,8,1,2,14,0,13,7,6,1,0,0,no
1,26,6,1,1,26,0,26,26,19,3,0,0,no
1,41,10,1,1,41,0,41,41,20,5,0,0,no
1,20,4,1,2,20,0,20,10,8,3,0,0,yes
1,7,0,1,1,7,0,7,7,2,2,0,0,no
1,48,10,2,3,49,1,49,16.666667,16,3,0,0,no
1,8,11,1,1,8,0,8,8,2,1,0,0,no
1,9,11,1,1,9,0,9,9,2,2,0,0,no
1,5,7,1,1,5,0,5,5,2,1,0,0,no
1,18,11,1,1,18,0,18,18,7,3,0,0,no
1,1,7,1,1,1,0,1,1,0,0,0,0,no
1,1,7,1,1,1,0,1,1,0,0,0,0,no
1,46,8,2,3,48,2,48,16.666667,13,6,0,0,yes
1,1,6,1,1,1,0,1,1,0,0,0,0,no
1,34,8,2,2,35,1,35,18,9,3,0,0,no
1,17,1,1,1,17,0,17,17,5,4,0,0,no
1,21,3,1,1,21,0,21,21,5,6,0,0,no
1,22,3,1,1,22,0,22,22,8,2,0,0,no
1,30,4,1,1,30,0,30,30,11,2,0,0,no
1,18,6,1,1,18,0,18,18,10,3,0,0,yes
1,23,0,2,2,23,0,23,11.5,8,2,0,0,no
1,44,4,2,2,45,1,45,23,14,5,0,0,yes
1,6,6,1,1,6,0,6,6,3,2,0,0,no
1,20,6,1,1,20,0,20,20,7,3,0,0,no
1,40,2,1,1,40,0,40,40,13,4,0,0,no
1,27,1,1,2,27,0,27,13.5,10,4,0,0,no
1,35,2,1,1,35,0,35,35,10,3,0,0,no
1,47,5,1,1,47,0,47,47,15,5,0,0,no
1,17,5,1,2,17,0,17,8.5,6,5,0,0,no
1,21,2,1,1,21,0,21,21,6,4,0,0,no
1,25,2,1,1,25,0,25,25,6,4,0,0,no
1,35,5,1,1,35,0,35,35,9,5,0,0,no
1,37,3,1,1,37,0,37,37,11,6,0,0,no
1,41,5,1,1,41,0,41,41,12,6,0,0,no
1,2,6,1,1,2,0,2,2,0,0,0,0,no
1,0,6,1,1,0,0,0,0,0,0,0,0,no
1,11,3,1,1,11,0,11,11,0,0,0,0,no
1,7,6,1,1,7,0,7,7,0,0,0,0,no
1,4,6,1,1,4,0,4,4,1,1,0,0,no
1,39,5,1,1,39,0,39,39,9,4,0,0,no
1,4,6,1,1,4,0,4,4,1,1,0,0,no
1,6,6,1,1,6,0,6,6,3,3,0,0,no
1,26,5,1,1,26,0,26,26,6,5,0,0,no
1,26,7,1,1,26,0,26,26,12,5,0,0,no
1,3,6,1,1,3,0,3,3,1,0,0,0,no
1,1,6,1,1,1,0,1,1,0,0,0,0,no
1,37,6,1,1,37,0,37,37,13,2,0,0,no
1,20,2,1,1,20,0,20,20,8,2,0,0,no
1,1,6,1,1,1,0,1,1,0,0,0,0,no
1,8,7,1,1,8,0,8,8,3,2,0,0,no
1,22,7,1,1,22,0,22,22,8,3,0,0,no
1,10,6,1,1,10,0,10,10,1,1,0,0,no
1,34,4,2,2,34,0,34,17,11,3,0,0,no
1,1,8,1,1,1,0,1,1,0,0,0,0,no
1,4,6,1,1,4,0,4,4,1,1,0,0,no
1,34,5,1,1,34,0,34,34,8,3,0,0,no
1,1,6,1,1,1,0,1,1,0,0,0,0,no
1,28,7,1,1,28,0,28,28,12,5,0,0,no
1,1,6,1,1,1,0,1,1,0,0,0,0,no
1,24,0,1,1,24,0,24,24,15,3,0,0,no
1,11,0,1,1,11,0,11,11,8,2,0,0,no
1,28,0,2,2,28,0,24,14,13,3,0,0,no
1,44,3,1,1,44,0,44,44,15,6,0,0,no
1,5,6,1,1,5,0,5,5,1,1,0,0,no
1,3,0,1,1,3,0,3,3,1,1,0,0,no
1,6,1,1,1,4,0,4,4,2,1,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,4,6,1,1,4,0,4,4,1,1,0,0,no
1,1,6,1,1,1,0,1,1,0,0,0,0,no
1,44,7,1,1,44,0,44,44,21,2,0,0,no
1,23,6,1,2,23,0,23,11.5,9,5,0,0,no
1,31,4,2,4,35,4,29,9.75,9,2,0,0,no
1,31,8,1,3,36,5,35,13.666667,15,4,0,0,no
1,4,6,1,1,4,0,4,4,0,0,0,0,no
1,26,5,1,1,26,0,26,26,6,5,0,0,no
1,3,6,1,1,3,0,3,3,0,0,0,0,no
1,1,6,1,1,1,0,1,1,0,0,0,0,no
1,7,7,1,1,7,0,7,7,1,1,0,0,no
1,10,6,1,1,10,0,10,10,1,1,0,0,no
1,20,6,1,1,20,0,20,20,7,2,0,0,no
1,4,6,1,1,4,0,4,4,0,0,0,0,no
1,0,6,1,1,0,0,0,0,0,0,0,0,no
1,27,6,1,1,27,0,27,27,10,3,0,0,no
1,15,1,1,1,15,0,15,15,10,2,0,0,no
1,26,0,1,1,26,0,26,26,9,5,0,0,no
1,21,1,1,1,21,0,21,21,9,3,0,0,no
1,22,1,1,1,22,0,22,22,12,3,0,0,no
1,1,7,1,1,1,0,1,1,0,0,0,0,no
1,12,1,1,1,12,0,12,12,9,2,0,0,no
1,1,0,1,1,1,0,1,1,0,0,0,0,no
1,16,2,1,1,16,0,16,16,9,3,0,0,no
1,19,1,1,1,19,0,19,19,8,2,0,0,no
1,37,0,1,1,37,0,37,37,17,4,0,0,no
1,23,4,1,1,23,0,23,23,11,3,0,0,no
1,21,1,1,1,21,0,21,21,9,1,0,0,no
1,1,7,1,1,1,0,1,1,0,0,0,0,no
1,19,3,1,1,19,0,19,19,10,1,0,0,no
1,14,1,1,1,14,0,14,14,8,2,0,0,no
1,34,1,1,1,34,0,34,34,20,1,0,0,no
1,34,1,1,1,34,0,34,34,20,1,0,0,no
1,10,2,1,1,10,0,10,10,3,2,0,0,no
1,1,7,1,1,1,0,1,1,0,0,0,0,no
1,1,7,1,1,1,0,1,1,0,0,0,0,no
1,5,9,1,1,5,0,5,5,2,2,0,0,no
1,27,1,1,1,27,0,27,27,15,3,0,0,no
1,19,4,1,2,19,0,19,9.5,8,2,0,0,no
1,32,5,1,1,32,0,32,32,12,3,0,0,no
1,89,8,1,2,89,0,89,44.5,41,4,0,0,no
1,13,5,1,1,13,0,13,13,9,2,0,0,no
1,47,5,1,1,47,0,47,47,19,3,0,0,no
1,55,5,1,1,55,0,55,55,27,3,0,0,yes
1,107,9,1,1,107,0,107,107,47,5,0,0,no
1,28,9,1,1,28,0,28,28,6,3,0,0,no
1,135,12,1,1,135,0,135,135,65,7,0,0,no
1,38,4,1,1,38,0,38,38,8,1,0,0,no
1,47,8,1,1,47,0,47,47,30,5,0,0,no
1,12,1,1,1,12,0,12,12,8,1,0,0,no
1,22,2,1,1,22,0,22,22,10,2,0,0,no
1,44,3,1,1,44,0,44,44,25,4,0,0,no
1,56,3,2,2,56,0,41,28,34,3,0,0,no
1,1,6,1,1,1,0,1,1,0,0,0,0,no
1,52,2,1,1,52,0,52,52,37,2,0,0,no
